,walk_length,edge,correct,layer,distance,ground_truth,likelihood_metric,score
0,5,"(2, 1)",False,d_G,3.8500862,1,inverse,0.44320232
1,5,"(160, 1)",True,d_G,4.130424,1,inverse,0.510073
2,5,"(21, 44)",False,d_G,4.1199546,1,inverse,0.48564002
3,5,"(44, 45)",True,d_G,3.9723642,1,inverse,0.50833565
4,5,"(170, 44)",False,d_G,4.03522,1,inverse,0.49419242
5,5,"(59, 7)",False,d_G,3.9740367,1,inverse,0.48849255
6,5,"(50, 160)",False,d_G,3.0216548,1,inverse,0.43422547
7,5,"(161, 160)",True,d_G,3.8715267,1,inverse,0.5244349
8,5,"(45, 22)",True,d_G,3.84801,1,inverse,0.5261173
9,5,"(51, 45)",True,d_G,3.3555677,1,inverse,0.518037
10,5,"(45, 171)",True,d_G,3.573403,1,inverse,0.54703516
11,5,"(45, 199)",True,d_G,3.917899,1,inverse,0.5204986
12,5,"(112, 58)",False,d_G,4.4042907,1,inverse,0.4830308
13,5,"(51, 161)",True,d_G,2.920774,1,inverse,0.53809774
14,5,"(161, 62)",True,d_G,3.869901,1,inverse,0.5143643
15,5,"(161, 156)",True,d_G,2.5965528,1,inverse,0.59288394
16,5,"(18, 17)",True,d_G,2.9498792,1,inverse,0.5176202
17,5,"(170, 70)",False,d_G,4.3555517,1,inverse,0.47537777
18,5,"(220, 70)",True,d_G,3.713152,1,inverse,0.5015977
19,5,"(69, 28)",True,d_G,3.3536656,1,inverse,0.5008351
20,5,"(158, 69)",True,d_G,3.9466991,1,inverse,0.5275657
21,5,"(69, 170)",True,d_G,4.3042655,1,inverse,0.53265184
22,5,"(69, 175)",True,d_G,4.7044587,1,inverse,0.50303406
23,5,"(260, 69)",True,d_G,3.5405657,1,inverse,0.5603301
24,5,"(7, 134)",True,d_G,3.8162491,1,inverse,0.5155042
25,5,"(134, 85)",False,d_G,3.9695797,1,inverse,0.44570366
26,5,"(168, 134)",False,d_G,4.6849575,1,inverse,0.4968119
27,5,"(134, 175)",False,d_G,4.811357,1,inverse,0.48125833
28,5,"(124, 198)",False,d_G,3.381706,1,inverse,0.49396667
29,5,"(9, 10)",True,d_G,2.6205688,1,inverse,0.5252016
30,5,"(9, 13)",True,d_G,3.645451,1,inverse,0.53882384
31,5,"(111, 13)",False,d_G,4.473072,1,inverse,0.48051402
32,5,"(163, 13)",True,d_G,4.491153,1,inverse,0.5155054
33,5,"(176, 13)",False,d_G,4.6618986,1,inverse,0.4874568
34,5,"(13, 184)",False,d_G,4.1623006,1,inverse,0.49153754
35,5,"(96, 14)",True,d_G,4.007656,1,inverse,0.5145308
36,5,"(163, 14)",True,d_G,4.183171,1,inverse,0.5086407
37,5,"(73, 11)",False,d_G,3.5191882,1,inverse,0.47561178
38,5,"(71, 111)",False,d_G,4.5326705,1,inverse,0.46033958
39,5,"(111, 158)",False,d_G,4.6175194,1,inverse,0.4262668
40,5,"(247, 111)",False,d_G,4.316039,1,inverse,0.49747527
41,5,"(168, 163)",True,d_G,4.7397423,1,inverse,0.5009928
42,5,"(176, 133)",False,d_G,4.144957,1,inverse,0.4835219
43,5,"(20, 179)",False,d_G,4.01995,1,inverse,0.49942222
44,5,"(55, 179)",False,d_G,4.382646,1,inverse,0.48572215
45,5,"(60, 179)",True,d_G,3.9511793,1,inverse,0.5318103
46,5,"(61, 179)",True,d_G,3.9020822,1,inverse,0.5271905
47,5,"(184, 185)",False,d_G,3.711385,1,inverse,0.47000492
48,5,"(225, 184)",True,d_G,3.5705094,1,inverse,0.52095526
49,5,"(96, 99)",False,d_G,3.898063,1,inverse,0.48967704
50,5,"(183, 96)",True,d_G,3.9394822,1,inverse,0.51176524
51,5,"(254, 96)",False,d_G,3.6393452,1,inverse,0.47956237
52,5,"(175, 130)",False,d_G,3.9956174,1,inverse,0.46642366
53,5,"(132, 175)",True,d_G,4.50728,1,inverse,0.5098336
54,5,"(235, 175)",False,d_G,4.1800985,1,inverse,0.4681697
55,5,"(237, 175)",False,d_G,2.9811952,1,inverse,0.4834702
56,5,"(252, 175)",False,d_G,4.4786253,1,inverse,0.46502241
57,5,"(178, 19)",False,d_G,3.860018,1,inverse,0.488732
58,5,"(60, 178)",True,d_G,3.6791513,1,inverse,0.5282488
59,5,"(67, 183)",True,d_G,3.8503168,1,inverse,0.5487451
60,5,"(223, 183)",True,d_G,3.3226144,1,inverse,0.5545492
61,5,"(224, 183)",True,d_G,3.8766587,1,inverse,0.5371861
62,5,"(42, 18)",True,d_G,2.6089485,1,inverse,0.5484144
63,5,"(52, 18)",True,d_G,3.4733925,1,inverse,0.52413553
64,5,"(42, 21)",True,d_G,2.5161567,1,inverse,0.5215041
65,5,"(23, 172)",False,d_G,2.851016,1,inverse,0.495312
66,5,"(56, 172)",False,d_G,5.189197,1,inverse,0.4808489
67,5,"(137, 172)",True,d_G,1.4467065,1,inverse,0.55455226
68,5,"(72, 24)",False,d_G,3.7328649,1,inverse,0.443802
69,5,"(72, 25)",True,d_G,2.958237,1,inverse,0.5025978
70,5,"(128, 162)",True,d_G,3.2471159,1,inverse,0.5151589
71,5,"(162, 147)",True,d_G,3.737259,1,inverse,0.50811434
72,5,"(220, 169)",False,d_G,4.1122956,1,inverse,0.4485444
73,5,"(158, 28)",False,d_G,3.1992323,1,inverse,0.48572224
74,5,"(56, 57)",True,d_G,3.3182473,1,inverse,0.5432198
75,5,"(56, 98)",False,d_G,4.1114855,1,inverse,0.49320605
76,5,"(99, 56)",False,d_G,4.2247314,1,inverse,0.49535108
77,5,"(100, 56)",True,d_G,2.864115,1,inverse,0.51288086
78,5,"(109, 56)",False,d_G,5.3359437,1,inverse,0.46383384
79,5,"(56, 169)",False,d_G,4.6490774,1,inverse,0.49674633
80,5,"(256, 56)",False,d_G,4.74891,1,inverse,0.4705503
81,5,"(56, 257)",True,d_G,2.9564896,1,inverse,0.53192115
82,5,"(56, 258)",True,d_G,3.6621866,1,inverse,0.51709837
83,5,"(259, 56)",False,d_G,3.6492586,1,inverse,0.49809507
84,5,"(56, 260)",True,d_G,3.518225,1,inverse,0.5724855
85,5,"(159, 158)",True,d_G,3.4505439,1,inverse,0.50711566
86,5,"(271, 159)",True,d_G,3.5146782,1,inverse,0.524273
87,5,"(54, 29)",False,d_G,4.577649,1,inverse,0.4854807
88,5,"(241, 29)",False,d_G,4.029697,1,inverse,0.46534467
89,5,"(29, 268)",False,d_G,3.351684,1,inverse,0.4751074
90,5,"(54, 38)",False,d_G,3.3803222,1,inverse,0.4717947
91,5,"(55, 54)",False,d_G,4.356611,1,inverse,0.46371233
92,5,"(54, 128)",False,d_G,3.8970535,1,inverse,0.473812
93,5,"(54, 210)",False,d_G,4.704179,1,inverse,0.36497605
94,5,"(238, 54)",False,d_G,3.5920377,1,inverse,0.4677161
95,5,"(54, 239)",True,d_G,2.9680195,1,inverse,0.5597413
96,5,"(54, 245)",False,d_G,4.8558702,1,inverse,0.4591744
97,5,"(54, 248)",False,d_G,2.7890315,1,inverse,0.49717265
98,5,"(249, 54)",True,d_G,4.3621335,1,inverse,0.5142545
99,5,"(248, 55)",False,d_G,2.506921,1,inverse,0.46441445
100,5,"(55, 250)",False,d_G,4.7059913,1,inverse,0.4739366
101,5,"(206, 241)",False,d_G,3.5674548,1,inverse,0.49580655
102,5,"(267, 268)",False,d_G,3.5382137,1,inverse,0.33066523
103,5,"(269, 268)",False,d_G,3.365363,1,inverse,0.4049455
104,5,"(88, 30)",False,d_G,3.8592598,1,inverse,0.40175286
105,5,"(207, 88)",False,d_G,2.4290879,1,inverse,0.41673857
106,5,"(206, 242)",False,d_G,3.041099,1,inverse,0.48362237
107,5,"(253, 245)",False,d_G,3.7947087,1,inverse,0.4605448
108,5,"(34, 91)",False,d_G,3.1906705,1,inverse,0.454679
109,5,"(97, 57)",False,d_G,4.5507665,1,inverse,0.4756661
110,5,"(101, 57)",False,d_G,3.4267693,1,inverse,0.49722308
111,5,"(102, 57)",True,d_G,3.0504203,1,inverse,0.56338376
112,5,"(57, 103)",True,d_G,4.628793,1,inverse,0.50620335
113,5,"(168, 57)",True,d_G,4.78886,1,inverse,0.5116806
114,5,"(246, 57)",False,d_G,4.4453692,1,inverse,0.4720549
115,5,"(252, 57)",False,d_G,4.596344,1,inverse,0.48587644
116,5,"(57, 253)",False,d_G,3.939275,1,inverse,0.4718869
117,5,"(57, 254)",True,d_G,3.6242042,1,inverse,0.5216298
118,5,"(256, 57)",False,d_G,4.5236773,1,inverse,0.49841937
119,5,"(259, 57)",False,d_G,3.9719818,1,inverse,0.43138617
120,5,"(57, 276)",True,d_G,3.7102947,1,inverse,0.5024573
