,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
0,0.02,"(0, 1)",False,d_G,0.6358450981574123,1,inverse,0.49900504004880675
1,0.02,"(0, 99)",True,d_G,0.6132443832054095,0,inverse,0.4937731018128372
2,0.02,"(2, 1)",False,d_G,0.6069758708424629,1,inverse,0.45936459790931017
3,0.02,"(4, 3)",False,d_G,0.6514189308562215,1,inverse,0.48432218556030654
4,0.02,"(5, 4)",True,d_G,0.6414342865707541,1,inverse,0.5103877037579536
5,0.02,"(5, 6)",False,d_G,0.6867787558615988,1,inverse,0.46974949290124823
6,0.02,"(7, 8)",False,d_G,0.6363848088588047,1,inverse,0.4881647180051983
7,0.02,"(9, 8)",True,d_G,0.664372762937667,1,inverse,0.5097902661021209
8,0.02,"(10, 9)",False,d_G,0.6263955221965861,1,inverse,0.49515999533854343
9,0.02,"(11, 10)",True,d_G,0.588293321810521,1,inverse,0.5064451900255145
10,0.02,"(12, 11)",False,d_G,0.6211170053029759,1,inverse,0.49691559728657425
11,0.02,"(12, 13)",True,d_G,0.6472105224002933,1,inverse,0.5056185683251797
12,0.02,"(13, 14)",False,d_G,0.6361347395907945,1,inverse,0.49819309067067036
13,0.02,"(14, 15)",True,d_G,0.6624103664684816,1,inverse,0.513094075285458
14,0.02,"(16, 15)",False,d_G,0.7157032574328114,1,inverse,0.4892212438568416
15,0.02,"(16, 17)",True,d_G,0.6142660089730302,1,inverse,0.506292266542955
16,0.02,"(18, 17)",True,d_G,0.5529703414218677,1,inverse,0.5337417330510267
17,0.02,"(18, 19)",False,d_G,0.6672321272842604,1,inverse,0.4924541471734962
18,0.02,"(19, 20)",False,d_G,0.6625986918056651,1,inverse,0.4979011544632016
19,0.02,"(20, 21)",True,d_G,0.6307403280228328,1,inverse,0.5047279529961973
20,0.02,"(21, 22)",False,d_G,0.6206511516248753,1,inverse,0.4960093751697777
21,0.02,"(22, 23)",True,d_G,0.662875631126376,1,inverse,0.5051777886861354
22,0.02,"(24, 23)",False,d_G,0.6124915704688275,1,inverse,0.4882286727817866
23,0.02,"(24, 25)",False,d_G,0.5851036659588499,1,inverse,0.4974917711072463
24,0.02,"(25, 26)",False,d_G,0.5875506860679858,1,inverse,0.49498591714866924
25,0.02,"(27, 26)",True,d_G,0.6500364820107013,1,inverse,0.5125919783658001
26,0.02,"(28, 27)",True,d_G,0.6101830174725925,1,inverse,0.5071500695335251
27,0.02,"(29, 28)",True,d_G,0.5594586642231372,1,inverse,0.5207684325712579
28,0.02,"(30, 29)",True,d_G,0.6068855112480196,1,inverse,0.5232867307970583
29,0.02,"(30, 31)",True,d_G,0.6087697794689391,1,inverse,0.511324519141024
30,0.02,"(31, 32)",False,d_G,0.6351254393190873,1,inverse,0.4898104782980157
31,0.02,"(32, 33)",True,d_G,0.6317780423207177,1,inverse,0.5117226828384421
