,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
0,0.02,0.6358450981574123,0.6333195621404801,"(0, 1)",1,0,False,0.49900504004880675,0.49936861633136487
1,0.02,0.6132443832054095,0.5981578267551526,"(0, 99)",0,0,True,0.4937731018128372,0.496228432422545
2,0.02,0.6069758708424629,0.5157324617884155,"(2, 1)",1,0,False,0.45936459790931017,0.47720496028460874
3,0.02,0.6514189308562215,0.6118096056749004,"(4, 3)",1,0,False,0.48432218556030654,0.4900989631477613
4,0.02,0.6414342865707541,0.6686518601498187,"(5, 4)",1,1,True,0.5103877037579536,0.5068039733700872
5,0.02,0.6867787558615988,0.6084180363475896,"(5, 6)",1,0,False,0.46974949290124823,0.4804198382688982
6,0.02,0.6363848088588047,0.6069542715941679,"(7, 8)",1,0,False,0.4881647180051983,0.49264289670975925
7,0.02,0.664372762937667,0.6909099191399386,"(9, 8)",1,1,True,0.5097902661021209,0.5066338997443661
8,0.02,0.6263955221965861,0.6143847575212308,"(10, 9)",1,0,False,0.49515999533854343,0.49699734492760944
9,0.02,0.588293321810521,0.6036580277081535,"(11, 10)",1,1,True,0.5064451900255145,0.5038411009093074
10,0.02,0.6211170053029759,0.6135008877442583,"(12, 11)",1,0,False,0.49691559728657425,0.49809597981390835
11,0.02,0.6472105224002933,0.6619214168955102,"(12, 13)",1,1,True,0.5056185683251797,0.503677657300431
12,0.02,0.6361347395907945,0.6315535440181249,"(13, 14)",1,0,False,0.49819309067067036,0.49885470310989444
13,0.02,0.6624103664684816,0.6980379929488587,"(14, 15)",1,1,True,0.513094075285458,0.5089059645910097
14,0.02,0.7157032574328114,0.685496868502375,"(16, 15)",1,0,False,0.4892212438568416,0.492448976904434
15,0.02,0.6142660089730302,0.6299235536895009,"(16, 17)",1,1,True,0.506292266542955,0.5039143062105904
16,0.02,0.5529703414218677,0.6330040007389847,"(18, 17)",1,1,True,0.5337417330510267,0.519997741529829
17,0.02,0.6672321272842604,0.6473922038347306,"(18, 19)",1,0,False,0.4924541471734962,0.4950401818279117
18,0.02,0.6625986918056651,0.6570591757548048,"(19, 20)",1,0,False,0.4979011544632016,0.4986151245286679
19,0.02,0.6307403280228328,0.6427826415018132,"(20, 21)",1,1,True,0.5047279529961973,0.503010541988107
20,0.02,0.6206511516248753,0.6108224533334552,"(21, 22)",1,0,False,0.4960093751697777,0.49754284520788705
21,0.02,0.662875631126376,0.6767482094572785,"(22, 23)",1,1,True,0.5051777886861354,0.5034680889638811
22,0.02,0.6124915704688275,0.5843155539124653,"(24, 23)",1,0,False,0.4882286727817866,0.49295646183639263
23,0.02,0.5851036659588499,0.5792626713807201,"(24, 25)",1,0,False,0.4974917711072463,0.4985397555070885
24,0.02,0.5875506860679858,0.5758835745186693,"(25, 26)",1,0,False,0.49498591714866924,0.497083255198567
25,0.02,0.6500364820107013,0.6836233125721505,"(27, 26)",1,1,True,0.5125919783658001,0.5083959183862675
26,0.02,0.6101830174725925,0.627887599469696,"(28, 27)",1,1,True,0.5071500695335251,0.5044260298874707
27,0.02,0.5594586642231372,0.6079491240927362,"(29, 28)",1,1,True,0.5207684325712579,0.512120240175457
28,0.02,0.6068855112480196,0.6661764118293981,"(30, 29)",1,1,True,0.5232867307970583,0.5148183843405244
29,0.02,0.6087697794689391,0.6369849254711689,"(30, 31)",1,1,True,0.511324519141024,0.5070533185811097
30,0.02,0.6351254393190873,0.6097559475042224,"(31, 32)",1,0,False,0.4898104782980157,0.493657967192869
31,0.02,0.6317780423207177,0.6621138099433908,"(32, 33)",1,1,True,0.5117226828384421,0.5075833603600808
32,0.02,0.6400776700860641,0.6207492249202249,"(33, 34)",1,0,False,0.4923350123469,0.49516803913813884
