,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
0,5,3.8500862,3.0646088,"(2, 1)",1,0,False,0.44320232,0.3131406
1,5,4.130424,4.300269,"(160, 1)",1,1,True,0.510073,0.5423595
2,5,4.1199546,3.8899114,"(21, 44)",1,0,False,0.48564002,0.44274145
3,5,3.9723642,4.107059,"(44, 45)",1,1,True,0.50833565,0.5336229
4,5,4.03522,3.9425573,"(170, 44)",1,0,False,0.49419242,0.4768508
5,5,3.9740367,3.7952278,"(59, 7)",1,0,False,0.48849255,0.4554165
6,5,3.0216548,2.3190856,"(50, 160)",1,0,False,0.43422547,0.33124286
7,5,3.8715267,4.269371,"(161, 160)",1,1,True,0.5244349,0.5981696
8,5,3.84801,4.272164,"(45, 22)",1,1,True,0.5261173,0.6044768
9,5,3.3555677,3.6067255,"(51, 45)",1,1,True,0.518037,0.5624615
10,5,3.573403,4.315516,"(45, 171)",1,1,True,0.54703516,0.67745775
11,5,3.917899,4.252877,"(45, 199)",1,1,True,0.5204986,0.58297014
12,5,4.4042907,4.115154,"(112, 58)",1,0,False,0.4830308,0.4282152
13,5,2.920774,3.4025853,"(51, 161)",1,1,True,0.53809774,0.6181755
14,5,3.869901,4.0988307,"(161, 62)",1,1,True,0.5143643,0.55698377
15,5,2.5965528,3.781366,"(161, 156)",1,1,True,0.59288394,0.76581216
16,5,2.9498792,3.1653833,"(18, 17)",1,1,True,0.5176202,0.55366844
17,5,4.3555517,3.9467113,"(170, 70)",1,0,False,0.47537777,0.3991902
18,5,3.713152,3.7369585,"(220, 70)",1,1,True,0.5015977,0.5059514
19,5,3.3536656,3.3648872,"(69, 28)",1,1,True,0.5008351,0.50280535
20,5,3.9466991,4.4072657,"(158, 69)",1,1,True,0.5275657,0.61314857
21,5,4.3042655,4.905711,"(69, 170)",1,1,True,0.53265184,0.645987
22,5,4.7044587,4.7619014,"(69, 175)",1,1,True,0.50303406,0.5143567
23,5,3.5405657,4.512216,"(260, 69)",1,1,True,0.5603301,0.72544837
24,5,3.8162491,4.060494,"(7, 134)",1,1,True,0.5155042,0.5607594
25,5,3.9695797,3.1918955,"(134, 85)",1,0,False,0.44570366,0.31481922
26,5,4.6849575,4.6255918,"(168, 134)",1,0,False,0.4968119,0.48516297
27,5,4.811357,4.463697,"(134, 175)",1,0,False,0.48125833,0.41394997
28,5,3.381706,3.301067,"(124, 198)",1,0,False,0.49396667,0.47985122
29,5,2.6205688,2.8987606,"(9, 10)",1,1,True,0.5252016,0.5691029
30,5,3.645451,4.2592316,"(9, 13)",1,1,True,0.53882384,0.6488027
31,5,4.473072,4.1375012,"(111, 13)",1,0,False,0.48051402,0.41688576
32,5,4.491153,4.778615,"(163, 13)",1,1,True,0.5155054,0.5713748
33,5,4.6618986,4.433722,"(176, 13)",1,0,False,0.4874568,0.44320208
34,5,4.1623006,4.023752,"(13, 184)",1,0,False,0.49153754,0.46541822
35,5,4.007656,4.2475657,"(96, 14)",1,1,True,0.5145308,0.5596914
36,5,4.183171,4.3302956,"(163, 14)",1,1,True,0.5086407,0.536715
37,5,3.5191882,3.1918476,"(73, 11)",1,0,False,0.47561178,0.41888785
38,5,4.5326705,3.8664455,"(71, 111)",1,0,False,0.46033958,0.33934268
39,5,4.6175194,3.4306803,"(111, 158)",1,0,False,0.4262668,0.23382473
40,5,4.316039,4.2726707,"(247, 111)",1,0,False,0.49747527,0.4891596
41,5,4.7397423,4.7586017,"(168, 163)",1,1,True,0.5009928,0.5047147
42,5,4.144957,3.8804693,"(176, 133)",1,0,False,0.4835219,0.43426085
43,5,4.01995,4.01067,"(20, 179)",1,0,False,0.49942222,0.4976801
44,5,4.382646,4.139296,"(55, 179)",1,0,False,0.48572215,0.43946096
45,5,3.9511793,4.48809,"(60, 179)",1,1,True,0.5318103,0.6310935
46,5,3.9020822,4.350888,"(61, 179)",1,1,True,0.5271905,0.6103552
47,5,3.711385,3.2912931,"(184, 185)",1,0,False,0.47000492,0.39649478
48,5,3.5705094,3.882885,"(225, 184)",1,1,True,0.52095526,0.57746494
49,5,3.898063,3.7403605,"(96, 99)",1,0,False,0.48967704,0.4606559
50,5,3.9394822,4.129346,"(183, 96)",1,1,True,0.51176524,0.5473238
51,5,3.6393452,3.3535104,"(254, 96)",1,0,False,0.47956237,0.42902386
52,5,3.9956174,3.4927533,"(175, 130)",1,0,False,0.46642366,0.3768678
53,5,4.50728,4.688127,"(132, 175)",1,1,True,0.5098336,0.54508895
54,5,4.1800985,3.6797364,"(235, 175)",1,0,False,0.4681697,0.37745556
55,5,2.9811952,2.7903886,"(237, 175)",1,0,False,0.4834702,0.45244256
56,5,4.4786253,3.8929877,"(252, 175)",1,0,False,0.46502241,0.35763642
57,5,3.860018,3.689874,"(178, 19)",1,0,False,0.488732,0.4575663
58,5,3.6791513,4.119771,"(60, 178)",1,1,True,0.5282488,0.6084066
59,5,3.8503168,4.6821485,"(67, 183)",1,1,True,0.5487451,0.6967421
60,5,3.3226144,4.1363792,"(223, 183)",1,1,True,0.5545492,0.6929112
61,5,3.8766587,4.4996204,"(224, 183)",1,1,True,0.5371861,0.6508919
62,5,2.6089485,3.168358,"(42, 18)",1,1,True,0.5484144,0.63631594
63,5,3.4733925,3.825729,"(52, 18)",1,1,True,0.52413553,0.587184
64,5,2.5161567,2.742314,"(42, 21)",1,1,True,0.5215041,0.55629957
65,5,2.851016,2.7980509,"(23, 172)",1,0,False,0.495312,0.4867618
66,5,5.189197,4.806346,"(56, 172)",1,0,False,0.4808489,0.4054394
67,5,1.4467065,1.8010514,"(137, 172)",1,1,True,0.55455226,0.5876708
68,5,3.7328649,2.9785311,"(72, 24)",1,0,False,0.443802,0.3198777
69,5,2.958237,2.9891372,"(72, 25)",1,1,True,0.5025978,0.5077244
70,5,3.2471159,3.4501626,"(128, 162)",1,1,True,0.5151589,0.550588
71,5,3.737259,3.8605614,"(162, 147)",1,1,True,0.50811434,0.53078663
72,5,4.1122956,3.3448696,"(220, 169)",1,0,False,0.4485444,0.31703618
73,5,3.1992323,3.0215933,"(158, 28)",1,0,False,0.48572224,0.45570666
74,5,3.3182473,3.9461808,"(56, 57)",1,1,True,0.5432198,0.65202075
75,5,4.1114855,4.0012507,"(56, 98)",1,0,False,0.49320605,0.47246918
76,5,4.2247314,4.146894,"(99, 56)",1,0,False,0.49535108,0.48055047
77,5,2.864115,3.015586,"(100, 56)",1,1,True,0.51288086,0.53779554
78,5,5.3359437,4.6160903,"(109, 56)",1,0,False,0.46383384,0.32742527
79,5,4.6490774,4.588962,"(56, 169)",1,0,False,0.49674633,0.48497567
80,5,4.74891,4.22061,"(256, 56)",1,0,False,0.4705503,0.37091348
81,5,2.9564896,3.3597317,"(56, 257)",1,1,True,0.53192115,0.5994663
82,5,3.6621866,3.9215245,"(56, 258)",1,1,True,0.51709837,0.56447357
83,5,3.6492586,3.6215575,"(259, 56)",1,0,False,0.49809507,0.49307516
84,5,3.518225,4.7112613,"(56, 260)",1,1,True,0.5724855,0.7672836
85,5,3.4505439,3.550173,"(159, 158)",1,1,True,0.50711566,0.5248867
86,5,3.5146782,3.8733366,"(271, 159)",1,1,True,0.524273,0.5887156
87,5,4.577649,4.3192945,"(54, 29)",1,0,False,0.4854807,0.43576825
88,5,4.029697,3.5073028,"(241, 29)",1,0,False,0.46534467,0.37229255
89,5,3.351684,3.0337825,"(29, 268)",1,0,False,0.4751074,0.42118722
90,5,3.3803222,3.019315,"(54, 38)",1,0,False,0.4717947,0.41071582
91,5,4.356611,3.767034,"(55, 54)",1,0,False,0.46371233,0.35673195
92,5,3.8970535,3.5091467,"(54, 128)",1,0,False,0.473812,0.40422127
93,5,4.704179,2.7036974,"(54, 210)",1,0,False,0.36497605,0.11915239
94,5,3.5920377,3.1563115,"(238, 54)",1,0,False,0.4677161,0.3927598
95,5,2.9680195,3.773516,"(54, 239)",1,1,True,0.5597413,0.69114894
96,5,4.8558702,4.1227546,"(54, 245)",1,0,False,0.4591744,0.3245114
97,5,2.7890315,2.7576663,"(54, 248)",1,0,False,0.49717265,0.49215934
98,5,4.3621335,4.618153,"(249, 54)",1,1,True,0.5142545,0.5636575
99,5,2.506921,2.1737897,"(248, 55)",1,0,False,0.46441445,0.41747892
100,5,4.7059913,4.2396817,"(55, 250)",1,0,False,0.4739366,0.38549006
101,5,3.5674548,3.5081124,"(206, 241)",1,0,False,0.49580655,0.48516873
102,5,3.5382137,1.7479509,"(267, 268)",1,0,False,0.33066523,0.14304051
103,5,3.365363,2.2901912,"(269, 268)",1,0,False,0.4049455,0.25442085
104,5,3.8592598,2.5916862,"(88, 30)",1,0,False,0.40175286,0.2196729
105,5,2.4290879,1.735576,"(207, 88)",1,0,False,0.41673857,0.33325228
106,5,3.041099,2.8481941,"(206, 242)",1,0,False,0.48362237,0.45192274
107,5,3.7947087,3.2396264,"(253, 245)",1,0,False,0.4605448,0.36468604
108,5,3.1906705,2.660325,"(34, 91)",1,0,False,0.454679,0.3704363
109,5,4.5507665,4.1283717,"(97, 57)",1,0,False,0.4756661,0.39594382
110,5,3.4267693,3.388916,"(101, 57)",1,0,False,0.49722308,0.49053782
111,5,3.0504203,3.9360821,"(102, 57)",1,1,True,0.56338376,0.7079941
112,5,4.628793,4.745091,"(57, 103)",1,1,True,0.50620335,0.5290418
113,5,4.78886,5.017959,"(168, 57)",1,1,True,0.5116806,0.5570256
114,5,4.4453692,3.9747655,"(246, 57)",1,0,False,0.4720549,0.38447335
115,5,4.596344,4.34381,"(252, 57)",1,0,False,0.48587644,0.43719992
116,5,3.939275,3.519875,"(57, 253)",1,0,False,0.4718869,0.39666036
117,5,3.6242042,3.9519453,"(57, 254)",1,1,True,0.5216298,0.5812096
118,5,4.5236773,4.4951663,"(256, 57)",1,0,False,0.49841937,0.49287274
119,5,3.9719818,3.0133948,"(259, 57)",1,0,False,0.43138617,0.2771612
120,5,3.7102947,3.7469447,"(57, 276)",1,1,True,0.5024573,0.5091614
121,5,2.8177278,3.6294158,"(199, 51)",1,1,True,0.5629494,0.69246906
122,5,1.458381,3.0709348,"(199, 201)",1,1,True,0.6780129,0.8337657
123,5,1.0432655,2.536875,"(49, 48)",1,1,True,0.7085965,0.8166194
124,5,4.779823,4.7876916,"(152, 67)",1,1,True,0.5004112,0.5019672
125,5,2.70182,1.6794239,"(207, 87)",1,0,False,0.38332126,0.26456094
126,5,3.5228589,3.714954,"(256, 90)",1,1,True,0.5132702,0.54787666
127,5,4.0148983,4.0026503,"(146, 151)",1,0,False,0.49923617,0.49693802
128,5,4.204175,3.3206215,"(151, 259)",1,0,False,0.44129056,0.29244193
129,5,3.063214,3.0863917,"(152, 145)",1,1,True,0.50188446,0.50579417
130,5,1.477841,1.808857,"(152, 164)",1,1,True,0.5503569,0.5820066
131,5,2.1675863,1.5174835,"(209, 210)",1,0,False,0.4117923,0.34296638
132,5,3.6152654,3.4983394,"(247, 273)",1,0,False,0.49178153,0.47080174
133,5,3.0534337,3.1484928,"(95, 94)",1,1,True,0.50766367,0.5237469
134,5,3.70792,3.2298076,"(250, 144)",1,0,False,0.46554255,0.3826979
135,5,2.2352653,2.8069289,"(250, 145)",1,1,True,0.55668795,0.639147
136,5,3.1042714,2.2536666,"(97, 98)",1,0,False,0.420622,0.299306
137,5,2.473121,2.437118,"(254, 99)",1,0,False,0.49633393,0.49100018
138,5,4.543289,4.4812818,"(168, 132)",1,0,False,0.4965645,0.48450315
139,5,4.1590543,3.8694823,"(168, 169)",1,0,False,0.48196608,0.42810863
140,5,1.4089384,2.2487457,"(168, 213)",1,1,True,0.6148004,0.69842464
141,5,4.3648562,3.9954863,"(219, 168)",1,0,False,0.4779094,0.40869325
142,5,4.1724734,4.3511405,"(168, 226)",1,1,True,0.5104807,0.54454833
143,5,4.289848,4.210402,"(169, 133)",1,0,False,0.49532688,0.480149
144,5,0.0,0.0,"(169, 169)",1,1,True,,0.5
145,5,4.1914663,4.411991,"(223, 169)",1,1,True,0.5128161,0.5549089
146,5,4.41139,4.188446,"(169, 225)",1,0,False,0.4870379,0.4444938
147,5,4.3660035,4.3535705,"(226, 251)",1,0,False,0.49928707,0.49689177
148,5,3.5852187,3.0808766,"(253, 252)",1,0,False,0.46217108,0.3765208
149,5,3.8396738,3.7179885,"(255, 252)",1,0,False,0.49194956,0.46961617
150,5,3.0206726,2.5496566,"(254, 255)",1,0,False,0.457721,0.38437578
151,5,3.2115993,2.783232,"(255, 256)",1,0,False,0.46427196,0.39451626
152,5,3.2291934,2.657153,"(275, 276)",1,0,False,0.45140955,0.36076614
153,5,3.8339458,4.062208,"(60, 61)",1,1,True,0.514454,0.55681914
154,5,4.453702,4.1308413,"(61, 190)",1,0,False,0.48119524,0.41997874
155,5,4.2251678,4.42087,"(61, 191)",1,1,True,0.51131743,0.54876995
156,5,4.1390486,3.7803822,"(133, 191)",1,0,False,0.47735527,0.41128245
157,5,3.9748878,4.1326594,"(187, 191)",1,1,True,0.5097299,0.5393613
158,5,4.0235066,3.8973904,"(226, 191)",1,0,False,0.49203902,0.46851262
159,5,3.4927878,2.9276655,"(116, 195)",1,0,False,0.45599046,0.36236307
160,5,3.4077432,2.7828343,"(192, 195)",1,0,False,0.4495274,0.3486658
161,5,4.0168905,3.3366396,"(190, 132)",1,0,False,0.45374665,0.33620533
162,5,3.3394563,3.406367,"(186, 190)",1,1,True,0.50495946,0.5167214
163,5,3.5265365,3.7800765,"(65, 62)",1,1,True,0.51735,0.5630476
164,5,3.4465642,3.2080977,"(63, 65)",1,0,False,0.48208275,0.4406643
165,5,2.4947622,3.3434832,"(66, 65)",1,1,True,0.57268625,0.7002988
166,5,3.2815125,1.4719224,"(173, 64)",1,0,False,0.30965447,0.14068767
167,5,3.4416413,2.853245,"(174, 64)",1,0,False,0.45326394,0.3570029
168,5,3.2800875,3.142083,"(219, 202)",1,0,False,0.4892556,0.46555355
169,5,2.3192766,2.4289117,"(80, 79)",1,1,True,0.51154494,0.52738136
170,5,3.6073005,3.718834,"(80, 182)",1,1,True,0.50761205,0.5278545
171,5,4.1975746,3.2271261,"(132, 83)",1,0,False,0.43464732,0.27479112
172,5,3.1120057,3.4052856,"(231, 132)",1,1,True,0.52250016,0.5727989
173,5,3.405366,3.717994,"(177, 133)",1,1,True,0.52194387,0.57752657
174,5,3.0705173,3.7311733,"(133, 232)",1,1,True,0.5485655,0.65940773
175,5,3.281363,3.0371616,"(135, 86)",1,0,False,0.4806758,0.43925124
