,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
0,5,2.2685323,1.9288107,"(1, 106)",1,0,False,0.45953137,0.4158771
1,5,2.7492049,1.6502818,"(219, 1)",1,0,False,0.37510782,0.24994172
2,5,2.2875674,1.1804405,"(1, 321)",1,0,False,0.34037998,0.24840692
3,5,1.8056412,1.0355734,"(77, 76)",1,0,False,0.36448264,0.31646445
4,5,1.3640958,1.4308773,"(106, 105)",1,1,True,0.51194674,0.5166892
5,5,2.5600615,1.5303874,"(6, 4)",1,0,False,0.37413678,0.2631473
6,5,2.5467625,0.75654364,"(160, 4)",1,0,False,0.22902618,0.14304589
7,5,1.4769969,1.3555785,"(5, 6)",1,0,False,0.47856748,0.46968263
8,5,1.5559373,1.5914075,"(6, 345)",1,1,True,0.5056349,0.5088666
9,5,1.7036259,0.4630435,"(301, 72)",1,0,False,0.2137121,0.22433463
10,5,1.74068,0.83356553,"(44, 221)",1,0,False,0.32380965,0.28759068
11,5,1.4458768,1.496354,"(328, 221)",1,1,True,0.50857806,0.5126166
12,5,1.3450282,1.7235836,"(328, 345)",1,1,True,0.56168187,0.5935247
13,5,2.6468232,0.37425262,"(39, 8)",1,0,False,0.12388057,0.093420275
14,5,2.1722577,0.23481777,"(9, 295)",1,0,False,0.09755315,0.12592937
15,5,2.547237,0.7463261,"(34, 119)",1,0,False,0.22660142,0.14174022
16,5,2.9368374,0.3919736,"(180, 34)",1,0,False,0.11775184,0.072772294
17,5,2.0667028,1.2278304,"(58, 59)",1,0,False,0.37268722,0.30177233
18,5,2.1550562,1.9332848,"(348, 10)",1,0,False,0.4728776,0.44478327
19,5,2.0473104,1.6587251,"(59, 348)",1,0,False,0.447574,0.40405795
20,5,1.666249,0.24485569,"(342, 354)",1,0,False,0.12812258,0.19444323
21,5,1.5092658,0.27236432,"(16, 122)",1,0,False,0.15287367,0.2249758
22,5,1.5907146,0.33241397,"(20, 19)",1,0,False,0.17285062,0.22126658
23,5,2.3153327,1.0182772,"(181, 38)",1,0,False,0.30545783,0.21466099
24,5,2.6486728,1.6768698,"(245, 181)",1,0,False,0.3876669,0.27452126
25,5,1.41262,0.2602827,"(21, 22)",1,0,False,0.15558746,0.24006246
26,5,1.5143038,0.8676004,"(168, 169)",1,0,False,0.36424658,0.3437328
27,5,2.1403198,1.1439847,"(262, 99)",1,0,False,0.3483187,0.2696626
28,5,1.67991,0.23668425,"(24, 23)",1,0,False,0.1234921,0.1910463
29,5,2.0786808,0.84103155,"(192, 26)",1,0,False,0.28805292,0.22484545
30,5,1.6811434,0.8510715,"(293, 191)",1,0,False,0.33609766,0.30362985
31,5,1.6885536,1.56744,"(192, 336)",1,0,False,0.48140147,0.46975857
32,5,3.2089155,2.1051612,"(28, 27)",1,0,False,0.39614806,0.24903712
33,5,2.5524807,2.680396,"(29, 27)",1,1,True,0.5122223,0.5319354
34,5,2.617194,2.489201,"(30, 27)",1,0,False,0.48746735,0.46804538
35,5,2.1049838,1.9477668,"(27, 31)",1,0,False,0.48060367,0.4607765
36,5,2.4236114,1.9839791,"(175, 27)",1,0,False,0.45012784,0.3918286
37,5,3.2625134,2.4485195,"(27, 187)",1,0,False,0.428735,0.30704004
38,5,1.7469418,1.5569754,"(315, 29)",1,0,False,0.47125134,0.4526507
39,5,1.7033231,1.0807033,"(30, 184)",1,0,False,0.38817996,0.34918585
40,5,2.423345,1.7761487,"(187, 272)",1,0,False,0.4229435,0.34362158
41,5,2.8665047,1.6772847,"(68, 67)",1,0,False,0.36913785,0.23339848
42,5,2.4811723,1.1939119,"(67, 252)",1,0,False,0.32486653,0.21631688
43,5,2.9222312,2.2019925,"(67, 320)",1,0,False,0.42972216,0.32734042
44,5,2.6694546,1.7087783,"(206, 68)",1,0,False,0.3902895,0.27674282
45,5,1.4271462,0.88334626,"(279, 278)",1,0,False,0.38231948,0.36730406
46,5,2.2179883,1.8827368,"(47, 49)",1,0,False,0.4591229,0.4169634
47,5,2.432112,1.5327277,"(49, 174)",1,0,False,0.38658,0.28917706
48,5,2.39954,1.3736755,"(49, 292)",1,0,False,0.36405966,0.26388663
49,5,1.7272952,1.1035329,"(315, 314)",1,0,False,0.38982692,0.34892622
50,5,1.4009593,0.35001987,"(32, 33)",1,0,False,0.19989951,0.25904477
51,5,1.6946603,0.8442101,"(358, 132)",1,0,False,0.33251405,0.29933843
52,5,2.751789,1.0481981,"(69, 35)",1,0,False,0.27584255,0.15399684
53,5,2.2051888,0.96515167,"(343, 180)",1,0,False,0.30443156,0.22442952
54,5,1.9450926,0.79796946,"(70, 69)",1,0,False,0.29090467,0.24101496
55,5,1.6634387,2.43348,"(41, 40)",1,1,True,0.59397817,0.68352985
56,5,1.8321562,1.8101294,"(40, 170)",1,0,False,0.4969763,0.49449354
57,5,1.6209958,1.1932459,"(52, 41)",1,0,False,0.42400262,0.39466375
58,5,1.4941047,1.0050739,"(322, 170)",1,0,False,0.4021617,0.38012192
59,5,1.3320702,0.7475647,"(53, 52)",1,0,False,0.3594692,0.35789654
60,5,1.5002835,0.28205723,"(199, 198)",1,0,False,0.158251,0.22824873
61,5,1.4488677,1.8523797,"(45, 46)",1,1,True,0.561115,0.5995312
62,5,2.3425045,1.7511568,"(45, 161)",1,0,False,0.4277728,0.3563257
63,5,2.3304293,2.355139,"(162, 45)",1,1,True,0.5026368,0.5061771
64,5,2.8685927,2.1864011,"(45, 196)",1,0,False,0.432523,0.3357723
65,5,1.719349,2.3568673,"(261, 45)",1,1,True,0.5781997,0.65419227
66,5,2.2006128,1.177662,"(162, 48)",1,0,False,0.34859863,0.26445302
67,5,2.4862704,1.5125808,"(47, 48)",1,0,False,0.37825382,0.2741457
68,5,1.8694785,1.2136806,"(246, 338)",1,0,False,0.3936484,0.3416842
69,5,1.8042393,0.9053196,"(310, 278)",1,0,False,0.33412066,0.28927255
70,5,1.2168231,0.78314275,"(147, 148)",1,0,False,0.39157805,0.3932478
71,5,1.5636944,0.8590047,"(201, 54)",1,0,False,0.35456517,0.33077326
72,5,1.934153,1.052844,"(55, 99)",1,0,False,0.35247576,0.2929066
73,5,1.3427078,0.9310229,"(79, 201)",1,0,False,0.4094693,0.3985082
74,5,1.7802052,1.1441176,"(102, 105)",1,0,False,0.39124188,0.34613147
75,5,2.276759,1.1855118,"(59, 76)",1,0,False,0.34240875,0.2513835
76,5,1.5588926,0.31607917,"(179, 60)",1,0,False,0.16857809,0.22394668
77,5,1.9687027,0.34788188,"(61, 109)",1,0,False,0.15017016,0.1650917
78,5,1.378444,1.7127784,"(63, 62)",1,1,True,0.55407804,0.5828137
79,5,1.8301952,2.2092004,"(336, 62)",1,1,True,0.5469136,0.5936331
80,5,2.1127515,0.33336315,"(213, 120)",1,0,False,0.13628271,0.14437869
