,dimension,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
0,5,0.14076604409104534,0.13017611853585837,"(99, 0)",0,0,True,0.48045722110484207,0.49735254335307855
1,5,0.12692886015508462,0.17560438920764782,"(7, 8)",1,1,True,0.5804465776160062,0.5121664801806419
2,5,0.06693688676339006,0.06065954716372015,"(9, 8)",1,0,False,0.4754015868372315,0.4984306702533647
3,5,0.12338367827898515,0.1153648050758613,"(11, 10)",1,0,False,0.48320644158562975,0.4979952924414877
4,5,0.13532335020291092,0.1410511378471496,"(12, 13)",1,1,True,0.5103623668100675,0.5014319429961832
5,5,0.05657448120594929,0.11290364128939429,"(14, 15)",1,1,True,0.6661841636373823,0.5140785676399604
6,5,0.07115880814072754,0.08048235722046042,"(15, 16)",1,1,True,0.5307421439868438,0.5023308703850223
7,5,0.06047063837050141,0.14941022115440064,"(20, 19)",1,1,True,0.7118811190911544,0.5222202503165576
8,5,0.1444229816815333,0.1150396853231526,"(20, 21)",1,0,False,0.44337663931079146,0.4926547043834178
9,5,0.15726236344982766,0.22533954313724527,"(22, 21)",1,1,True,0.5889660748095678,0.5170127249697616
10,5,0.1417138126290062,0.1715062668779899,"(23, 22)",1,1,True,0.5475583402824566,0.5074475627050081
11,5,0.12290458707596624,0.07917071819312517,"(24, 25)",1,0,False,0.391788190485217,0.489068275105224
12,5,0.028495960186265355,0.059764822032323535,"(26, 25)",1,1,True,0.677139047831102,0.5078165785889759
13,5,0.04582488236384928,0.11852560520517094,"(26, 27)",1,1,True,0.7211758660307912,0.5181671796882353
14,5,0.11825267632214602,0.10170825461324949,"(28, 27)",1,0,False,0.46239236295613834,0.49586398891403094
15,5,0.18784933221821062,0.13344911543508856,"(29, 28)",1,0,False,0.4153431689750595,0.48640329879337457
16,5,0.08525430978145114,0.1923980631621476,"(32, 31)",1,1,True,0.6929458629234573,0.5267603429957262
17,5,0.1341288463863677,0.14154070542958094,"(32, 33)",1,1,True,0.5134433763075905,0.5018529562780306
18,5,0.0776313247307813,0.12970325773994343,"(34, 35)",1,1,True,0.6255746445880889,0.513015042542821
19,5,0.0781737280321056,0.1608838845015221,"(36, 35)",1,1,True,0.6729920992534422,0.520665759307119
20,5,0.13866946701824784,0.17213304209597444,"(36, 37)",1,1,True,0.5538341456333424,0.5083651131719544
21,5,0.12010348187523455,0.11137094522403042,"(40, 41)",1,0,False,0.48113714598922136,0.49781687971040073
22,5,0.1156857730729442,0.13233887000837943,"(42, 41)",1,1,True,0.5335714563047974,0.5041631780213036
23,5,0.13284672170844938,0.23505327297621978,"(42, 43)",1,1,True,0.6389053448551592,0.5255294179458045
24,5,0.08423191416023142,0.09472780075474774,"(44, 43)",1,1,True,0.5293247186929828,0.5026239475600398
25,5,0.12332148239349187,0.08923321850946114,"(47, 48)",1,0,False,0.4198129617006341,0.4914787591600795
26,5,0.12111858567964702,0.13840331026516497,"(51, 50)",1,1,True,0.5333010910747846,0.5043210735659733
27,5,0.11932310951858804,0.10746271541036045,"(53, 52)",1,0,False,0.473851112361314,0.49703493623056183
28,5,0.09818798638413537,0.07700369239935241,"(54, 55)",1,0,False,0.43953966840239095,0.49470412455672763
29,5,0.11426855865073648,0.11820665088906095,"(56, 57)",1,1,True,0.508469918676749,0.5009845217872043
30,5,0.1588724625629674,0.11702924001008509,"(59, 58)",1,0,False,0.42417005374984385,0.4895407203743238
31,5,0.12522442908937176,0.12648433291285735,"(61, 60)",1,1,True,0.5025027015616453,0.5003149759142064
32,5,0.06572342185952465,0.03399528307635922,"(62, 63)",1,0,False,0.34091179882668116,0.4920686306521771
33,5,0.10333093339958313,0.09356344439743798,"(67, 66)",1,0,False,0.4751961200938544,0.4975581471629446
34,5,0.09051732588034643,0.11137725433359646,"(70, 69)",1,1,True,0.5516604468310771,0.5052147930190687
35,5,0.10346282923021026,0.10892361076782929,"(74, 75)",1,1,True,0.5128557678580361,0.501365191991889
36,5,0.08757526955146064,0.061919005836907376,"(76, 77)",1,0,False,0.4141898121252423,0.49358628588316766
37,5,0.11544444198093488,0.03854483254698115,"(78, 79)",1,0,False,0.2503085534050849,0.4807845659940615
38,5,0.12869061420535216,0.08134470321503441,"(80, 79)",1,0,False,0.38729059576310515,0.48816573284573733
39,5,0.13620902726639994,0.08150832941164554,"(81, 82)",1,0,False,0.37437680971011345,0.48632823438273176
40,5,0.1456588850659816,0.18894438542453884,"(83, 82)",1,1,True,0.5646818249790293,0.5108196857976375
