_UID,system,l1,l2,theta,score
0,celegans,1,2,0.05,0.656556645851918
1,celegans,1,2,0.05,0.6566104702750666
2,celegans,1,2,0.05,0.6598214285714286
3,celegans,1,2,0.14,0.6510468594217348
4,celegans,1,2,0.14,0.6588693957115009
5,celegans,1,2,0.14,0.6522593320235757
6,celegans,1,2,0.22999999999999998,0.6570203644158628
7,celegans,1,2,0.22999999999999998,0.6431718061674009
8,celegans,1,2,0.22999999999999998,0.6334792122538293
9,celegans,1,2,0.32,0.6456310679611651
10,celegans,1,2,0.32,0.6509661835748792
11,celegans,1,2,0.32,0.6349614395886889
12,celegans,1,2,0.41,0.6187919463087248
13,celegans,1,2,0.41,0.6099397590361446
14,celegans,1,2,0.41,0.6379310344827587
15,celegans,1,2,0.5,0.6386554621848739
16,celegans,1,2,0.5,0.6463195691202872
17,celegans,1,2,0.5,0.6150081566068516
18,celegans,1,3,0.05,0.811142061281337
19,celegans,1,3,0.05,0.8098710039259674
20,celegans,1,3,0.05,0.8102392877017252
21,celegans,1,3,0.14,0.8165359082679541
22,celegans,1,3,0.14,0.8113091579594346
23,celegans,1,3,0.14,0.8114250614250614
24,celegans,1,3,0.22999999999999998,0.8058783321941216
25,celegans,1,3,0.22999999999999998,0.816271186440678
26,celegans,1,3,0.22999999999999998,0.8130646282140376
27,celegans,1,3,0.32,0.8069345941686368
28,celegans,1,3,0.32,0.8088235294117647
29,celegans,1,3,0.32,0.8170347003154574
30,celegans,1,3,0.41,0.8125560538116592
31,celegans,1,3,0.41,0.8089395267309377
32,celegans,1,3,0.41,0.8039033457249071
33,celegans,1,3,0.5,0.7955974842767296
34,celegans,1,3,0.5,0.801440329218107
35,celegans,1,3,0.5,0.7983104540654699
36,celegans,2,3,0.05,0.805184603299293
37,celegans,2,3,0.05,0.809674861221253
38,celegans,2,3,0.05,0.8012668250197942
39,celegans,2,3,0.14,0.8040421792618629
40,celegans,2,3,0.14,0.8085664335664335
41,celegans,2,3,0.14,0.8057996485061512
42,celegans,2,3,0.22999999999999998,0.8054740957966764
43,celegans,2,3,0.22999999999999998,0.798219584569733
44,celegans,2,3,0.22999999999999998,0.8007889546351085
45,celegans,2,3,0.32,0.8037077426390403
46,celegans,2,3,0.32,0.8008800880088008
47,celegans,2,3,0.32,0.7974971558589306
48,celegans,2,3,0.41,0.798234552332913
49,celegans,2,3,0.41,0.7960526315789473
50,celegans,2,3,0.41,0.8029739776951673
51,celegans,2,3,0.5,0.7831149927219796
52,celegans,2,3,0.5,0.7851622874806801
53,celegans,2,3,0.5,0.782798833819242
54,london,1,2,0.05,0.7875354107648725
55,london,1,2,0.05,0.8033240997229917
56,london,1,2,0.05,0.7915492957746478
57,london,1,2,0.14,0.654320987654321
58,london,1,2,0.14,0.678125
59,london,1,2,0.14,0.6656441717791411
60,london,1,2,0.22999999999999998,0.7979094076655052
61,london,1,2,0.22999999999999998,0.81
62,london,1,2,0.22999999999999998,0.5777027027027027
63,london,1,2,0.32,0.8185328185328186
64,london,1,2,0.32,0.7975206611570248
65,london,1,2,0.32,0.8125
66,london,1,2,0.41,0.7918552036199095
67,london,1,2,0.41,0.7913043478260869
68,london,1,2,0.41,0.834061135371179
69,london,1,2,0.5,0.8342245989304813
70,london,1,2,0.5,0.8342245989304813
71,london,1,2,0.5,0.8358974358974359
72,london,1,3,0.05,0.8492753623188406
73,london,1,3,0.05,0.8583815028901735
74,london,1,3,0.05,0.8575581395348837
75,london,1,3,0.14,0.8483870967741935
76,london,1,3,0.14,0.875
77,london,1,3,0.14,0.7328990228013029
78,london,1,3,0.22999999999999998,0.862453531598513
79,london,1,3,0.22999999999999998,0.8741496598639455
80,london,1,3,0.22999999999999998,0.8768656716417911
81,london,1,3,0.32,0.8838174273858921
82,london,1,3,0.32,0.8861788617886179
83,london,1,3,0.32,0.8842975206611571
84,london,1,3,0.41,0.8375634517766497
85,london,1,3,0.41,0.8552631578947368
86,london,1,3,0.41,0.8716814159292036
87,london,1,3,0.5,0.8700564971751412
88,london,1,3,0.5,0.875
89,london,1,3,0.5,0.893491124260355
90,london,2,3,0.05,0.5916666666666667
91,london,2,3,0.05,0.6033057851239669
92,london,2,3,0.05,0.5819672131147541
93,london,2,3,0.14,0.6320754716981132
94,london,2,3,0.14,0.4144144144144144
95,london,2,3,0.14,0.5932203389830508
96,london,2,3,0.22999999999999998,0.6354166666666666
97,london,2,3,0.22999999999999998,0.11827956989247312
98,london,2,3,0.22999999999999998,0.2222222222222222
99,london,2,3,0.32,0.6551724137931034
100,london,2,3,0.32,0.6588235294117647
101,london,2,3,0.32,0.6136363636363636
102,london,2,3,0.41,0.6307692307692307
103,london,2,3,0.41,0.625
104,london,2,3,0.41,0.5753424657534246
105,london,2,3,0.5,0.6567164179104478
106,london,2,3,0.5,0.625
107,london,2,3,0.5,0.65625
