_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
0,london,1,2,0.05,0.8112676056338028,0.3733934494195688,-0.581886251498831,0.8899702824863435
1,london,1,2,0.05,0.8073654390934845,0.4453560371517028,-0.5916755551344214,0.7912504222311416
2,london,1,2,0.05,0.8153409090909091,0.39458590190297504,-0.5331836014743393,0.41666909645927674
3,london,1,2,0.05,0.8045977011494253,0.42037815126050415,-0.6693347372147044,1.6189421406800666
4,london,1,2,0.05,0.8083333333333333,0.3646097913242691,-0.4008868594547555,0.6836221853134979
5,london,1,2,0.1,0.808955223880597,0.37223247232472323,-0.9044532742299731,2.044057327294346
6,london,1,2,0.1,0.8005952380952381,0.4690118182322588,-0.018881279884960307,1.8403784666716918
7,london,1,2,0.1,0.8171091445427728,0.37556771864446253,-0.5780763764301279,0.996191224751077
8,london,1,2,0.1,0.8023952095808383,0.37279511533242876,-0.5871474453390122,1.4940884276052024
9,london,1,2,0.1,0.7965116279069767,0.459436913451512,-0.3586928420062053,2.086180073975911
10,london,1,2,0.15000000000000002,0.8,0.3421630859375,-0.6544412429885457,1.5341516742961883
11,london,1,2,0.15000000000000002,0.807570977917981,0.309234118852459,-0.9392714197145328,1.602449929764186
12,london,1,2,0.15000000000000002,0.8169934640522876,0.2948571428571428,-0.9843817952454169,1.8302034145863335
13,london,1,2,0.15000000000000002,0.7949526813880127,0.3799145299145299,-0.7555192933479282,1.7080059701538979
14,london,1,2,0.15000000000000002,0.79375,0.25441422094965405,-0.7642059730698699,2.116651349575727
15,london,1,2,0.2,0.8092105263157895,0.3451780207457247,-0.6210619003726645,1.06806233700302
16,london,1,2,0.2,0.8080808080808081,0.34912280701754395,-1.006376406967456,2.1056990971405574
17,london,1,2,0.2,0.7913907284768212,0.3449558344955835,-0.0747315304484901,1.8377925275619489
18,london,1,2,0.2,0.803921568627451,0.3132791327913279,-1.078548792153559,2.668811348606471
19,london,1,2,0.2,0.8245033112582781,0.3024172160339471,-0.9546074085286373,1.5781245992535584
20,london,1,2,0.25,0.7985074626865671,0.26246105919003115,-0.38850833673776125,1.5320369582573683
21,london,1,2,0.25,0.7993079584775087,0.29250634423048216,-0.8074688070729059,1.4471563402482144
22,london,1,2,0.25,0.7793594306049823,0.2829577257328031,-0.23937798600688706,1.8334253145803467
23,london,1,2,0.25,0.7943262411347518,0.27701662561576357,-0.7735863664493221,1.4690093365202495
24,london,1,2,0.25,0.7872340425531915,0.2704204204204204,-0.8162032325135575,1.7839592237123931
25,london,1,2,0.3,0.8467741935483871,0.2532581453634085,-0.9839786526656695,1.6184911388484056
26,london,1,2,0.3,0.806949806949807,0.2888038277511962,-1.0681026428326341,2.245416845592773
27,london,1,2,0.3,0.8253968253968254,0.255354020979021,-0.986072271391451,1.3083676644882645
28,london,1,2,0.3,0.8072727272727273,0.26908040115587284,-0.3396277797202369,1.239002091460416
29,london,1,2,0.3,0.7969924812030075,0.26170510132774283,-1.0858761784957573,2.243713443170187
30,london,1,2,0.35000000000000003,0.8025751072961373,0.34422227388979304,-0.8515898037021093,1.1349902358740607
