_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
0,london,1,2,0.05,0.8101983002832861,0.5525239777889955,-0.7947922486603792,2.34731631269661
1,london,1,2,0.05,0.8050139275766016,0.4414236282748393,-0.4534304439874875,1.4415281107171165
2,london,1,2,0.05,0.8067226890756303,0.441065206570433,-0.7485246764372144,1.96172697622917
3,london,1,2,0.05,0.8202247191011236,0.5633166348189845,-0.7036951624722818,0.4298834967630876
4,london,1,2,0.05,0.807909604519774,0.6142276840806252,-0.5081603178569553,1.0451904091367874
5,london,1,2,0.1,0.8374233128834356,0.5985273703904883,-1.0008145474481882,1.6769554843127832
6,london,1,2,0.1,0.8024316109422492,0.5364801864801865,-0.8315275362693753,1.2225477185582043
7,london,1,2,0.1,0.8095238095238095,0.6855804711893272,-0.8150609798195948,1.0309105766360844
8,london,1,2,0.1,0.8097982708933718,0.5912326108055646,-0.7246892723970463,0.801551634600704
9,london,1,2,0.1,0.8035190615835777,0.40475541998039005,-0.655771785073214,1.1324945712714083
10,london,1,2,0.15000000000000002,0.8688524590163934,0.7499650984224486,-1.1451981134886937,2.007469103773185
11,london,1,2,0.15000000000000002,0.8359621451104101,0.7715484118852458,-0.9881510957180438,1.225715127109401
12,london,1,2,0.15000000000000002,0.82,0.6028877152068043,-1.0499393784627298,1.828501140995086
13,london,1,2,0.15000000000000002,0.8260869565217391,0.6741742749731472,-0.8311995743126804,0.4155876689146207
14,london,1,2,0.15000000000000002,0.8364197530864198,0.6865611918246737,-0.9327814585396019,1.3106198423966842
15,london,1,2,0.2,0.864406779661017,0.687800087298123,-1.1330446970206853,1.92451048294625
16,london,1,2,0.2,0.8556701030927835,0.7285053929121726,-1.0833890362166032,1.4026261311679127
17,london,1,2,0.2,0.8694158075601375,0.7864499517219183,-1.0563029712869276,0.9837427751398489
18,london,1,2,0.2,0.8377483443708609,0.554251012145749,-1.0195848032864476,1.1272515732095978
19,london,1,2,0.2,0.8284789644012945,0.6195448460508701,-0.9469422951310783,0.9455389877506858
20,london,1,2,0.25,0.8280701754385965,0.6747826086956521,-1.0431943288555154,1.1336227163777541
21,london,1,2,0.25,0.8737201365187713,0.6911556603773585,-1.1370808184062118,1.6068448425283348
22,london,1,2,0.25,0.8391608391608392,0.6526844278888979,-1.055634270068803,0.935842223264074
23,london,1,2,0.25,0.8596491228070176,0.8255614472863381,-1.0418316670803838,1.3679288370298772
24,london,1,2,0.25,0.855072463768116,0.6590236060580421,-1.2339191503004525,2.1905328636128694
25,london,1,2,0.3,0.8598484848484849,0.693695460339249,-1.2165064685430684,1.776600215697917
26,london,1,2,0.3,0.9219330855018587,0.8857964515500097,-1.1557171662155576,1.2981260224142517
27,london,1,2,0.3,0.8125,0.7403740374037404,-1.086149463915298,1.3000230057539797
28,london,1,2,0.3,0.8458646616541353,0.79740294751977,-1.0760289116637083,1.0058763190398894
29,london,1,2,0.3,0.91015625,0.837230121116377,-1.1355965189522155,1.0340361283444062
30,london,1,2,0.35000000000000003,0.8429752066115702,0.7967105263157895,-1.235038667102102,2.0342517590560987
31,london,1,2,0.35000000000000003,0.84,0.7513500000000001,-1.1147415255884072,1.1335523652973598
32,london,1,2,0.35000000000000003,0.8645418326693227,0.7772782380278844,-1.185323023834793,1.6106655743526626
33,london,1,2,0.35000000000000003,0.8155737704918032,0.8337397135019811,-1.1207956151928644,1.1416011123276126
34,london,1,2,0.35000000000000003,0.8818565400843882,0.7984693877551021,-1.178002920320239,1.5746318690390024
35,london,1,2,0.4,0.8513513513513513,0.8130745658835546,-1.1879917284525918,1.4004026417984459
36,london,1,2,0.4,0.8604651162790697,0.8256428571428571,-1.3042155231257184,1.9630442224450264
37,london,1,2,0.4,0.8728813559322034,0.8221058755090169,-1.2122993388489782,1.6452725914586963
38,london,1,2,0.4,0.8577777777777778,0.8392139628327474,-1.1579921108758886,0.4836672182956367
39,london,1,2,0.4,0.8525345622119815,0.7619509043927648,-1.2288931162938042,1.6991978939504369
40,london,1,2,0.45,0.8990384615384616,0.8106527580211791,-1.2197638670191773,1.145625637179747
41,london,1,2,0.45,0.77,0.9379234417344173,-0.9511934242341399,-0.1323521877737444
42,london,1,2,0.45,0.9116279069767442,0.8447814451382694,-1.2209451918985175,1.2800591438180482
43,london,1,2,0.45,0.8916256157635468,0.8639928698752228,-1.2329212931611924,1.1412262724278708
44,london,1,2,0.45,0.8311111111111111,0.8185028248587569,-1.1960601860409275,1.6854191678546437
45,london,1,2,0.5,0.8697916666666666,0.7970504441092676,-1.200656204563094,1.0294963207874293
46,london,1,2,0.5,0.7017543859649122,0.8890512589928058,-1.3182576369890562,-0.3215666579655875
47,london,1,2,0.5,0.8917525773195877,0.8888033266594794,-1.20615865945952,0.7111826185731719
48,london,1,2,0.5,0.8960396039603961,0.8530969191270861,-1.1898794338484981,0.6341931513989721
49,london,1,2,0.5,0.9095744680851063,0.9058651026392961,-1.2173891058772768,0.7697715173674806
50,london,1,3,0.05,0.9074626865671642,0.7300910125142207,-0.9328090214365673,2.0319039532743455
51,london,1,3,0.05,0.8846153846153846,0.7191959006700828,-0.7205717973850216,1.367039030284949
52,london,1,3,0.05,0.8676470588235294,0.4295291902071563,-0.6564669645649656,1.2739405869643479
53,london,1,3,0.05,0.887905604719764,0.5244107744107744,-1.1856560923229202,3.405887977635724
54,london,1,3,0.05,0.8695652173913043,0.563037037037037,-0.6641260948694027,0.8914812470866295
55,london,1,3,0.1,0.8913043478260869,0.6218525179856116,-1.1746876902095587,4.042009643996645
56,london,1,3,0.1,0.8707692307692307,0.4440870856011876,-0.8032280006185194,2.4122863167740194
57,london,1,3,0.1,0.910828025477707,0.735990675990676,-0.9827993740521757,1.7150412256848988
58,london,1,3,0.1,0.8698412698412699,0.5636015666726011,-0.7808489891295259,1.4525692720588574
59,london,1,3,0.1,0.8641975308641975,0.6611201298701299,-0.5685753511788567,2.0782148068161423
60,london,1,3,0.15000000000000002,0.9207920792079208,0.6408315565031983,-1.0867562455769442,1.8491943118582772
61,london,1,3,0.15000000000000002,0.9133333333333333,0.8980429292929293,-1.017796912014202,1.5599325124376233
62,london,1,3,0.15000000000000002,0.8921568627450981,0.8721139971139971,-0.9896117245041948,2.3327726457778915
63,london,1,3,0.15000000000000002,0.9248366013071896,0.7364835640138409,-1.1420006000724585,2.1425851807818996
64,london,1,3,0.15000000000000002,0.9025974025974026,0.7597481343283582,-0.8616574149067376,1.3839571805343511
65,london,1,3,0.2,0.9075342465753424,0.7552447552447553,-1.1809335984417146,2.883573456520303
66,london,1,3,0.2,0.9180887372013652,0.6881506090808416,-1.0482949545904159,1.4383590281090117
67,london,1,3,0.2,0.8807017543859649,0.8306233062330624,-1.029654392087279,2.00606821914421
68,london,1,3,0.2,0.9042553191489362,0.6766133480419195,-1.1978681800341093,2.6816653165722983
69,london,1,3,0.2,0.8904593639575972,0.7491944146079484,-0.9792300129299537,1.8406553892839794
70,london,1,3,0.25,0.9846743295019157,0.9535561005518087,-1.536880916402014,3.9120564360381462
71,london,1,3,0.25,0.9368029739776952,0.9557652799178222,-1.1878550775933874,2.290757168572562
72,london,1,3,0.25,0.9233716475095786,0.8668926103136629,-1.09486656421406,1.7911390841390094
73,london,1,3,0.25,0.9073359073359073,0.6349489795918367,-1.1223433404458485,1.992947399583394
74,london,1,3,0.25,0.9214285714285714,0.8270764323395903,-1.2992132601480133,2.906428046590198
75,london,1,3,0.3,0.9094488188976378,0.8743665540540541,-1.0955019969324125,1.4309858474783872
76,london,1,3,0.3,0.9224137931034483,0.8353151010701546,-1.556294780428871,4.085163493077699
77,london,1,3,0.3,0.9044117647058824,0.6763671875,-1.0567429971049416,1.1616051682702415
78,london,1,3,0.3,0.9375,0.8646020591599934,-1.2566705056208956,2.4121108999351826
79,london,1,3,0.3,0.8988326848249028,0.7719287469287469,-1.0134399940207308,1.5473841689993149
80,london,1,3,0.35000000000000003,0.9156118143459916,0.8843564046351394,-1.2397101323165527,2.3584794930716004
81,london,1,3,0.35000000000000003,0.9251101321585903,0.9233668341708542,-1.136120480825919,1.2725651581013544
82,london,1,3,0.35000000000000003,0.9253112033195021,0.8317135167464116,-1.1235014191337802,1.8676164123136179
83,london,1,3,0.35000000000000003,0.9162790697674419,0.8423955870764381,-1.1371804460424033,1.0122427795233184
84,london,1,3,0.35000000000000003,0.940677966101695,0.8956560680698612,-1.2278503952060613,2.4355888182314303
85,london,1,3,0.4,0.8743718592964824,0.8894523326572008,-1.1519690538694176,0.8755947180040733
86,london,1,3,0.4,0.9571428571428572,0.9006061872909699,-1.4907309512609026,3.5364725016175758
87,london,1,3,0.4,0.9728506787330317,0.9511421319796954,-1.567054235844008,3.894508139454424
88,london,1,3,0.4,0.9210526315789473,0.9388227513227513,-1.3089477365110302,2.51259103226567
89,london,1,3,0.4,0.9147982062780269,0.907258064516129,-1.1291124835650252,1.3530045680958893
90,london,1,3,0.45,0.9476439790575916,0.9530661646046261,-1.198195864650176,1.3307447276657558
91,london,1,3,0.45,0.9675675675675676,0.9290295593976575,-1.238728545999606,1.7799199773654186
92,london,1,3,0.45,0.9581151832460733,0.9487275449101797,-1.1858045382259976,1.427655917584222
93,london,1,3,0.45,0.9619565217391305,0.9863916947250281,-1.1957193927274679,1.0618680946158643
94,london,1,3,0.45,0.9387755102040817,0.9007227891156462,-1.254340038722156,2.199442730765536
95,london,1,3,0.5,0.9156626506024096,0.8639520202020202,-1.201384240025504,1.2222991646856225
96,london,1,3,0.5,0.9487179487179487,0.9673721340388007,-1.2956536877004639,2.099942199014388
97,london,1,3,0.5,0.956989247311828,0.9122655122655122,-1.2513608217460999,1.7652607349861809
98,london,1,3,0.5,0.9322033898305084,0.9555555555555556,-1.3843402669359763,3.1144017732847757
99,london,1,3,0.5,0.9542857142857143,0.9162735849056604,-1.6351143412747076,3.9780301311621753
100,london,2,3,0.05,0.4083333333333333,0.693578264896573,-1.0075815927972132,-2.251383320526113
101,london,2,3,0.05,0.4634146341463415,0.7343023255813954,-0.8696246066815996,-1.6652090010291867
102,london,2,3,0.05,0.5042735042735043,0.7687740693196405,-0.9862708699432788,-1.5206864525343946
103,london,2,3,0.05,0.3467741935483871,0.6636520241171404,-0.815366480864464,-1.7667712222986587
104,london,2,3,0.05,0.6504065040650406,0.627906976744186,-0.5536167066490723,2.96087178453281e-16
105,london,2,3,0.1,0.591304347826087,0.7243966079582518,-1.0305026639170447,-1.4395314493751907
106,london,2,3,0.1,0.6416666666666667,0.7894895801872546,-0.8805752351311582,1.733276071009985
107,london,2,3,0.1,0.7017543859649122,0.794464461185719,-1.0522025216249271,-1.3977780373659814
108,london,2,3,0.1,0.4166666666666667,0.8489882210812444,-0.9598075454587585,-1.5248825185320538
109,london,2,3,0.1,0.6422018348623854,0.8850390902629709,-0.8743419162613842,0.18710046394817823
