_UID,num_nodes,prop_overlap,theta,accuracy,auroc,coef,intercept
0,100,0.001,0.05,0.5072463768115942,0.7169467787114846,-0.7768647793684192,0.07606313679088535
1,100,0.001,0.05,0.5023923444976076,0.5327838827838828,-0.7405867228609968,0.031586286566439775
2,100,0.001,0.05,0.5024630541871922,0.5916860916860918,-0.7718340909402582,-0.40054405574546914
3,100,0.001,0.14,0.5611111111111111,0.30491418693665884,-1.042416908642318,0.8130536141333791
4,100,0.001,0.14,0.5080213903743316,0.45630290551361247,-0.9075046475198639,0.3156117118778312
5,100,0.001,0.14,0.49162011173184356,0.5850837709427357,-0.9619605227866356,0.21955644387588266
6,100,0.001,0.22999999999999998,0.5235294117647059,0.45191241685144123,-1.0050084421533763,-0.17946237621112376
7,100,0.001,0.22999999999999998,0.5506329113924051,0.5948359073359074,-1.0572412674712892,0.015219683073015078
8,100,0.001,0.22999999999999998,0.6363636363636364,0.4196790540540539,-1.163374799019623,0.9798574301401192
9,100,0.001,0.32,0.6602564102564102,0.4792592592592593,-1.135825035258763,-0.8040131828653028
10,100,0.001,0.32,0.5821917808219178,0.1361842105263158,-1.0894359685069785,0.006840757933364632
11,100,0.001,0.32,0.6381578947368421,0.41689895470383276,-1.3145801151443106,1.8281831135126656
12,100,0.001,0.41,0.8211382113821138,0.15701058201058204,-1.1732471595358898,0.5352922027229615
13,100,0.001,0.41,0.7661290322580645,0.43221003134796243,-1.3147677691194561,-1.5400444849211015
14,100,0.001,0.41,0.9908256880733946,0.011111111111111108,-1.3936404998610752,-1.9139084073379231
15,100,0.001,0.5,0.6138613861386139,0.0,-1.194787400206037,0.07037280410687839
16,100,0.001,0.5,0.8737864077669902,0.019318181818181818,-1.2150995273012302,-0.5137692363642571
17,100,0.001,0.5,0.6129032258064516,0.22304687499999998,-1.148911475440243,0.006168088597257898
18,100,0.01,0.05,0.5320197044334976,0.6895263055717336,-0.8752609696023691,0.9255002070617073
19,100,0.01,0.05,0.5095238095238095,0.44955085745395157,-0.9635735248405554,2.7402185336367593
20,100,0.01,0.05,0.5120772946859904,0.6124439880507843,-0.7851117358608182,-0.5793916775528878
21,100,0.01,0.14,0.5263157894736842,0.7644614361702128,-0.9066877391626585,-0.006768536667410386
22,100,0.01,0.14,0.48633879781420764,0.7969758546497729,-0.9808223393852106,-0.6244727445203883
23,100,0.01,0.14,0.5989010989010989,0.054710144927536244,-0.9616067834203741,-0.2564610691770102
24,100,0.01,0.22999999999999998,0.6285714285714286,0.09476227795193315,-1.0015051421134205,-0.26256356762511235
25,100,0.01,0.22999999999999998,0.49404761904761907,0.034037391180248316,-1.06210216127775,0.9509633753825568
26,100,0.01,0.22999999999999998,0.6012269938650306,0.5682503770739066,-1.058097227563141,-0.6441945420897132
27,100,0.01,0.32,0.5578231292517006,0.3445020362828582,-1.1108450896444526,0.45937565806205205
28,100,0.01,0.32,0.7608695652173914,0.11163720538720537,-1.1533781291509682,0.5943529803520621
29,100,0.01,0.32,0.6028368794326241,0.13282828282828282,-1.1209368182349142,-0.24197411533435184
30,100,0.01,0.41,0.6640625,0.038611925708699896,-1.1478710201773759,0.3411622209881887
31,100,0.01,0.41,0.6456692913385826,0.3136160714285714,-1.1862667349238414,-0.774110488564934
32,100,0.01,0.41,0.68,0.21337090163934422,-1.221856908946635,0.9792354470378026
33,100,0.01,0.5,0.8738738738738738,0.05892034233048058,-1.4675343419428881,2.2842740823843006
34,100,0.01,0.5,0.7428571428571429,0.18572984749455337,-1.1853226701550208,-0.009676636585652458
35,100,0.01,0.5,0.7297297297297297,0.18169934640522875,-1.1805581391135143,-0.0813568402326978
36,100,0.1,0.05,0.5,0.44712018140589566,-0.7169371630750719,0.0013407394248872674
37,100,0.1,0.05,0.5097087378640777,0.5920531674208145,-0.743389674838656,-0.37890894254255214
38,100,0.1,0.05,0.4855769230769231,0.4799666882576108,-0.6736284596922288,1.3061314263209387
39,100,0.1,0.14,0.5077720207253886,0.38321520618556704,-0.9580401082738835,-0.819057528043087
40,100,0.1,0.14,0.5434782608695652,0.42949172576832156,-0.9588762569937952,0.3636072349692192
41,100,0.1,0.14,0.48717948717948717,0.5278421052631579,-0.844274939674197,0.4947794212513649
42,100,0.1,0.22999999999999998,0.46551724137931033,0.5608515196144062,-0.9601441063758799,-0.6838589262876179
43,100,0.1,0.22999999999999998,0.5529411764705883,0.3541435698447894,-1.1565092277207223,1.3815170566511366
44,100,0.1,0.22999999999999998,0.5380116959064327,0.3267651888341543,-1.0033121928931117,-0.37788071325080863
45,100,0.1,0.32,0.5266666666666666,0.40695605764098913,-1.0435293710519542,-0.0022263753610906904
46,100,0.1,0.32,0.5862068965517241,0.3814236771983251,-1.102578142644281,0.4807399837224978
47,100,0.1,0.32,0.5424836601307189,0.18358974358974361,-1.0423403513743232,-0.18916253309174064
48,100,0.1,0.41,0.6923076923076923,0.4153496168582375,-1.2102124449657692,-0.8956219813203977
49,100,0.1,0.41,0.6260162601626016,0.31938502673796787,-1.1210954708064784,-0.08428383764272311
50,100,0.1,0.41,0.7043478260869566,0.1506352087114337,-1.223689488156853,-0.9015137593988835
51,100,0.1,0.5,0.7168141592920354,0.25046992481203006,-1.1534759693204728,0.30231096539324775
52,100,0.1,0.5,0.6810344827586207,0.3504043126684636,-1.2468794030807928,1.011792730704315
53,100,0.1,0.5,0.5517241379310345,0.2891207153502236,-1.1575259841401189,0.4859346747189101
54,300,0.001,0.05,0.5162393162393163,0.6954201061665459,-1.0590349156000365,0.8762896671405227
55,300,0.001,0.05,0.5,0.39887776942210906,-0.9692862957052528,-0.5652691091602969
56,300,0.001,0.05,0.5152542372881356,0.45478833425262005,-1.043592480920926,1.1787606982861563
57,300,0.001,0.14,0.5508317929759704,0.3837457279562543,-1.1657476896268104,0.9919830657274064
58,300,0.001,0.14,0.55,0.4108112928007024,-1.1153381036305499,-0.007791814850513076
59,300,0.001,0.14,0.5440613026819924,0.44681007268188827,-1.1453637530657037,0.19358573397435944
60,300,0.001,0.22999999999999998,0.5833333333333334,0.3025728732897085,-1.1919984602526785,0.00034285827105662764
61,300,0.001,0.22999999999999998,0.573170731707317,0.39949927287149656,-1.2628339967329774,1.0165055463934545
62,300,0.001,0.22999999999999998,0.5828220858895705,0.3504215597711533,-1.2280941307435107,-0.6000868572671118
63,300,0.001,0.32,0.6353211009174312,0.22749558118003535,-1.374019854633385,1.2442970883169315
64,300,0.001,0.32,0.66270783847981,0.2786994402311303,-1.3686857548990303,-1.1181705224571215
65,300,0.001,0.32,0.6514423076923077,0.2896208969024503,-1.2830934495529622,-0.25535241243766305
66,300,0.001,0.41,0.713903743315508,0.14064287348432852,-1.4212039041895779,-1.2112693110318926
67,300,0.001,0.41,0.633245382585752,0.3140264302442288,-1.3636901452317653,-0.7919020285471784
68,300,0.001,0.41,0.6914893617021277,0.2051093236660247,-1.3385524534472464,0.501826341235346
69,300,0.001,0.5,0.7294520547945206,0.10469602860907208,-1.416791288009698,0.8660063008321974
70,300,0.001,0.5,0.8825503355704698,0.08471018418201517,-1.4664341775864151,-1.1684130029472943
71,300,0.001,0.5,0.7833333333333333,0.10210704125177808,-1.3813235123343879,-0.5131536691889946
72,300,0.01,0.05,0.5111492281303602,0.4361260179823941,-1.0321933807876589,0.9107606800849241
73,300,0.01,0.05,0.5391304347826087,0.37826360490720357,-1.0819206361677174,0.8965029226325614
74,300,0.01,0.05,0.5076923076923077,0.6089070718877849,-0.9593551825953205,-0.3724622487534311
75,300,0.01,0.14,0.5623800383877159,0.4367040094339623,-1.1592992816617642,0.3632421066642531
76,300,0.01,0.14,0.5724907063197026,0.4280610834715312,-1.1094492914749436,-0.20659257050370095
77,300,0.01,0.14,0.5296296296296297,0.4812061018437225,-1.153790778698637,0.816320143887138
78,300,0.01,0.22999999999999998,0.6049382716049383,0.36096057444790675,-1.1928922396990476,-0.12386326139024836
79,300,0.01,0.22999999999999998,0.6046511627906976,0.12637667167274547,-1.342961255633025,-1.3603374849441723
80,300,0.01,0.22999999999999998,0.6353944562899787,0.2641119487235515,-1.3274092295623532,-1.118157548343279
81,300,0.01,0.32,0.5883777239709443,0.36852720450281423,-1.3076727390216902,0.5950955426092267
82,300,0.01,0.32,0.6176470588235294,0.22914413440046144,-1.3094583248297218,-0.6261333582243161
83,300,0.01,0.32,0.6658476658476659,0.3184312303601643,-1.3205497992926662,-0.5846015046751544
84,300,0.01,0.41,0.6424731182795699,0.32083333333333325,-1.332272338261758,0.5295912002077204
85,300,0.01,0.41,0.7285318559556787,0.14606482902572293,-1.662949564104255,-2.697828839428144
86,300,0.01,0.41,0.6864406779661016,0.20704923273657286,-1.4000095982417968,-0.9640355405395542
87,300,0.01,0.5,0.6730158730158731,0.22178102072079336,-1.3480792036560867,-0.0006384968760188553
88,300,0.01,0.5,0.7446153846153846,0.14704099416534064,-1.6471694288452492,-2.4710658733221056
89,300,0.01,0.5,0.726984126984127,0.19545674433604773,-1.4532219677446496,1.1922638744673422
90,300,0.1,0.05,0.5109983079526227,0.5475296057905948,-0.8561980033819536,-0.3290855725891623
91,300,0.1,0.05,0.5111492281303602,0.45626206279715675,-0.9562425800765331,0.0006966868276924704
92,300,0.1,0.05,0.5025553662691652,0.40907982724993036,-0.9457425964369176,-0.6366417834453506
93,300,0.1,0.14,0.5199240986717267,0.4265112660635049,-1.099791631194725,-0.08827190279407443
94,300,0.1,0.14,0.5073529411764706,0.4286662602452077,-1.0902961371871902,-0.03173616018616749
95,300,0.1,0.14,0.5056179775280899,0.5634251399548216,-1.0882984802609057,0.10483201840040907
96,300,0.1,0.22999999999999998,0.5112474437627812,0.3903831982313928,-1.1793767715225438,0.4295208996076632
97,300,0.1,0.22999999999999998,0.5448851774530271,0.3945932280224571,-1.1755417272749844,0.06356570417650013
98,300,0.1,0.22999999999999998,0.56875,0.3446934842618795,-1.188473554091916,-0.36738972344590404
99,300,0.1,0.32,0.6166281755196305,0.37884902840059786,-1.2395672573850411,-0.17431226773434733
100,300,0.1,0.32,0.5521327014218009,0.5184631971429213,-1.245218689878667,0.29456498640265877
101,300,0.1,0.32,0.572429906542056,0.32463958060288334,-1.2362410725667898,-0.05672622005838943
102,300,0.1,0.41,0.5863013698630137,0.3932560653374969,-1.293606732438208,0.14965918823368982
103,300,0.1,0.41,0.5524861878453039,0.21929663888634493,-1.2980982069049343,0.2516081115321116
104,300,0.1,0.41,0.5587467362924282,0.4229391171161316,-1.2772011434467205,-0.11072450941589668
105,300,0.1,0.5,0.71875,0.1254341115184256,-1.3625305753201964,0.4172873366189799
106,300,0.1,0.5,0.6655405405405406,0.22386389586663624,-1.3462337305528111,-0.12835210230862829
107,300,0.1,0.5,0.6163141993957704,0.2284212063677523,-1.316924020266978,-0.15026218201574454
108,500,0.001,0.05,0.540625,0.4376106770833334,-1.0688171308937493,0.46046652671334687
109,500,0.001,0.05,0.5082135523613963,0.4651303500879119,-1.0095628949271267,1.441159960403028e-05
110,500,0.001,0.05,0.5159958720330238,0.3978580984925308,-1.2821646275536724,-2.4516170895560894
111,500,0.001,0.14,0.5079006772009029,0.42131064003261315,-1.2002840474802154,-0.2613835324160063
112,500,0.001,0.14,0.5426008968609866,0.415886182540281,-1.1868363996451858,0.16851761083971922
113,500,0.001,0.14,0.5278422273781903,0.45186055156585875,-1.2298269313100585,0.017177313542879397
114,500,0.001,0.22999999999999998,0.655483870967742,0.28449367088607597,-1.3832352602038824,0.9651125665325573
115,500,0.001,0.22999999999999998,0.5732323232323232,0.38744061473711056,-1.297456912423919,-0.2010023450013573
116,500,0.001,0.22999999999999998,0.5879332477535302,0.33558433854063674,-1.3156941053834756,0.33682091754637783
117,500,0.001,0.32,0.7180616740088106,0.17218080149114634,-1.5682239983207156,1.792043232517754
118,500,0.001,0.32,0.6950354609929078,0.23354149879129732,-1.6701658073777974,-2.457384303606343
119,500,0.001,0.32,0.5785714285714286,0.2613564836386525,-1.3560993850022096,0.013072263223750468
120,500,0.001,0.41,0.685064935064935,0.1554699359082476,-1.3994413490328295,0.0008258499242112347
121,500,0.001,0.41,0.6482084690553745,0.21819191660258055,-1.3954445059825002,-0.026691342478957002
122,500,0.001,0.41,0.6716417910447762,0.1781489558551414,-1.587297601259644,1.7927412183868259
123,500,0.001,0.5,0.7425149700598802,0.09665338645418324,-1.4453101810478048,-0.0034004352025140856
124,500,0.001,0.5,0.7272727272727273,0.14295979162300532,-1.438385148003948,-0.005839586645966668
125,500,0.001,0.5,0.74,0.125552,-1.4645877416028432,0.5030508136690627
126,500,0.01,0.05,0.5138461538461538,0.4545158086966766,-1.071216107509482,0.9902682744345978
127,500,0.01,0.05,0.5067778936392076,0.4742550785158119,-1.4276357806191624,3.0584224529908077
128,500,0.01,0.05,0.522372528616025,0.5303953671699715,-1.0456802250336734,-0.007721003933900572
129,500,0.01,0.14,0.5710928319623971,0.3665197361879826,-1.2590088541055546,0.45157300729134014
130,500,0.01,0.14,0.5422535211267606,0.37051049594656416,-1.350768731014009,-1.3727912650350818
131,500,0.01,0.14,0.5477031802120141,0.3579285008712638,-1.2369411301252946,-0.14171311982426887
132,500,0.01,0.22999999999999998,0.5625806451612904,0.4015166666666667,-1.3068011875468222,-0.15899243269268037
133,500,0.01,0.22999999999999998,0.5818181818181818,0.29207065697764645,-1.3090407880785002,0.1649230177687295
134,500,0.01,0.22999999999999998,0.618798955613577,0.3081082924168031,-1.3198408346476396,-0.30554409002254473
135,500,0.01,0.32,0.5892597968069666,0.34979009306717024,-1.8090313148571113,3.329646954636166
136,500,0.01,0.32,0.702416918429003,0.19635093167701861,-1.3749537073268194,0.008406712239872766
137,500,0.01,0.32,0.6159420289855072,0.31300430338891877,-1.357211753405766,0.004296662474572452
138,500,0.01,0.41,0.6599326599326599,0.18353970649990356,-1.4129230730285105,-0.3402287785711143
139,500,0.01,0.41,0.6857142857142857,0.1922060019886107,-1.415699426938546,-0.3316607402968169
140,500,0.01,0.41,0.6576271186440678,0.25875484145318306,-1.5084137654687217,-1.155695803987588
141,500,0.01,0.5,0.720532319391635,0.16848871343253366,-1.5312579412488365,-1.1445813027162655
142,500,0.01,0.5,0.7145557655954632,0.1509005145797599,-1.684326711538061,-2.1447964910972517
143,500,0.01,0.5,0.697495183044316,0.1474218077048742,-1.7696678497974592,-2.6301571702907345
144,500,0.1,0.05,0.5144329896907216,0.49002440227187705,-1.0420010386747391,0.7618310127200952
145,500,0.1,0.05,0.5035897435897436,0.4878458780758743,-0.9692126228993464,-0.1727663486422102
146,500,0.1,0.05,0.5161290322580645,0.49237200034653034,-0.999082963078438,-0.08270812738128905
147,500,0.1,0.14,0.517162471395881,0.41148975615887373,-1.1817425299716158,0.34841590336498063
148,500,0.1,0.14,0.5245153933865451,0.43864357414053157,-1.1891385324804091,0.39392098465932945
149,500,0.1,0.14,0.5180180180180181,0.46955846843739213,-1.1687539314709974,-0.3687688359779925
150,500,0.1,0.22999999999999998,0.5707070707070707,0.35017728235084045,-1.260905245303825,-0.09241067170123854
151,500,0.1,0.22999999999999998,0.554002541296061,0.3610791785068458,-1.2675868121016183,-0.2457530388273638
152,500,0.1,0.22999999999999998,0.5336721728081322,0.4064841126323947,-1.2689095210171288,0.3156653093324063
153,500,0.1,0.32,0.5533428165007113,0.44435271073122556,-1.3273243372819636,-0.2929123331644597
154,500,0.1,0.32,0.5907738095238095,0.4038326939603618,-1.3368014167267084,-0.1316817082567137
155,500,0.1,0.32,0.5941605839416059,0.35783519743572256,-1.3322102364192443,-0.13540034097519907
156,500,0.1,0.41,0.5834710743801653,0.3371718077082832,-1.3741116057678688,-0.13590769575519815
157,500,0.1,0.41,0.5752508361204013,0.36834832617257435,-1.382800761599727,0.15636217835460745
