_UID,system,l1,l2,theta,accuracy,auroc
0,celegans,1,2,0.05,0.5280498664292075,0.5561257171013267
1,celegans,1,2,0.05,0.5260370697263901,0.49805599023858926
2,celegans,1,2,0.05,0.5394154118689105,0.5351837698881401
3,celegans,1,2,0.05,0.5103510351035103,0.5052721430006025
4,celegans,1,2,0.05,0.5097517730496454,0.5094051019265233
5,celegans,1,2,0.15555555555555556,0.5585054080629301,0.5382969950002577
6,celegans,1,2,0.15555555555555556,0.5510406342913776,0.5419663641356943
7,celegans,1,2,0.15555555555555556,0.5797392176529589,0.558332963866105
8,celegans,1,2,0.15555555555555556,0.5741482965931863,0.578023907611265
9,celegans,1,2,0.15555555555555556,0.5449101796407185,0.5282828282828282
10,celegans,1,2,0.2611111111111111,0.5709382151029748,0.560125539699329
11,celegans,1,2,0.2611111111111111,0.5562913907284768,0.5650193196249561
12,celegans,1,2,0.2611111111111111,0.5704622322435174,0.5538736169601308
13,celegans,1,2,0.2611111111111111,0.5617715617715617,0.5482376393125736
14,celegans,1,2,0.2611111111111111,0.5324971493728621,0.5240873507322782
15,celegans,1,2,0.36666666666666664,0.5994623655913979,0.5615593687882845
16,celegans,1,2,0.36666666666666664,0.5551075268817204,0.5736888111888112
17,celegans,1,2,0.36666666666666664,0.5638020833333334,0.5611477627392747
18,celegans,1,2,0.36666666666666664,0.5557083906464925,0.5413250302715793
19,celegans,1,2,0.36666666666666664,0.588,0.5658006279434851
20,celegans,1,2,0.4722222222222222,0.5562599049128367,0.5491888312548284
21,celegans,1,2,0.4722222222222222,0.5638977635782748,0.5443766937669376
22,celegans,1,2,0.4722222222222222,0.5671875,0.5514785120048278
23,celegans,1,2,0.4722222222222222,0.5638629283489096,0.5512345679012345
24,celegans,1,2,0.4722222222222222,0.571656050955414,0.5739120986581192
25,celegans,1,2,0.5777777777777778,0.5372848948374761,0.5445765462148162
26,celegans,1,2,0.5777777777777778,0.5751503006012024,0.59025142735558
27,celegans,1,2,0.5777777777777778,0.5714285714285714,0.5287278204327541
28,celegans,1,2,0.5777777777777778,0.5542635658914729,0.5552238805970149
29,celegans,1,2,0.5777777777777778,0.5766129032258065,0.5601979307242465
30,celegans,1,2,0.6833333333333333,0.49874686716791977,0.47271705036396994
31,celegans,1,2,0.6833333333333333,0.5416666666666666,0.5767365568392526
32,celegans,1,2,0.6833333333333333,0.5257142857142857,0.5620539537539253
33,celegans,1,2,0.6833333333333333,0.5207253886010362,0.5423140248465799
34,celegans,1,2,0.6833333333333333,0.5365853658536586,0.5463126265595402
35,celegans,1,2,0.788888888888889,0.42738589211618255,0.5324436263230558
36,celegans,1,2,0.788888888888889,0.51953125,0.5744870041039671
37,celegans,1,2,0.788888888888889,0.4661016949152542,0.5406724938971573
38,celegans,1,2,0.788888888888889,0.4708171206225681,0.47088488434642284
39,celegans,1,2,0.788888888888889,0.4924812030075188,0.5167378917378916
40,celegans,1,2,0.8944444444444445,0.448,0.5949788263762855
41,celegans,1,2,0.8944444444444445,0.42016806722689076,0.4809626436781609
42,celegans,1,2,0.8944444444444445,0.43478260869565216,0.5217391304347827
43,celegans,1,2,0.8944444444444445,0.45161290322580644,0.526395173453997
44,celegans,1,2,0.8944444444444445,0.3724137931034483,0.4451530612244898
45,celegans,1,2,1.0,,-1.0
46,celegans,1,2,1.0,,-1.0
47,celegans,1,2,1.0,,-1.0
48,celegans,1,2,1.0,,-1.0
49,celegans,1,2,1.0,,-1.0
50,celegans,1,3,0.05,0.5943708609271523,0.5550368781628807
51,celegans,1,3,0.05,0.5149006622516556,0.49932800452712733
52,celegans,1,3,0.05,0.5580110497237569,0.5287918864162593
53,celegans,1,3,0.05,0.5845030881527232,0.520933855018618
