_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
0,celegans,1,2,0.05,0.6587510993843447,0.519324735386013,-0.40989319538956037,-1.553383208754074
1,celegans,1,2,0.05,0.6607929515418502,0.5372987012987013,-0.2547919363447755,-1.8263325884424453
2,celegans,1,2,0.05,0.6631111111111111,0.5636516739128903,-0.33866760420582787,-1.9365414191817167
3,celegans,1,2,0.05,0.6538804638715433,0.5443559162318392,-0.8314687501224557,-2.320178510699326
4,celegans,1,2,0.05,0.6577540106951871,0.5146546126919602,-0.5441078729239499,-2.0847395453564515
5,celegans,1,2,0.15,0.6379137412236711,0.5113477076916209,-0.5745978725079857,-5.11922962376862
6,celegans,1,2,0.15,0.6476377952755905,0.5249039659468439,-0.3802900226926931,-4.638149237932593
7,celegans,1,2,0.15,0.6517857142857143,0.5787876800664524,-0.5072060365174477,-4.7257424264610135
8,celegans,1,2,0.15,0.6304347826086957,0.5030823309133945,-0.1931412986734835,-5.139023270143848
9,celegans,1,2,0.15,0.638671875,0.5243160591784446,-1.028354949222779,-3.712891354780163
10,celegans,1,2,0.25,0.6355555555555555,0.5324220647603732,-0.22478729408317158,-6.867840741123822
11,celegans,1,2,0.25,0.6431054461181923,0.5593444356330953,-0.27840824984073875,-7.565649389197418
12,celegans,1,2,0.25,0.623463687150838,0.5266590848274016,-0.2959536931364701,-6.810160408456547
13,celegans,1,2,0.25,0.6304591265397537,0.557098816587662,-0.4768351093046308,-6.466531333779318
14,celegans,1,2,0.25,0.627906976744186,0.5644189536878216,-0.568452269781972,-6.690681332783284
15,celegans,1,2,0.35,0.6227848101265823,0.5419611718621322,-0.3547101634888776,-6.029892135396505
16,celegans,1,2,0.35,0.6511936339522546,0.5695495932795215,-0.4234752644623964,-6.167077326382006
17,celegans,1,2,0.35,0.6105263157894737,0.5624864881559035,-0.23991897106861415,-7.70922071694381
18,celegans,1,2,0.35,0.6170763260025873,0.5567389846324323,-0.571751470711373,-7.623129702588323
19,celegans,1,2,0.35,0.6016150740242261,0.5365415082382763,-0.534590350198385,-6.83209604379173
20,celegans,1,2,0.44999999999999996,0.5923664122137404,0.5170905790374817,-0.36704351330890383,-6.37291073722952
21,celegans,1,2,0.44999999999999996,0.6072555205047319,0.5661148422863278,-0.2708277957000437,-8.38489446186175
22,celegans,1,2,0.44999999999999996,0.5834633385335414,0.5198474945533769,-0.38540899933027295,-8.719902121044749
23,celegans,1,2,0.44999999999999996,0.5793413173652695,0.5432286494538232,-0.21918674173466804,-7.92379688293498
24,celegans,1,2,0.44999999999999996,0.6151560178306092,0.5710820502003797,-0.5508400404106195,-6.4576331749472
25,celegans,1,2,0.5499999999999999,0.6504672897196262,0.5707141048366675,-0.31552383424797953,-8.061247707316346
26,celegans,1,2,0.5499999999999999,0.5955473098330241,0.5562208710145374,-0.26336770400495096,-8.523089841399365
27,celegans,1,2,0.5499999999999999,0.6039783001808319,0.5484312032239493,-0.41979785660346053,-8.87120839463956
