_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
0,arxiv,2,6,0.05,0.6762114537444934,0.7367526736095258,0.6040434943716865,-1.3549377156415205
1,arxiv,2,6,0.15,0.7753807106598984,0.8610579500259485,1.4245504530548625,-1.6062552353437813
2,arxiv,2,6,0.25,0.8112905805213497,0.8973253444183127,1.5816584038855017,-1.6276839789716098
3,arxiv,2,6,0.35,0.8496296296296296,0.9263593761721178,1.7329371195124175,-1.2416944863498904
4,arxiv,2,6,0.44999999999999996,0.8791517905441956,0.9452174347209057,1.6956476035630197,-1.0467897234118564
5,arxiv,2,6,0.5499999999999999,0.8804791365012505,0.9456068136573127,1.435868403131005,-0.9172000830145147
6,arxiv,2,6,0.65,0.8929063360881543,0.9597457260520488,1.6055139855634775,-0.6716360261977055
7,arxiv,2,6,0.75,0.8990046127700898,0.9655689787646355,1.1968927437747916,-0.5388481534321934
8,arxiv,2,6,0.85,0.8936170212765957,0.9649554274554274,1.5394664823040214,-0.4702226031069848
9,arxiv,2,6,0.95,0.8925619834710744,0.9488521840293278,1.5851165883759255,-0.3244955022538622
10,arxiv,2,7,0.05,0.8745714285714286,0.7680498786904708,0.6303116265875613,-0.8992035835233
11,arxiv,2,7,0.15,0.9173698455659927,0.8901486373145153,0.8355079855185203,-0.9445759644559916
12,arxiv,2,7,0.25,0.8933733296973002,0.8978453815545209,2.5952716324031178,-1.2185466274957095
13,arxiv,2,7,0.35,0.9076680672268908,0.9272981547017191,2.5872727936163207,-1.275077443046942
14,arxiv,2,7,0.44999999999999996,0.9136369276585184,0.9327294045857488,3.1376434878976918,-1.0596815561800919
15,arxiv,2,7,0.5499999999999999,0.9247927656367747,0.9510768968601332,2.6230747068808267,-0.8294143167760926
16,arxiv,2,7,0.65,0.9387715930902112,0.9507333954055404,2.372613200984857,-0.7109843174166903
17,arxiv,2,7,0.75,0.926278563656148,0.952856181920939,2.59750071635217,-0.5063925647326278
18,arxiv,2,7,0.85,0.9416091954022988,0.9642850472962247,2.587418271496039,-0.4575485303644611
19,arxiv,2,7,0.95,0.9354838709677419,0.9677031826728881,2.649858144571726,-0.34334036211255115
20,arxiv,6,7,0.05,0.8092607827006699,0.7624141541313966,0.34658802832976604,-0.7493890577262184
21,arxiv,6,7,0.15,0.8415465268676278,0.8892905725441065,1.3378148667523744,-1.2965969303373293
22,arxiv,6,7,0.25,0.8709579933514657,0.9162805388962065,0.7709463030536551,-1.2207090177087874
23,arxiv,6,7,0.35,0.8991509270490383,0.9412850621398026,0.8694956141881328,-1.1796601815705998
24,arxiv,6,7,0.44999999999999996,0.9083657189609327,0.9610545283791381,1.170647748546028,-0.9678506496975374
25,arxiv,6,7,0.5499999999999999,0.9203735561563038,0.9712027118644069,0.8385283461182742,-1.1803216218282035
26,arxiv,6,7,0.65,0.9228285437520181,0.9670676115227719,1.0627606913873473,-0.8047392569978641
27,arxiv,6,7,0.75,0.9352319706017456,0.9680177889505095,0.9573762194067184,-0.7307999123252308
28,arxiv,6,7,0.85,0.9437781109445277,0.9805302901616815,1.09055880309563,-0.6669184010216619
29,arxiv,6,7,0.95,0.9304932735426009,0.9674487423377722,0.987800949282926,-0.666615676535313
30,drosophila,1,2,0.05,0.9156868368224835,0.7578237396007754,1.9758977458493812,-1.08663840808047
31,drosophila,1,2,0.15,0.8629886737303617,0.7104706172496451,3.1299531611268256,-1.2107734363927747
32,drosophila,1,2,0.25,0.8211394769613948,0.6649898216266905,2.8995982047296462,-0.9394153503718496
33,drosophila,1,2,0.35,0.8162846803377564,0.6478753623439747,4.010756833266043,-0.7308362632984273
34,drosophila,1,2,0.44999999999999996,0.8578178694158075,0.7060087218089257,4.242030850586832,-0.5496200450819554
35,drosophila,1,2,0.5499999999999999,0.9091065439848655,0.7809951084895324,4.3297961613888525,-0.4066310320283947
36,drosophila,1,2,0.65,0.9380936417476813,0.8257389323820823,4.2206028647474465,-0.31124348489358067
37,drosophila,1,2,0.75,0.9557985522870784,0.8676716204902483,4.86593953215714,-0.24439137905372038
