,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
0,1000,10.0,10.0,,,,,,,,,,,,,,
1,1000,10.0,10.0,0.225,0.08026496572404716,9.433316355752321,0.4475414970247416,0.4242923168066667,0.439649280752784,0.052855483999337594,0.0528564453125,2054.0,2045.0,4.108,4.09,7.304,7.28
2,1000,10.0,10.0,0.45,0.009069754891246395,6.016318275768972,0.39741878059635066,0.35450281812475826,0.4128356134998386,0.021455909999531286,0.021456480026245117,2054.0,2045.0,4.108,4.09,6.314,6.378
3,1000,10.0,10.0,0.675,-0.0009065337094239124,3.678189421870881,0.3922178988326848,0.33710749889743474,0.40234928107891,0.021510442000362673,0.021511077880859375,2054.0,2045.0,4.108,4.09,5.37,5.398
4,1000,10.0,10.0,0.9,-0.03247599978999271,2.5599603320838393,0.3308457711442786,0.2910085810222609,0.34474423582015545,0.020654011000260653,0.020654678344726562,2054.0,2045.0,4.108,4.09,4.538,4.464
5,1000,20.0,10.0,,,,,,,,,,,,,,
6,1000,20.0,10.0,0.225,0.0024494517334237905,9.837888295619816,0.4888243831640058,0.4716754488443222,0.5066844824538393,0.024731901999984984,0.02473282814025879,2331.0,2099.0,4.662,4.198,7.92,7.83
7,1000,20.0,10.0,0.45,-0.10394843960221146,6.819658918627417,0.464828137490008,0.4493495721459315,0.4866051072305004,0.02307379299963941,0.02307415008544922,2331.0,2099.0,4.662,4.198,7.042,6.822
8,1000,20.0,10.0,0.675,-0.07927800850726029,4.009475814218739,0.4542974079126876,0.4385264241285184,0.483186001570687,0.022906891999809886,0.022907257080078125,2331.0,2099.0,4.662,4.198,6.066,5.726
9,1000,20.0,10.0,0.9,-0.08915185663334958,2.6394168268924143,0.4337078651685393,0.428253299862337,0.5006147849043971,0.022440560000177356,0.02244114875793457,2331.0,2099.0,4.662,4.198,5.086,4.664
10,1000,20.0,20.0,,,,,,,,,,,,,,
11,1000,20.0,20.0,0.225,-0.015381142954153715,10.261300873366793,0.508521165475536,0.5020005978068528,0.49883780697300817,0.02634578900051565,0.026346445083618164,2361.0,2360.0,4.722,4.72,8.36,8.358
12,1000,20.0,20.0,0.45,-0.020739665316413185,6.261927389906341,0.5202624469316867,0.5260760888994817,0.5164555917550258,0.025183587000356056,0.02518439292907715,2361.0,2360.0,4.722,4.72,7.304,7.32
