,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
0,1000,10.0,10.0,,,,,,,,,,,,,,
1,1000,10.0,10.0,0.225,0.0,9.666138603215705,0.44826498422712935,0.4220042243473996,0.437074812522387,0.05584156499935489,0.05584216117858887,2031.0,2056.0,4.062,4.112,7.254,7.26
2,1000,10.0,10.0,0.45,0.0,6.065845882705156,0.42304270462633453,0.39250847980875414,0.42569118604251177,0.023479020999729983,0.023479461669921875,2031.0,2056.0,4.062,4.112,6.292,6.378
3,1000,10.0,10.0,0.675,0.0,4.017703403340125,0.3886763580719204,0.34515563236478763,0.39422811614431263,0.02239684699998179,0.02239704132080078,2031.0,2056.0,4.062,4.112,5.38,5.408
4,1000,10.0,10.0,0.9,0.0,2.5390093560296916,0.3655913978494624,0.3129644085928239,0.3748135033834592,0.021531030000005558,0.02153158187866211,2031.0,2056.0,4.062,4.112,4.44,4.478
5,1000,20.0,10.0,,,,,,,,,,,,,,
6,1000,20.0,10.0,0.225,0.0,9.909808948077236,0.4892086330935252,0.4647517292663421,0.5165421049728616,0.025527769999825978,0.025528669357299805,2417.0,2077.0,4.834,4.154,7.99,7.948
7,1000,20.0,10.0,0.45,0.0,6.17677718345249,0.4724249797242498,0.45350037114604597,0.5044710313048495,0.024658485000145447,0.024658918380737305,2417.0,2077.0,4.834,4.154,7.086,6.834
8,1000,20.0,10.0,0.675,0.0,3.6108312426020825,0.4826629680998613,0.4559795165583494,0.511754350067871,0.023379045000183396,0.023379802703857422,2417.0,2077.0,4.834,4.154,6.192,5.68
9,1000,20.0,10.0,0.9,0.0,2.5220831186170067,0.47737556561085975,0.4585196941278315,0.5315116128807489,0.022556236000127683,0.022556543350219727,2417.0,2077.0,4.834,4.154,5.24,4.632
10,1000,20.0,20.0,,,,,,,,,,,,,,
11,1000,20.0,20.0,0.225,0.0,10.385940545828955,0.514247311827957,0.5127595102563813,0.49658617964258245,0.0264756420001504,0.026476383209228516,2394.0,2394.0,4.788,4.788,8.562,8.454
12,1000,20.0,20.0,0.45,0.0,6.292098273602759,0.5003849114703618,0.50382206717023,0.5136992832136611,0.025285015999543248,0.02528548240661621,2394.0,2394.0,4.788,4.788,7.356,7.416
13,1000,20.0,20.0,0.675,0.0,3.9226198249609188,0.4940554821664465,0.48921263209333576,0.4992625834802051,0.02464387899999565,0.02464437484741211,2394.0,2394.0,4.788,4.788,6.286,6.318
14,1000,20.0,20.0,0.9,0.0,2.6182525464622644,0.515527950310559,0.5167518698963837,0.5208569631185564,0.024158440999599406,0.024158954620361328,2394.0,2394.0,4.788,4.788,5.282,5.26
15,1000,30.0,10.0,,,,,,,,,,,,,,
16,1000,30.0,10.0,0.225,0.0,9.9229679018779,0.5141100866163733,0.4962461663946771,0.5351930238246176,0.025602550000257907,0.025603294372558594,2522.0,2089.0,5.044,4.178,8.31,8.07
17,1000,30.0,10.0,0.45,0.0,6.105106707500276,0.49112903225806454,0.4749400727284209,0.5363180294072638,0.024368133000280068,0.0243685245513916,2522.0,2089.0,5.044,4.178,7.26,6.922
18,1000,30.0,10.0,0.675,0.0,3.9451017292713715,0.5060402684563758,0.49631238405502015,0.5481611004408944,0.024071817999356426,0.02407240867614746,2522.0,2089.0,5.044,4.178,6.434,5.768
19,1000,30.0,10.0,0.9,0.0,2.583497785960377,0.49327354260089684,0.49282483552631584,0.5970744714672878,0.02226860900009342,0.022269010543823242,2522.0,2089.0,5.044,4.178,5.424,4.69
20,1000,30.0,20.0,,,,,,,,,,,,,,
21,1000,30.0,20.0,0.225,0.0,10.485581847711149,0.5520103761348898,0.556072713541013,0.555548844697443,0.027237324999987322,0.027238130569458008,2534.0,2398.0,5.068,4.796,8.822,8.752
22,1000,30.0,20.0,0.45,0.0,6.400801538960718,0.5396409872849663,0.556835978758896,0.5734634871985891,0.02553306999925553,0.025533437728881836,2534.0,2398.0,5.068,4.796,7.634,7.578
23,1000,30.0,20.0,0.675,0.0,4.243995430194762,0.5478316326530612,0.5682858910891089,0.5829592537200301,0.02480399700016278,0.024804353713989258,2534.0,2398.0,5.068,4.796,6.588,6.412
24,1000,30.0,20.0,0.9,0.0,2.8790987519591407,0.55,0.590407285909016,0.6619489911978893,0.023988222999832942,0.02398848533630371,2534.0,2398.0,5.068,4.796,5.53,5.374
25,1000,30.0,30.0,,,,,,,,,,,,,,
26,1000,30.0,30.0,0.225,0.0,10.312808194997306,0.5249091852620654,0.5281916263066728,0.5110289641402492,0.027016421000553237,0.02701735496520996,2490.0,2462.0,4.98,4.924,8.852,8.76
27,1000,30.0,30.0,0.45,0.0,6.2753672907733495,0.5355150613611008,0.5401098317506365,0.5354327139797612,0.026094289999491593,0.026094913482666016,2490.0,2462.0,4.98,4.924,7.664,7.618
28,1000,30.0,30.0,0.675,0.0,4.038294681589044,0.5358675659104843,0.557662927430754,0.5574162702356269,0.025280116999965685,0.02528095245361328,2490.0,2462.0,4.98,4.924,6.602,6.564
29,1000,30.0,30.0,0.9,0.0,2.7589637640154927,0.5329218106995884,0.5740006439259147,0.5855451405194916,0.024342834999515617,0.02434372901916504,2490.0,2462.0,4.98,4.924,5.454,5.422
30,1000,40.0,10.0,,,,,,,,,,,,,,
31,1000,40.0,10.0,0.225,0.0,9.644505814642093,0.5091324200913242,0.4915017193272415,0.5437085184989945,0.026196449999588367,0.026196956634521484,2516.0,2012.0,5.032,4.024,8.164,7.9
32,1000,40.0,10.0,0.45,0.0,6.400551180641215,0.48959167333867093,0.47176936395133484,0.5452039845803354,0.0247091500004899,0.02470993995666504,2516.0,2012.0,5.032,4.024,7.25,6.802
33,1000,40.0,10.0,0.675,0.0,3.9552909076901015,0.48484848484848486,0.48087879063837535,0.548409025492242,0.023792475999471208,0.023792743682861328,2516.0,2012.0,5.032,4.024,6.422,5.604
34,1000,40.0,10.0,0.9,0.0,2.6203906581709817,0.4880694143167028,0.48975315729047075,0.5968356192674185,0.022273628000220924,0.022274017333984375,2516.0,2012.0,5.032,4.024,5.434,4.544
35,1000,40.0,20.0,,,,,,,,,,,,,,
36,1000,40.0,20.0,0.225,0.0,10.621044276207737,0.5422210849539406,0.5356272677597776,0.5332989490814631,0.02742005700019945,0.027420759201049805,2566.0,2399.0,5.132,4.798,8.942,8.804
37,1000,40.0,20.0,0.45,0.0,6.667296637291868,0.5358435916002896,0.5404559447262187,0.5278417832518155,0.02631202599968674,0.02631235122680664,2566.0,2399.0,5.132,4.798,7.894,7.56
38,1000,40.0,20.0,0.675,0.0,4.326717151019299,0.5191064079952968,0.5362995210542343,0.5743719941929566,0.026352101000156836,0.026353120803833008,2566.0,2399.0,5.132,4.798,6.772,6.56
39,1000,40.0,20.0,0.9,0.0,2.832320322261105,0.520242914979757,0.5632911392405063,0.6221154200590315,0.026132972000596055,0.02613353729248047,2566.0,2399.0,5.132,4.798,5.606,5.312
40,1000,40.0,30.0,,,,,,,,,,,,,,
