,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
0,1000,5.0,5.0,,,,,,,,,,,,,,
1,1000,5.0,5.0,0.225,0.0,9.852192379638343,0.40374263009484745,0.3630141921368672,0.3975537277756058,0.03173419000086142,0.03173494338989258,2447.0,2565.0,4.894,5.13,8.876,8.95
2,1000,5.0,5.0,0.45,0.0,5.892573339465842,0.3628478496566679,0.28969569430810677,0.3625120279452694,0.028817368000090937,0.028818130493164062,2447.0,2565.0,4.894,5.13,7.722,7.836
3,1000,5.0,5.0,0.675,0.0,4.258766331807541,0.28375149342891276,0.1820673492572719,0.32354101871316865,0.027729735998946126,0.027730464935302734,2447.0,2565.0,4.894,5.13,6.624,6.748
4,1000,5.0,5.0,0.9,0.0,2.598408223554157,0.14285714285714285,0.047336647727272724,0.2820456578539153,0.025935953000953305,0.025936126708984375,2447.0,2565.0,4.894,5.13,5.406,5.57
5,1000,7.777777777777778,5.0,,,,,,,,,,,,,,
6,1000,7.777777777777778,5.0,0.225,0.0,8.976462544128733,0.4470640569395018,0.3809172557582179,0.5086139096599247,0.03609830499954114,0.03609943389892578,3439.0,2394.0,6.878,4.788,10.572,10.086
7,1000,7.777777777777778,5.0,0.45,0.0,5.322298888844934,0.43622920517560076,0.31888265887582723,0.4780884386272005,0.032567065998591715,0.032567739486694336,3439.0,2394.0,6.878,4.788,9.514,8.644
8,1000,7.777777777777778,5.0,0.675,0.0,2.6817635418037087,0.44398766700924974,0.23026416495409435,0.42550245712519763,0.03292506500110903,0.03292536735534668,3439.0,2394.0,6.878,4.788,8.504,7.054
9,1000,7.777777777777778,5.0,0.9,0.0,1.4644116303775014,0.5016891891891891,0.10969470796130952,0.3786172123461271,0.03158903799885593,0.03158974647521973,3439.0,2394.0,6.878,4.788,7.39,5.46
10,1000,7.777777777777778,7.777777777777778,,,,,,,,,,,,,,
11,1000,7.777777777777778,7.777777777777778,0.225,0.0,10.204110905346715,0.41950668424025606,0.3862665984700004,0.41147181326175836,0.042683143001340795,0.04268479347229004,3330.0,3444.0,6.66,6.888,12.048,12.122
12,1000,7.777777777777778,7.777777777777778,0.45,0.0,6.147550599871865,0.36674816625916873,0.30016217250336125,0.374000020171236,0.03840540800047165,0.038405418395996094,3330.0,3444.0,6.66,6.888,10.376,10.534
13,1000,7.777777777777778,7.777777777777778,0.675,0.0,4.02890934359766,0.29078947368421054,0.20597079814554758,0.3420790680615911,0.03596636899965233,0.03596663475036621,3330.0,3444.0,6.66,6.888,8.95,9.158
14,1000,7.777777777777778,7.777777777777778,0.9,0.0,2.579290611861053,0.1777150916784203,0.06115096445082098,0.29698194250187093,0.03553916100099741,0.03553962707519531,3330.0,3444.0,6.66,6.888,7.398,7.568
15,1000,10.555555555555555,5.0,,,,,,,,,,,,,,
16,1000,10.555555555555555,5.0,0.225,0.0,8.698888095238686,0.5872199170124481,0.4306778218252749,0.6356424096318397,0.046470621000480605,0.04647183418273926,5309.0,2485.0,10.618,4.97,14.444,13.194
17,1000,10.555555555555555,5.0,0.45,0.0,4.059655361426152,0.6406652611852893,0.3905969030969031,0.603047609333893,0.04215192900119291,0.04215240478515625,5309.0,2485.0,10.618,4.97,13.348,10.778
