,0,1,2,3,4,5,6,7,8,9,10,11
0,s,y,s,t,e,m,,,,,,
1,l,1,,,,,,,,,,
2,l,2,,,,,,,,,,
3,f,e,a,t,u,r,e,s,,,,
4,t,h,e,t,a,,,,,,,
5,i,n,t,e,r,c,e,p,t,,,
6,c,o,e,f,f,i,c,i,e,n,t,s
7,a,c,c,u,r,a,c,y,,,,
8,a,u,r,o,c,,,,,,,
9,a,u,p,r,,,,,,,,
10,s,y,s,t,e,m,,,,,,
11,l,1,,,,,,,,,,
12,l,2,,,,,,,,,,
13,f,e,a,t,u,r,e,s,,,,
14,t,h,e,t,a,,,,,,,
15,i,n,t,e,r,c,e,p,t,,,
16,c,o,e,f,f,i,c,i,e,n,t,s
17,a,c,c,u,r,a,c,y,,,,
18,a,u,r,o,c,,,,,,,
19,a,u,p,r,,,,,,,,
20,s,y,s,t,e,m,,,,,,
21,l,1,,,,,,,,,,
22,l,2,,,,,,,,,,
23,f,e,a,t,u,r,e,s,,,,
24,t,h,e,t,a,,,,,,,
25,i,n,t,e,r,c,e,p,t,,,
26,c,o,e,f,f,i,c,i,e,n,t,s
27,a,c,c,u,r,a,c,y,,,,
28,a,u,r,o,c,,,,,,,
29,a,u,p,r,,,,,,,,
30,s,y,s,t,e,m,,,,,,
31,l,1,,,,,,,,,,
32,l,2,,,,,,,,,,
33,f,e,a,t,u,r,e,s,,,,
34,t,h,e,t,a,,,,,,,
35,i,n,t,e,r,c,e,p,t,,,
36,c,o,e,f,f,i,c,i,e,n,t,s
37,a,c,c,u,r,a,c,y,,,,
38,a,u,r,o,c,,,,,,,
39,a,u,p,r,,,,,,,,
40,s,y,s,t,e,m,,,,,,
41,l,1,,,,,,,,,,
42,l,2,,,,,,,,,,
43,f,e,a,t,u,r,e,s,,,,
44,t,h,e,t,a,,,,,,,
45,i,n,t,e,r,c,e,p,t,,,
46,c,o,e,f,f,i,c,i,e,n,t,s
47,a,c,c,u,r,a,c,y,,,,
48,a,u,r,o,c,,,,,,,
49,a,u,p,r,,,,,,,,
50,s,y,s,t,e,m,,,,,,
51,l,1,,,,,,,,,,
52,l,2,,,,,,,,,,
53,f,e,a,t,u,r,e,s,,,,
54,t,h,e,t,a,,,,,,,
55,i,n,t,e,r,c,e,p,t,,,
56,c,o,e,f,f,i,c,i,e,n,t,s
57,a,c,c,u,r,a,c,y,,,,
58,a,u,r,o,c,,,,,,,
59,a,u,p,r,,,,,,,,
60,s,y,s,t,e,m,,,,,,
61,l,1,,,,,,,,,,
62,l,2,,,,,,,,,,
63,f,e,a,t,u,r,e,s,,,,
64,t,h,e,t,a,,,,,,,
65,i,n,t,e,r,c,e,p,t,,,
66,c,o,e,f,f,i,c,i,e,n,t,s
67,a,c,c,u,r,a,c,y,,,,
68,a,u,r,o,c,,,,,,,
69,a,u,p,r,,,,,,,,
70,s,y,s,t,e,m,,,,,,
71,l,1,,,,,,,,,,
72,l,2,,,,,,,,,,
73,f,e,a,t,u,r,e,s,,,,
74,t,h,e,t,a,,,,,,,
75,i,n,t,e,r,c,e,p,t,,,
76,c,o,e,f,f,i,c,i,e,n,t,s
77,a,c,c,u,r,a,c,y,,,,
78,a,u,r,o,c,,,,,,,
79,a,u,p,r,,,,,,,,
80,s,y,s,t,e,m,,,,,,
81,l,1,,,,,,,,,,
82,l,2,,,,,,,,,,
83,f,e,a,t,u,r,e,s,,,,
84,t,h,e,t,a,,,,,,,
85,i,n,t,e,r,c,e,p,t,,,
86,c,o,e,f,f,i,c,i,e,n,t,s
87,a,c,c,u,r,a,c,y,,,,
88,a,u,r,o,c,,,,,,,
89,a,u,p,r,,,,,,,,
90,s,y,s,t,e,m,,,,,,
91,l,1,,,,,,,,,,
92,l,2,,,,,,,,,,
93,f,e,a,t,u,r,e,s,,,,
94,t,h,e,t,a,,,,,,,
95,i,n,t,e,r,c,e,p,t,,,
96,c,o,e,f,f,i,c,i,e,n,t,s
97,a,c,c,u,r,a,c,y,,,,
98,a,u,r,o,c,,,,,,,
99,a,u,p,r,,,,,,,,
100,s,y,s,t,e,m,,,,,,
101,l,1,,,,,,,,,,
102,l,2,,,,,,,,,,
103,f,e,a,t,u,r,e,s,,,,
104,t,h,e,t,a,,,,,,,
105,i,n,t,e,r,c,e,p,t,,,
106,c,o,e,f,f,i,c,i,e,n,t,s
107,a,c,c,u,r,a,c,y,,,,
108,a,u,r,o,c,,,,,,,
109,a,u,p,r,,,,,,,,
110,s,y,s,t,e,m,,,,,,
111,l,1,,,,,,,,,,
112,l,2,,,,,,,,,,
113,f,e,a,t,u,r,e,s,,,,
114,t,h,e,t,a,,,,,,,
115,i,n,t,e,r,c,e,p,t,,,
116,c,o,e,f,f,i,c,i,e,n,t,s
117,a,c,c,u,r,a,c,y,,,,
118,a,u,r,o,c,,,,,,,
119,a,u,p,r,,,,,,,,
120,s,y,s,t,e,m,,,,,,
121,l,1,,,,,,,,,,
122,l,2,,,,,,,,,,
123,f,e,a,t,u,r,e,s,,,,
124,t,h,e,t,a,,,,,,,
125,i,n,t,e,r,c,e,p,t,,,
126,c,o,e,f,f,i,c,i,e,n,t,s
127,a,c,c,u,r,a,c,y,,,,
128,a,u,r,o,c,,,,,,,
129,a,u,p,r,,,,,,,,
130,s,y,s,t,e,m,,,,,,
131,l,1,,,,,,,,,,
132,l,2,,,,,,,,,,
133,f,e,a,t,u,r,e,s,,,,
134,t,h,e,t,a,,,,,,,
135,i,n,t,e,r,c,e,p,t,,,
136,c,o,e,f,f,i,c,i,e,n,t,s
137,a,c,c,u,r,a,c,y,,,,
138,a,u,r,o,c,,,,,,,
139,a,u,p,r,,,,,,,,
140,s,y,s,t,e,m,,,,,,
141,l,1,,,,,,,,,,
142,l,2,,,,,,,,,,
143,f,e,a,t,u,r,e,s,,,,
144,t,h,e,t,a,,,,,,,
145,i,n,t,e,r,c,e,p,t,,,
146,c,o,e,f,f,i,c,i,e,n,t,s
147,a,c,c,u,r,a,c,y,,,,
148,a,u,r,o,c,,,,,,,
149,a,u,p,r,,,,,,,,
150,s,y,s,t,e,m,,,,,,
151,l,1,,,,,,,,,,
152,l,2,,,,,,,,,,
153,f,e,a,t,u,r,e,s,,,,
154,t,h,e,t,a,,,,,,,
155,i,n,t,e,r,c,e,p,t,,,
156,c,o,e,f,f,i,c,i,e,n,t,s
157,a,c,c,u,r,a,c,y,,,,
158,a,u,r,o,c,,,,,,,
159,a,u,p,r,,,,,,,,
160,s,y,s,t,e,m,,,,,,
161,l,1,,,,,,,,,,
162,l,2,,,,,,,,,,
163,f,e,a,t,u,r,e,s,,,,
164,t,h,e,t,a,,,,,,,
165,i,n,t,e,r,c,e,p,t,,,
166,c,o,e,f,f,i,c,i,e,n,t,s
167,a,c,c,u,r,a,c,y,,,,
168,a,u,r,o,c,,,,,,,
169,a,u,p,r,,,,,,,,
170,s,y,s,t,e,m,,,,,,
171,l,1,,,,,,,,,,
172,l,2,,,,,,,,,,
173,f,e,a,t,u,r,e,s,,,,
174,t,h,e,t,a,,,,,,,
175,i,n,t,e,r,c,e,p,t,,,
176,c,o,e,f,f,i,c,i,e,n,t,s
177,a,c,c,u,r,a,c,y,,,,
178,a,u,r,o,c,,,,,,,
179,a,u,p,r,,,,,,,,
180,s,y,s,t,e,m,,,,,,
181,l,1,,,,,,,,,,
182,l,2,,,,,,,,,,
183,f,e,a,t,u,r,e,s,,,,
184,t,h,e,t,a,,,,,,,
185,i,n,t,e,r,c,e,p,t,,,
186,c,o,e,f,f,i,c,i,e,n,t,s
187,a,c,c,u,r,a,c,y,,,,
188,a,u,r,o,c,,,,,,,
189,a,u,p,r,,,,,,,,
190,s,y,s,t,e,m,,,,,,
191,l,1,,,,,,,,,,
192,l,2,,,,,,,,,,
193,f,e,a,t,u,r,e,s,,,,
194,t,h,e,t,a,,,,,,,
195,i,n,t,e,r,c,e,p,t,,,
196,c,o,e,f,f,i,c,i,e,n,t,s
197,a,c,c,u,r,a,c,y,,,,
198,a,u,r,o,c,,,,,,,
199,a,u,p,r,,,,,,,,
200,s,y,s,t,e,m,,,,,,
201,l,1,,,,,,,,,,
202,l,2,,,,,,,,,,
203,f,e,a,t,u,r,e,s,,,,
204,t,h,e,t,a,,,,,,,
205,i,n,t,e,r,c,e,p,t,,,
206,c,o,e,f,f,i,c,i,e,n,t,s
207,a,c,c,u,r,a,c,y,,,,
208,a,u,r,o,c,,,,,,,
209,a,u,p,r,,,,,,,,
210,s,y,s,t,e,m,,,,,,
211,l,1,,,,,,,,,,
212,l,2,,,,,,,,,,
213,f,e,a,t,u,r,e,s,,,,
214,t,h,e,t,a,,,,,,,
215,i,n,t,e,r,c,e,p,t,,,
216,c,o,e,f,f,i,c,i,e,n,t,s
217,a,c,c,u,r,a,c,y,,,,
218,a,u,r,o,c,,,,,,,
219,a,u,p,r,,,,,,,,
220,s,y,s,t,e,m,,,,,,
221,l,1,,,,,,,,,,
222,l,2,,,,,,,,,,
223,f,e,a,t,u,r,e,s,,,,
224,t,h,e,t,a,,,,,,,
225,i,n,t,e,r,c,e,p,t,,,
226,c,o,e,f,f,i,c,i,e,n,t,s
227,a,c,c,u,r,a,c,y,,,,
228,a,u,r,o,c,,,,,,,
229,a,u,p,r,,,,,,,,
230,s,y,s,t,e,m,,,,,,
231,l,1,,,,,,,,,,
232,l,2,,,,,,,,,,
233,f,e,a,t,u,r,e,s,,,,
234,t,h,e,t,a,,,,,,,
235,i,n,t,e,r,c,e,p,t,,,
236,c,o,e,f,f,i,c,i,e,n,t,s
237,a,c,c,u,r,a,c,y,,,,
238,a,u,r,o,c,,,,,,,
239,a,u,p,r,,,,,,,,
240,s,y,s,t,e,m,,,,,,
241,l,1,,,,,,,,,,
242,l,2,,,,,,,,,,
243,f,e,a,t,u,r,e,s,,,,
244,t,h,e,t,a,,,,,,,
245,i,n,t,e,r,c,e,p,t,,,
246,c,o,e,f,f,i,c,i,e,n,t,s
247,a,c,c,u,r,a,c,y,,,,
248,a,u,r,o,c,,,,,,,
249,a,u,p,r,,,,,,,,
250,s,y,s,t,e,m,,,,,,
251,l,1,,,,,,,,,,
252,l,2,,,,,,,,,,
253,f,e,a,t,u,r,e,s,,,,
254,t,h,e,t,a,,,,,,,
255,i,n,t,e,r,c,e,p,t,,,
256,c,o,e,f,f,i,c,i,e,n,t,s
257,a,c,c,u,r,a,c,y,,,,
258,a,u,r,o,c,,,,,,,
259,a,u,p,r,,,,,,,,
260,s,y,s,t,e,m,,,,,,
261,l,1,,,,,,,,,,
262,l,2,,,,,,,,,,
263,f,e,a,t,u,r,e,s,,,,
264,t,h,e,t,a,,,,,,,
265,i,n,t,e,r,c,e,p,t,,,
266,c,o,e,f,f,i,c,i,e,n,t,s
267,a,c,c,u,r,a,c,y,,,,
268,a,u,r,o,c,,,,,,,
269,a,u,p,r,,,,,,,,
270,s,y,s,t,e,m,,,,,,
271,l,1,,,,,,,,,,
272,l,2,,,,,,,,,,
273,f,e,a,t,u,r,e,s,,,,
274,t,h,e,t,a,,,,,,,
275,i,n,t,e,r,c,e,p,t,,,
276,c,o,e,f,f,i,c,i,e,n,t,s
277,a,c,c,u,r,a,c,y,,,,
278,a,u,r,o,c,,,,,,,
279,a,u,p,r,,,,,,,,
280,s,y,s,t,e,m,,,,,,
281,l,1,,,,,,,,,,
282,l,2,,,,,,,,,,
283,f,e,a,t,u,r,e,s,,,,
284,t,h,e,t,a,,,,,,,
285,i,n,t,e,r,c,e,p,t,,,
286,c,o,e,f,f,i,c,i,e,n,t,s
287,a,c,c,u,r,a,c,y,,,,
288,a,u,r,o,c,,,,,,,
289,a,u,p,r,,,,,,,,
290,s,y,s,t,e,m,,,,,,
291,l,1,,,,,,,,,,
292,l,2,,,,,,,,,,
293,f,e,a,t,u,r,e,s,,,,
294,t,h,e,t,a,,,,,,,
295,i,n,t,e,r,c,e,p,t,,,
296,c,o,e,f,f,i,c,i,e,n,t,s
297,a,c,c,u,r,a,c,y,,,,
298,a,u,r,o,c,,,,,,,
299,a,u,p,r,,,,,,,,
300,s,y,s,t,e,m,,,,,,
301,l,1,,,,,,,,,,
302,l,2,,,,,,,,,,
303,f,e,a,t,u,r,e,s,,,,
304,t,h,e,t,a,,,,,,,
305,i,n,t,e,r,c,e,p,t,,,
306,c,o,e,f,f,i,c,i,e,n,t,s
307,a,c,c,u,r,a,c,y,,,,
308,a,u,r,o,c,,,,,,,
309,a,u,p,r,,,,,,,,
310,s,y,s,t,e,m,,,,,,
311,l,1,,,,,,,,,,
312,l,2,,,,,,,,,,
313,f,e,a,t,u,r,e,s,,,,
314,t,h,e,t,a,,,,,,,
315,i,n,t,e,r,c,e,p,t,,,
316,c,o,e,f,f,i,c,i,e,n,t,s
317,a,c,c,u,r,a,c,y,,,,
318,a,u,r,o,c,,,,,,,
319,a,u,p,r,,,,,,,,
320,s,y,s,t,e,m,,,,,,
321,l,1,,,,,,,,,,
322,l,2,,,,,,,,,,
323,f,e,a,t,u,r,e,s,,,,
324,t,h,e,t,a,,,,,,,
325,i,n,t,e,r,c,e,p,t,,,
326,c,o,e,f,f,i,c,i,e,n,t,s
327,a,c,c,u,r,a,c,y,,,,
328,a,u,r,o,c,,,,,,,
329,a,u,p,r,,,,,,,,
330,s,y,s,t,e,m,,,,,,
331,l,1,,,,,,,,,,
332,l,2,,,,,,,,,,
333,f,e,a,t,u,r,e,s,,,,
334,t,h,e,t,a,,,,,,,
335,i,n,t,e,r,c,e,p,t,,,
336,c,o,e,f,f,i,c,i,e,n,t,s
337,a,c,c,u,r,a,c,y,,,,
338,a,u,r,o,c,,,,,,,
339,a,u,p,r,,,,,,,,
340,s,y,s,t,e,m,,,,,,
341,l,1,,,,,,,,,,
342,l,2,,,,,,,,,,
343,f,e,a,t,u,r,e,s,,,,
344,t,h,e,t,a,,,,,,,
345,i,n,t,e,r,c,e,p,t,,,
346,c,o,e,f,f,i,c,i,e,n,t,s
347,a,c,c,u,r,a,c,y,,,,
348,a,u,r,o,c,,,,,,,
349,a,u,p,r,,,,,,,,
350,s,y,s,t,e,m,,,,,,
351,l,1,,,,,,,,,,
352,l,2,,,,,,,,,,
353,f,e,a,t,u,r,e,s,,,,
354,t,h,e,t,a,,,,,,,
355,i,n,t,e,r,c,e,p,t,,,
356,c,o,e,f,f,i,c,i,e,n,t,s
357,a,c,c,u,r,a,c,y,,,,
358,a,u,r,o,c,,,,,,,
359,a,u,p,r,,,,,,,,
360,s,y,s,t,e,m,,,,,,
361,l,1,,,,,,,,,,
362,l,2,,,,,,,,,,
363,f,e,a,t,u,r,e,s,,,,
364,t,h,e,t,a,,,,,,,
365,i,n,t,e,r,c,e,p,t,,,
366,c,o,e,f,f,i,c,i,e,n,t,s
367,a,c,c,u,r,a,c,y,,,,
368,a,u,r,o,c,,,,,,,
369,a,u,p,r,,,,,,,,
370,s,y,s,t,e,m,,,,,,
371,l,1,,,,,,,,,,
372,l,2,,,,,,,,,,
373,f,e,a,t,u,r,e,s,,,,
374,t,h,e,t,a,,,,,,,
375,i,n,t,e,r,c,e,p,t,,,
376,c,o,e,f,f,i,c,i,e,n,t,s
377,a,c,c,u,r,a,c,y,,,,
378,a,u,r,o,c,,,,,,,
379,a,u,p,r,,,,,,,,
380,s,y,s,t,e,m,,,,,,
381,l,1,,,,,,,,,,
382,l,2,,,,,,,,,,
383,f,e,a,t,u,r,e,s,,,,
384,t,h,e,t,a,,,,,,,
385,i,n,t,e,r,c,e,p,t,,,
386,c,o,e,f,f,i,c,i,e,n,t,s
387,a,c,c,u,r,a,c,y,,,,
388,a,u,r,o,c,,,,,,,
389,a,u,p,r,,,,,,,,
390,s,y,s,t,e,m,,,,,,
391,l,1,,,,,,,,,,
392,l,2,,,,,,,,,,
393,f,e,a,t,u,r,e,s,,,,
394,t,h,e,t,a,,,,,,,
395,i,n,t,e,r,c,e,p,t,,,
396,c,o,e,f,f,i,c,i,e,n,t,s
397,a,c,c,u,r,a,c,y,,,,
398,a,u,r,o,c,,,,,,,
399,a,u,p,r,,,,,,,,
400,s,y,s,t,e,m,,,,,,
401,l,1,,,,,,,,,,
402,l,2,,,,,,,,,,
403,f,e,a,t,u,r,e,s,,,,
404,t,h,e,t,a,,,,,,,
405,i,n,t,e,r,c,e,p,t,,,
406,c,o,e,f,f,i,c,i,e,n,t,s
407,a,c,c,u,r,a,c,y,,,,
408,a,u,r,o,c,,,,,,,
409,a,u,p,r,,,,,,,,
410,s,y,s,t,e,m,,,,,,
411,l,1,,,,,,,,,,
412,l,2,,,,,,,,,,
413,f,e,a,t,u,r,e,s,,,,
414,t,h,e,t,a,,,,,,,
415,i,n,t,e,r,c,e,p,t,,,
416,c,o,e,f,f,i,c,i,e,n,t,s
417,a,c,c,u,r,a,c,y,,,,
418,a,u,r,o,c,,,,,,,
419,a,u,p,r,,,,,,,,
420,s,y,s,t,e,m,,,,,,
421,l,1,,,,,,,,,,
422,l,2,,,,,,,,,,
423,f,e,a,t,u,r,e,s,,,,
424,t,h,e,t,a,,,,,,,
425,i,n,t,e,r,c,e,p,t,,,
426,c,o,e,f,f,i,c,i,e,n,t,s
427,a,c,c,u,r,a,c,y,,,,
428,a,u,r,o,c,,,,,,,
429,a,u,p,r,,,,,,,,
