,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,2,{'emb'},0.05,0.0,[0.83787215],0.8044692737430168,0.6097222222222222,0.8612861810092469
1,london,1,2,{'emb'},0.14,0.0,[0.88266271],0.8054711246200608,0.6636792452830189,0.8838529511508757
2,london,1,2,{'emb'},0.22999999999999998,0.0,[0.15077459],0.8222996515679443,0.8487038883349951,0.9534589139467237
3,london,1,2,{'emb'},0.32,0.0,[0.2778472],0.812,0.8852321559584949,0.9711027964616565
4,london,1,2,{'emb'},0.41,0.0,[0.31271854],0.8034934497816594,0.8708937198067633,0.9546341382773841
5,london,1,2,{'emb'},0.49999999999999994,0.0,[0.2420629],0.8080808080808081,0.9207236842105264,0.9798544704570706
6,london,1,2,{'emb'},0.5900000000000001,0.0,[0.11770089],0.8165680473372781,0.8936418887330527,0.9748492834897539
7,london,1,2,{'emb'},0.68,0.0,[0.07278639],0.7886178861788617,0.8977002379064235,0.9699652251434894
8,london,1,2,{'emb'},0.77,0.0,[0.03667432],0.7804878048780488,0.9774305555555556,0.9939887406702724
9,london,1,2,{'emb'},0.86,0.0,[-0.10205403],0.19642857142857142,0.0202020202020202,0.6045348439470076
10,london,1,2,{'emb'},0.95,0.0,[-0.15259384],0.07692307692307693,0.0,0.7798606486106486
11,london,1,2,{'deg'},0.05,0.0,[1.9383176],0.2988826815642458,0.5847718253968254,0.8961922424849399
12,london,1,2,{'deg'},0.14,0.0,[3.15136534],0.44680851063829785,0.6972877358490566,0.9256204967128008
13,london,1,2,{'deg'},0.22999999999999998,0.0,[3.8283048],0.5818815331010453,0.8502409438351611,0.9570634579848118
14,london,1,2,{'deg'},0.32,0.0,[4.23444093],0.732,0.9021066974111729,0.9744678766061553
15,london,1,2,{'deg'},0.41,0.0,[4.25319533],0.8034934497816594,0.9321859903381642,0.9814624759409954
16,london,1,2,{'deg'},0.49999999999999994,0.0,[4.31094477],0.8686868686868687,0.9624177631578947,0.9908164939747571
17,london,1,2,{'deg'},0.5900000000000001,0.0,[4.4330083],0.8757396449704142,0.9621318373071528,0.9913218566139991
18,london,1,2,{'deg'},0.68,0.0,[4.4063945],0.9024390243902439,0.9583663758921491,0.9879548719299653
19,london,1,2,{'deg'},0.77,0.0,[4.3949447],0.9878048780487805,1.0,1.0
20,london,1,2,{'deg'},0.86,0.0,[4.37833655],0.9285714285714286,0.9868686868686869,0.9967736170713603
21,london,1,2,{'deg'},0.95,0.0,[4.41788217],0.9230769230769231,1.0,1.0
22,london,1,2,"{'imb', 'emb'}",0.05,2.650335808534814,[-1.04504957],0.8044692737430168,0.3902777777777778,0.7308430087793656
23,london,1,2,"{'imb', 'emb'}",0.14,3.555202024959954,[-2.32408526],0.7325227963525835,0.3363207547169811,0.7092788243071461
24,london,1,2,"{'imb', 'emb'}",0.22999999999999998,5.162622708784108,[-3.67572196],0.6550522648083623,0.151296111665005,0.6636975030248512
25,london,1,2,"{'imb', 'emb'}",0.32,5.960926262254097,[-3.98673372],0.508,0.11476784404150508,0.6477955730481557
