,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,london,1,2,{'emb'},0.05,0.0,[1.59626907],0.8044692737430168,0.3902777777777778,0.7308430087793656,-12.0
1,london,1,2,{'emb'},0.05,0.0,[1.59626907],0.8044692737430168,0.3902777777777778,0.7308430087793656,-9.75
2,london,1,2,{'emb'},0.05,0.0,[1.59626907],0.8044692737430168,0.3902777777777778,0.7308430087793656,-7.5
3,london,1,2,{'emb'},0.05,0.0,[1.59626907],0.8044692737430168,0.3902777777777778,0.7308430087793656,-5.25
4,london,1,2,{'emb'},0.05,0.0,[1.59626907],0.8044692737430168,0.3902777777777778,0.7308430087793656,-3.0
5,london,1,2,{'emb'},0.14,0.0,[2.13183368],0.8054711246200608,0.3363207547169811,0.7092788243071461,-12.0
6,london,1,2,{'emb'},0.14,0.0,[2.13183368],0.8054711246200608,0.3363207547169811,0.7092788243071461,-9.75
7,london,1,2,{'emb'},0.14,0.0,[2.13183368],0.8054711246200608,0.3363207547169811,0.7092788243071461,-7.5
8,london,1,2,{'emb'},0.14,0.0,[2.13183368],0.8054711246200608,0.3363207547169811,0.7092788243071461,-5.25
9,london,1,2,{'emb'},0.14,0.0,[2.13183368],0.8054711246200608,0.3363207547169811,0.7092788243071461,-3.0
10,london,1,2,{'emb'},0.22999999999999998,0.0,[2.30621013],0.8222996515679443,0.151296111665005,0.6636975030248512,-12.0
11,london,1,2,{'emb'},0.22999999999999998,0.0,[2.30621013],0.8222996515679443,0.151296111665005,0.6636975030248512,-9.75
12,london,1,2,{'emb'},0.22999999999999998,0.0,[2.30621013],0.8222996515679443,0.151296111665005,0.6636975030248512,-7.5
13,london,1,2,{'emb'},0.22999999999999998,0.0,[2.30621013],0.8222996515679443,0.151296111665005,0.6636975030248512,-5.25
14,london,1,2,{'emb'},0.22999999999999998,0.0,[2.30621013],0.8222996515679443,0.151296111665005,0.6636975030248512,-3.0
15,london,1,2,{'emb'},0.32,0.0,[2.81899836],0.812,0.11476784404150508,0.6477955730481557,-12.0
16,london,1,2,{'emb'},0.32,0.0,[2.81899836],0.812,0.11476784404150508,0.6477955730481557,-9.75
17,london,1,2,{'emb'},0.32,0.0,[2.81899836],0.812,0.11476784404150508,0.6477955730481557,-7.5
18,london,1,2,{'emb'},0.32,0.0,[2.81899836],0.812,0.11476784404150508,0.6477955730481557,-5.25
19,london,1,2,{'emb'},0.32,0.0,[2.81899836],0.812,0.11476784404150508,0.6477955730481557,-3.0
20,london,1,2,{'emb'},0.41,0.0,[3.03765354],0.8034934497816594,0.1291062801932367,0.6340513146995087,-12.0
21,london,1,2,{'emb'},0.41,0.0,[3.03765354],0.8034934497816594,0.1291062801932367,0.6340513146995087,-9.75
22,london,1,2,{'emb'},0.41,0.0,[3.03765354],0.8034934497816594,0.1291062801932367,0.6340513146995087,-7.5
23,london,1,2,{'emb'},0.41,0.0,[3.03765354],0.8034934497816594,0.1291062801932367,0.6340513146995087,-5.25
24,london,1,2,{'emb'},0.41,0.0,[3.03765354],0.8034934497816594,0.1291062801932367,0.6340513146995087,-3.0
25,london,1,2,{'emb'},0.49999999999999994,0.0,[3.07106837],0.8080808080808081,0.07927631578947368,0.625161700915746,-12.0
26,london,1,2,{'emb'},0.49999999999999994,0.0,[3.07106837],0.8080808080808081,0.07927631578947368,0.625161700915746,-9.75
27,london,1,2,{'emb'},0.49999999999999994,0.0,[3.07106837],0.8080808080808081,0.07927631578947368,0.625161700915746,-7.5
28,london,1,2,{'emb'},0.49999999999999994,0.0,[3.07106837],0.8080808080808081,0.07927631578947368,0.625161700915746,-5.25
29,london,1,2,{'emb'},0.49999999999999994,0.0,[3.07106837],0.8080808080808081,0.07927631578947368,0.625161700915746,-3.0
30,london,1,2,{'emb'},0.5900000000000001,0.0,[3.17450259],0.8165680473372781,0.10635811126694716,0.6471059666168042,-12.0
31,london,1,2,{'emb'},0.5900000000000001,0.0,[3.17450259],0.8165680473372781,0.10635811126694716,0.6471059666168042,-9.75
32,london,1,2,{'emb'},0.5900000000000001,0.0,[3.17450259],0.8165680473372781,0.10635811126694716,0.6471059666168042,-7.5
33,london,1,2,{'emb'},0.5900000000000001,0.0,[3.17450259],0.8165680473372781,0.10635811126694716,0.6471059666168042,-5.25
34,london,1,2,{'emb'},0.5900000000000001,0.0,[3.17450259],0.8165680473372781,0.10635811126694716,0.6471059666168042,-3.0
35,london,1,2,{'emb'},0.68,0.0,[3.54123433],0.7886178861788617,0.10229976209357651,0.6070595560679459,-12.0
36,london,1,2,{'emb'},0.68,0.0,[3.54123433],0.7886178861788617,0.10229976209357651,0.6070595560679459,-9.75
37,london,1,2,{'emb'},0.68,0.0,[3.54123433],0.7886178861788617,0.10229976209357651,0.6070595560679459,-7.5
38,london,1,2,{'emb'},0.68,0.0,[3.54123433],0.7886178861788617,0.10229976209357651,0.6070595560679459,-5.25
39,london,1,2,{'emb'},0.68,0.0,[3.54123433],0.7886178861788617,0.10229976209357651,0.6070595560679459,-3.0
40,london,1,2,{'emb'},0.77,0.0,[3.77160364],0.7804878048780488,0.022569444444444448,0.5759281177479083,-12.0
41,london,1,2,{'emb'},0.77,0.0,[3.77160364],0.7804878048780488,0.022569444444444448,0.5759281177479083,-9.75
42,london,1,2,{'emb'},0.77,0.0,[3.77160364],0.7804878048780488,0.022569444444444448,0.5759281177479083,-7.5
43,london,1,2,{'emb'},0.77,0.0,[3.77160364],0.7804878048780488,0.022569444444444448,0.5759281177479083,-5.25
44,london,1,2,{'emb'},0.77,0.0,[3.77160364],0.7804878048780488,0.022569444444444448,0.5759281177479083,-3.0
45,london,1,2,{'emb'},0.86,0.0,[3.92009788],0.8035714285714286,0.0202020202020202,0.6045348439470076,-12.0
46,london,1,2,{'emb'},0.86,0.0,[3.92009788],0.8035714285714286,0.0202020202020202,0.6045348439470076,-9.75
47,london,1,2,{'emb'},0.86,0.0,[3.92009788],0.8035714285714286,0.0202020202020202,0.6045348439470076,-7.5
48,london,1,2,{'emb'},0.86,0.0,[3.92009788],0.8035714285714286,0.0202020202020202,0.6045348439470076,-5.25
49,london,1,2,{'emb'},0.86,0.0,[3.92009788],0.8035714285714286,0.0202020202020202,0.6045348439470076,-3.0
50,london,1,2,{'emb'},0.95,0.0,[4.24474075],0.9230769230769231,0.0,0.7798606486106486,-12.0
51,london,1,2,{'emb'},0.95,0.0,[4.24474075],0.9230769230769231,0.0,0.7798606486106486,-9.75
52,london,1,2,{'emb'},0.95,0.0,[4.24474075],0.9230769230769231,0.0,0.7798606486106486,-7.5
53,london,1,2,{'emb'},0.95,0.0,[4.24474075],0.9230769230769231,0.0,0.7798606486106486,-5.25
54,london,1,2,{'emb'},0.95,0.0,[4.24474075],0.9230769230769231,0.0,0.7798606486106486,-3.0
