,walk_length,edge,correct,layer,distance,ground_truth,likelihood_metric,score
0,5,"(1, 106)",False,d_G,2.2685323,1,inverse,0.45953137
1,5,"(219, 1)",False,d_G,2.7492049,1,inverse,0.37510782
2,5,"(1, 321)",False,d_G,2.2875674,1,inverse,0.34037998
3,5,"(77, 76)",False,d_G,1.8056412,1,inverse,0.36448264
4,5,"(106, 105)",True,d_G,1.3640958,1,inverse,0.51194674
5,5,"(6, 4)",False,d_G,2.5600615,1,inverse,0.37413678
6,5,"(160, 4)",False,d_G,2.5467625,1,inverse,0.22902618
7,5,"(5, 6)",False,d_G,1.4769969,1,inverse,0.47856748
8,5,"(6, 345)",True,d_G,1.5559373,1,inverse,0.5056349
9,5,"(301, 72)",False,d_G,1.7036259,1,inverse,0.2137121
10,5,"(44, 221)",False,d_G,1.74068,1,inverse,0.32380965
11,5,"(328, 221)",True,d_G,1.4458768,1,inverse,0.50857806
12,5,"(328, 345)",True,d_G,1.3450282,1,inverse,0.56168187
13,5,"(39, 8)",False,d_G,2.6468232,1,inverse,0.12388057
14,5,"(9, 295)",False,d_G,2.1722577,1,inverse,0.09755315
15,5,"(34, 119)",False,d_G,2.547237,1,inverse,0.22660142
16,5,"(180, 34)",False,d_G,2.9368374,1,inverse,0.11775184
17,5,"(58, 59)",False,d_G,2.0667028,1,inverse,0.37268722
18,5,"(348, 10)",False,d_G,2.1550562,1,inverse,0.4728776
19,5,"(59, 348)",False,d_G,2.0473104,1,inverse,0.447574
20,5,"(342, 354)",False,d_G,1.666249,1,inverse,0.12812258
21,5,"(16, 122)",False,d_G,1.5092658,1,inverse,0.15287367
22,5,"(20, 19)",False,d_G,1.5907146,1,inverse,0.17285062
23,5,"(181, 38)",False,d_G,2.3153327,1,inverse,0.30545783
24,5,"(245, 181)",False,d_G,2.6486728,1,inverse,0.3876669
25,5,"(21, 22)",False,d_G,1.41262,1,inverse,0.15558746
26,5,"(168, 169)",False,d_G,1.5143038,1,inverse,0.36424658
27,5,"(262, 99)",False,d_G,2.1403198,1,inverse,0.3483187
28,5,"(24, 23)",False,d_G,1.67991,1,inverse,0.1234921
29,5,"(192, 26)",False,d_G,2.0786808,1,inverse,0.28805292
30,5,"(293, 191)",False,d_G,1.6811434,1,inverse,0.33609766
31,5,"(192, 336)",False,d_G,1.6885536,1,inverse,0.48140147
32,5,"(28, 27)",False,d_G,3.2089155,1,inverse,0.39614806
33,5,"(29, 27)",True,d_G,2.5524807,1,inverse,0.5122223
34,5,"(30, 27)",False,d_G,2.617194,1,inverse,0.48746735
35,5,"(27, 31)",False,d_G,2.1049838,1,inverse,0.48060367
36,5,"(175, 27)",False,d_G,2.4236114,1,inverse,0.45012784
