,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
0,0.02,0.7676109007820942,0.7513869028635817,"(1, 0)",1,0,False,0.49465963746636965,0.49594408948573937
1,0.02,0.49390048899648775,0.42352404296623264,"(0, 19)",0,0,True,0.4616445584468441,0.4824131466386406
2,0.02,0.6749119349544614,0.7364374710488019,"(1, 2)",1,1,True,0.5217967059867095,0.5153765338127589
3,0.02,0.5614555458889111,0.6023293210187501,"(41, 2)",0,1,False,0.5175607091534221,0.5102170213866422
4,0.02,0.7926455926163258,0.8308980519867762,"(4, 3)",1,1,True,0.5117805454437911,0.509561948910385
5,0.02,0.6395790105389635,0.7176462355838368,"(3, 87)",0,1,False,0.5287598632827855,0.5195069002140459
6,0.02,0.7802175872334908,0.7928904730972223,"(4, 5)",1,1,True,0.5040279769023202,0.5031681790647123
7,0.02,0.6224576257271808,0.6100939379699744,"(18, 4)",0,0,True,0.4949845150006867,0.4969091174334901
8,0.02,0.7447546042759965,0.7677695999063505,"(4, 56)",0,1,False,0.5076081412670007,0.5057534949457576
9,0.02,0.7072593563915276,0.7028885109224453,"(6, 5)",1,0,False,0.4984502173245818,0.49890729037234904
10,0.02,0.6880720228665409,0.6509659246568046,"(68, 5)",0,0,True,0.48614449341097205,0.49072453967595425
11,0.02,0.7664917352951388,0.6966653288466171,"(7, 6)",1,0,False,0.47613844468246486,0.4825504877333569
12,0.02,0.5329945400512903,0.5125306484127827,"(6, 24)",0,0,True,0.4902135826739048,0.4948842056179286
13,0.02,0.6286194436040073,0.6858644663958857,"(7, 8)",1,1,True,0.5217747141506978,0.5143073488216191
14,0.02,0.6742809766722825,0.7187027467156094,"(8, 9)",1,1,True,0.5159448273865284,0.5111036166795186
15,0.02,0.6792937298766943,0.6197087382340511,"(10, 9)",1,0,False,0.4770650968318394,0.48510815779265776
16,0.02,0.697547994646786,0.6657698242723765,"(11, 10)",1,0,False,0.4883452816601476,0.492056125906649
17,0.02,0.6657652961636965,0.6461448383767824,"(12, 11)",1,0,False,0.4925221791987351,0.49509504290425177
18,0.02,0.577793348394762,0.6215943106581321,"(13, 12)",1,1,True,0.518259718587549,0.5109484902097715
19,0.02,0.6498284206010715,0.6627743913749538,"(13, 14)",1,1,True,0.5049314120980714,0.5032364474917099
20,0.02,0.6557761888776488,0.6370224918051762,"(14, 15)",1,0,False,0.4927468609951832,0.4953117131374013
21,0.02,0.6420745923303064,0.6377262917712002,"(15, 16)",1,0,False,0.49830118082698505,0.49891292657306263
