,walk_length,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
0,3,0.22770995,0.24045345,"(0, 1)",1,1,True,0.51361006,0.5031858
1,3,0.17275618,0.24569748,"(99, 0)",0,1,False,0.58715576,0.5182273
2,3,0.22125573,0.23317672,"(2, 1)",1,1,True,0.51311636,0.50298023
3,3,0.17270862,0.262078,"(3, 2)",1,1,True,0.60277385,0.52232754
4,3,0.20274703,0.22133072,"(3, 4)",1,1,True,0.5219107,0.50464576
5,3,0.24457912,0.21421479,"(4, 5)",1,0,False,0.4669085,0.4924095
6,3,0.23752265,0.24471095,"(6, 5)",1,1,True,0.5074531,0.5017971
7,3,0.27777195,0.18572408,"(9, 8)",1,0,False,0.40070266,0.4770043
8,3,0.2194,0.16585091,"(10, 9)",1,0,False,0.43050104,0.48661593
9,3,0.17058246,0.2165131,"(13, 14)",1,1,True,0.55932724,0.5114806
10,3,0.19282407,0.2069453,"(15, 14)",1,1,True,0.51766175,0.50353026
11,3,0.16837357,0.21312495,"(17, 16)",1,1,True,0.5586521,0.51118594
12,3,0.19658895,0.19183289,"(23, 24)",1,0,False,0.4938777,0.49881098
13,3,0.24476719,0.18764013,"(24, 25)",1,0,False,0.433943,0.4857221
14,3,0.17815028,0.2036538,"(29, 28)",1,1,True,0.5333987,0.5063755
15,3,0.20214479,0.21130338,"(29, 30)",1,1,True,0.51107585,0.50228965
16,3,0.23930691,0.18660367,"(32, 31)",1,0,False,0.43812877,0.48682725
17,3,0.24347465,0.1816664,"(34, 33)",1,0,False,0.42730856,0.4845529
18,3,0.20727152,0.20847064,"(35, 34)",1,1,True,0.5014422,0.50029975
19,3,0.16807556,0.19777556,"(36, 37)",1,1,True,0.5405903,0.5074244
20,3,0.19851518,0.21576189,"(38, 37)",1,1,True,0.52081543,0.50431156
21,3,0.24077167,0.26233628,"(40, 39)",1,1,True,0.5214314,0.50539094
22,3,0.2465497,0.22518636,"(41, 40)",1,0,False,0.47735664,0.49465933
23,3,0.2638947,0.17028716,"(41, 42)",1,0,False,0.39220238,0.4766152
24,3,0.23688182,0.20063983,"(43, 44)",1,0,False,0.45858258,0.49094048
25,3,0.21641366,0.2018209,"(45, 44)",1,0,False,0.48255435,0.49635187
26,3,0.19988592,0.22823401,"(46, 45)",1,1,True,0.5331077,0.5070865
27,3,0.18824492,0.180766,"(46, 47)",1,0,False,0.48986626,0.49813026
28,3,0.22631381,0.21172592,"(49, 48)",1,0,False,0.48334864,0.4963531
29,3,0.22629318,0.25433722,"(50, 51)",1,1,True,0.52917427,0.5070105
30,3,0.15688528,0.19128424,"(52, 51)",1,1,True,0.54939973,0.50859886
31,3,0.20742536,0.17491223,"(53, 54)",1,0,False,0.45748115,0.49187243
32,3,0.24991293,0.19950256,"(55, 56)",1,0,False,0.44391564,0.48740008
33,3,0.19327506,0.17606398,"(58, 59)",1,0,False,0.47670016,0.49569735
34,3,0.22976746,0.21658722,"(60, 59)",1,0,False,0.48523566,0.49670497
35,3,0.24647318,0.20771231,"(60, 61)",1,0,False,0.45732927,0.49031103
36,3,0.25585896,0.17607582,"(62, 61)",1,0,False,0.40764445,0.48006478
37,3,0.18229003,0.2602084,"(64, 63)",1,1,True,0.58804363,0.5194698
38,3,0.18956508,0.19629903,"(68, 67)",1,1,True,0.5087258,0.50168353
39,3,0.2588254,0.18020341,"(68, 69)",1,0,False,0.4104592,0.4803546
40,3,0.2374111,0.20590943,"(71, 70)",1,0,False,0.46447074,0.4921252
41,3,0.14327368,0.19545788,"(73, 74)",1,1,True,0.5770289,0.5130431
42,3,0.20824662,0.21355878,"(76, 75)",1,1,True,0.50629693,0.50132805
43,3,0.20490304,0.22147101,"(76, 77)",1,1,True,0.51942897,0.5041419
44,3,0.21492006,0.22230558,"(77, 78)",1,1,True,0.50844586,0.5018464
45,3,0.210827,0.22176716,"(80, 81)",1,1,True,0.5126448,0.502735
46,3,0.15719926,0.20787431,"(83, 82)",1,1,True,0.5694039,0.51266605
47,3,0.22620502,0.20676611,"(86, 85)",1,0,False,0.47755173,0.49514043
48,3,0.18210736,0.23054303,"(86, 87)",1,1,True,0.55868846,0.51210654
49,3,0.2117485,0.26248613,"(88, 87)",1,1,True,0.5534943,0.51268166
50,3,0.21554787,0.18679877,"(90, 89)",1,0,False,0.46427318,0.49281323
51,3,0.26914436,0.19342355,"(91, 90)",1,0,False,0.4181517,0.48107886
52,3,0.17928624,0.18672195,"(92, 91)",1,1,True,0.5101579,0.5018589
53,3,0.20073165,0.22080898,"(94, 93)",1,1,True,0.52381426,0.5050192
54,3,0.176434,0.2174674,"(95, 94)",1,1,True,0.5520859,0.5102569
55,3,0.1812934,0.21316199,"(98, 99)",1,1,True,0.5403957,0.50796646
56,3,0.25478414,0.20487651,"(61, 78)",0,0,True,0.44571254,0.48752564
57,3,0.1399547,0.16436347,"(72, 74)",0,1,False,0.54010403,0.5061019
58,3,0.19650768,0.17082275,"(66, 91)",0,0,True,0.4650384,0.4935791
59,3,0.22488743,0.18559314,"(91, 8)",0,0,True,0.45213625,0.49017766
60,3,0.24950403,0.18398026,"(70, 8)",0,0,True,0.42442197,0.4836249
61,3,0.25348657,0.22509436,"(5, 70)",0,0,True,0.47033706,0.49290243
62,3,0.2167382,0.20145968,"(5, 98)",0,0,True,0.48173293,0.49618044
63,3,0.28086242,0.2045624,"(95, 26)",0,0,True,0.421409,0.48093423
64,3,0.20836706,0.17453347,"(88, 26)",0,0,True,0.45581934,0.4915424
65,3,0.15882127,0.18376575,"(18, 16)",0,1,False,0.53640604,0.5062358
66,3,0.21420254,0.18977655,"(56, 73)",0,0,True,0.46976826,0.4938938
67,3,0.23946284,0.19706586,"(63, 20)",0,0,True,0.4514385,0.48940235
68,3,0.20785323,0.20580429,"(94, 75)",0,0,True,0.49752337,0.4994878
69,3,0.21607561,0.1407484,"(6, 94)",0,0,True,0.39444768,0.4811771
70,3,0.22187695,0.19387153,"(76, 65)",0,0,True,0.46631926,0.4929991
71,3,0.19333753,0.18930052,"(45, 92)",0,0,True,0.49472478,0.49899074
72,3,0.19602703,0.21494344,"(45, 48)",0,1,False,0.5230143,0.504729
73,3,0.22832406,0.21916193,"(48, 67)",0,0,True,0.4897627,0.49770945
74,3,0.23997134,0.14631891,"(67, 10)",0,0,True,0.3787797,0.47660398
75,3,0.26282626,0.22540686,"(10, 38)",0,0,True,0.46167877,0.49064618
76,3,0.26142752,0.17449431,"(60, 43)",0,0,True,0.40028808,0.47828037
77,3,0.18067652,0.22852713,"(80, 53)",0,1,False,0.5584679,0.5119604
78,3,0.20261337,0.18100153,"(28, 33)",0,0,True,0.47183132,0.4945973
79,3,0.25290805,0.19943427,"(33, 86)",0,0,True,0.44089237,0.4866347
80,3,0.22681312,0.19995435,"(86, 0)",0,0,True,0.46853232,0.4932857
81,3,0.16546482,0.22632469,"(34, 46)",0,1,False,0.57766914,0.5152103
82,3,0.24592283,0.1719695,"(31, 69)",0,0,True,0.4115163,0.48152006
83,3,0.22366646,0.18570688,"(39, 2)",0,0,True,0.45363697,0.4905112
84,3,0.23312394,0.20210251,"(47, 90)",0,0,True,0.46436173,0.49224526
85,3,0.1901715,0.25655332,"(51, 77)",0,1,False,0.5742983,0.51658934
