,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
0,1000,5.0,5.0,,,,,,,,,,,,,,
1,1000,5.0,5.0,0.1,0.0,9.481156178197729,0.4502505368647101,0.4273855604822946,0.47142007606326874,0.0446352220000108,0.04463648796081543,3273.0,2931.0,6.546,5.862,11.786,11.798
2,1000,5.0,5.0,0.2,0.0,10.093323722159138,0.4271529888551165,0.39032007275085373,0.4530040491175746,0.03301968099999897,0.03302001953125,3273.0,2931.0,6.546,5.862,11.164,11.114
3,1000,5.0,5.0,0.30000000000000004,0.0,8.653317669504718,0.4191464821222607,0.35764612187716105,0.41898413286984765,0.032837591000003385,0.03283834457397461,3273.0,2931.0,6.546,5.862,10.714,10.364
4,1000,5.0,5.0,0.4,0.0,6.865176802586519,0.4010666666666667,0.33053055761234834,0.405488059392043,0.03271283699999117,0.03271365165710449,3273.0,2931.0,6.546,5.862,10.166,9.742
5,1000,5.0,5.0,0.5,0.0,5.284949362514959,0.3718282368249837,0.28982594131614653,0.3906751808940911,0.031073294000009355,0.031073808670043945,3273.0,2931.0,6.546,5.862,9.494,9.062
6,1000,5.0,5.0,0.6000000000000001,0.0,4.676431667898162,0.35007974481658694,0.25871508661088216,0.3800871763573015,0.03142754399999603,0.031427860260009766,3273.0,2931.0,6.546,5.862,8.944,8.48
7,1000,5.0,5.0,0.7000000000000001,0.0,3.514565222769033,0.3219592735277931,0.20435172668657064,0.36849717965105755,0.03227107499999704,0.032271623611450195,3273.0,2931.0,6.546,5.862,8.258,7.784
8,1000,5.0,5.0,0.8,0.0,2.836678520576842,0.2967200610221205,0.17201553890081842,0.3460002759056645,0.029186005999989106,0.029186487197875977,3273.0,2931.0,6.546,5.862,7.822,7.208
9,1000,5.0,5.0,0.9,0.0,2.065844464654151,0.28401360544217685,0.10729864509933239,0.3246172895889644,0.028193426999990834,0.02819371223449707,3273.0,2931.0,6.546,5.862,7.128,6.456
10,1000,5.0,5.0,,,,,,,,,,,,,,
