,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
0,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
1,arxiv,2,6,0.1,0.8300870836934122,0.8778120192462427,0.9472316890632664,0.11524715000000185,0.11524772644042969
2,arxiv,2,6,0.2,0.8914909638554217,0.9417366596531749,0.9736425350677602,0.09733231100000239,0.09733319282531738
3,arxiv,2,6,0.30000000000000004,0.8952919989709287,0.9605838590056813,0.980853495084224,0.13990406300000302,0.13990473747253418
4,arxiv,2,6,0.4,0.9221193108256149,0.9722630086224827,0.9863739518748442,0.09509687199999917,0.09509754180908203
5,arxiv,2,6,0.5,0.9326562688913069,0.9747670651298195,0.9871394413432295,0.09170220599999368,0.09170246124267578
6,arxiv,2,6,0.6000000000000001,0.9413685616743358,0.9822070814312647,0.9911113617025217,0.09276222699999437,0.09276294708251953
7,arxiv,2,6,0.7000000000000001,0.9464461508170899,0.9835772180043899,0.9919905814509015,0.1566002689999948,0.1566014289855957
8,arxiv,2,6,0.8,0.9537727408291082,0.983795396769693,0.9918492740435654,0.1575935160000057,0.1575942039489746
9,arxiv,2,6,0.9,0.9540162980209546,0.9838925259138025,0.9922071770728231,0.14655606799999532,0.14655709266662598
10,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
11,arxiv,2,6,0.1,0.8301649334304829,0.8714270930583324,0.9467921157738161,0.14444313799999975,0.14444446563720703
12,arxiv,2,6,0.2,0.8896045536249251,0.9389277093088281,0.9713417246282402,0.10145777200000339,0.10145902633666992
13,arxiv,2,6,0.30000000000000004,0.8987037513949695,0.9645974473175117,0.9827426081201964,0.11531113899999923,0.11531209945678711
14,arxiv,2,6,0.4,0.9182226660009986,0.9736950976810447,0.9873994240916798,0.17058304399999713,0.17058420181274414
15,arxiv,2,6,0.5,0.9333888426311407,0.9768285611231341,0.9889011774462315,0.10912485400000094,0.10912585258483887
16,arxiv,2,6,0.6000000000000001,0.9403295235267923,0.9793405105857766,0.9895180817946092,0.10978163500000448,0.10978293418884277
17,arxiv,2,6,0.7000000000000001,0.9533129459734965,0.984293307315757,0.9918907440101976,0.10689788900000963,0.10689902305603027
18,arxiv,2,6,0.8,0.9512928442573662,0.9856530695574761,0.992775685657537,0.16898716000000036,0.16898775100708008
19,arxiv,2,6,0.9,0.9595782073813708,0.9901319582873429,0.9953472729524151,0.12505261999999107,0.12505340576171875
20,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
21,arxiv,2,6,0.1,0.8212361120351274,0.8724030238096734,0.9453443542526373,0.10167509299999722,0.10167622566223145
22,arxiv,2,6,0.2,0.8863992829935021,0.9383418950412198,0.9720207744557279,0.1506169639999939,0.1506178379058838
23,arxiv,2,6,0.30000000000000004,0.8984801912568307,0.9627022975040102,0.9821119023050855,0.10581735200000253,0.1058189868927002
24,arxiv,2,6,0.4,0.9203895191245859,0.9722069519807578,0.9862291174045318,0.10252509900000462,0.10252618789672852
25,arxiv,2,6,0.5,0.9371759315085011,0.9777410421413022,0.9892479825852094,0.15015561400001332,0.15015721321105957
26,arxiv,2,6,0.6000000000000001,0.941185296324081,0.9815000164580419,0.9906265633484787,0.12751949200000467,0.12752079963684082
27,arxiv,2,6,0.7000000000000001,0.9441117764471058,0.9823769916564367,0.9912084585138914,0.14442405200000508,0.144425630569458
28,arxiv,2,6,0.8,0.9530600118835413,0.985280866662571,0.993014146844788,0.16585766000000035,0.16585874557495117
29,arxiv,2,6,0.9,0.9507507507507508,0.9841364736224921,0.9928478079856837,0.18667992400000344,0.18668127059936523
30,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
31,arxiv,2,6,0.1,0.8297363702769108,0.8775024126778965,0.9457048727146697,0.10648028099998896,0.10648107528686523
32,arxiv,2,6,0.2,0.8838025539541483,0.9379112030799857,0.9712579081168426,0.1522826030000033,0.1522836685180664
33,arxiv,2,6,0.30000000000000004,0.8959306770877581,0.9590811589869439,0.980243809333543,0.11203550599999801,0.11203646659851074
