,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time,intercept,coefs
0,drosophila,1,2,-inf,-inf,-inf,-inf,inf,inf,,
1,drosophila,1,2,0.1,0.6941268191268192,0.348185171711166,0.8940084868716769,252.18066318899992,252.18066430091858,[0.99855667],[[ 6.01285341 -1.14868192  1.15553952]]
2,drosophila,1,2,0.2,0.8209828770436297,0.6416742663650371,0.9491457191951056,240.06093272999988,240.0609335899353,[-0.13072473],[[10.51071028 -0.59283191  0.61131868]]
3,drosophila,1,2,0.30000000000000004,0.8105339751483265,0.7439915328886354,0.965267590863741,231.23243117099992,231.23243236541748,[-0.69533724],[[11.64283625 -0.53899117  0.5549608 ]]
4,drosophila,1,2,0.4,0.8313735624757721,0.7814871589055971,0.9716838623431916,224.70316270400008,224.70316362380981,[-0.67629133],[[11.93032706 -0.53415294  0.54497372]]
5,drosophila,1,2,0.5,0.9081233369854438,0.8192760478590345,0.9776762081078034,217.64768289200038,217.64768409729004,[0.39192513],[[11.58602959 -0.48900583  0.47492899]]
6,drosophila,1,2,0.6000000000000001,0.94853515625,0.8712360292745314,0.982077168238243,208.89952698699926,208.89952850341797,[0.76034816],[[11.81697742 -0.44023153  0.40771771]]
7,drosophila,1,2,0.7000000000000001,0.9461292386436341,0.8803285903709919,0.9854397868918201,200.076602569,200.07660341262817,[0.35985918],[[11.90569897 -0.41742961  0.39954843]]
8,drosophila,1,2,0.8,0.9600542951328291,0.8976661957513475,0.9857525275058173,188.0610302039995,188.0610318183899,[0.86438077],[[11.54350493 -0.33054018  0.28680172]]
9,drosophila,1,2,0.9,0.9738485558157689,0.9393064918275003,0.9921728583170091,170.2886730500004,170.28867387771606,[0.81393882],[[10.10327982 -0.20959961  0.14961323]]
10,london,1,2,-inf,-inf,-inf,-inf,inf,inf,,
11,london,1,2,0.1,0.6498516320474778,0.34042204242291724,0.7197208370069221,9.039970599000299,9.039971113204956,[0.37027783],[[ 1.06732992 -0.78585479  0.97115386]]
12,london,1,2,0.2,0.6612903225806451,0.21208079268292682,0.6469111887181516,9.727490219000174,9.727490425109863,[4.01020416],[[ 2.40954273 -0.84892736  0.61908235]]
13,london,1,2,0.30000000000000004,0.8148148148148148,0.6182270233196159,0.8493186070079797,8.708898337999926,8.708898544311523,[-0.04206633],[[ 3.57485433 -0.16301208  0.2623812 ]]
14,london,1,2,0.4,0.8445378151260504,0.8023838698897181,0.9359194039584339,8.52605671999936,8.52605676651001,[-0.23522573],[[ 3.69160657 -0.09075582  0.23389895]]
15,london,1,2,0.5,0.9139784946236559,0.9468528931616179,0.986619404498795,8.01964084500014,8.019641399383545,[-0.05295714],[[ 4.08404069 -0.10200793  0.20821502]]
16,london,1,2,0.6000000000000001,0.9551282051282052,0.9743303571428571,0.9943375957349615,7.971063543999662,7.97106409072876,[0.7292036],[[ 4.28852428 -0.14431129  0.15804693]]
17,london,1,2,0.7000000000000001,0.9618320610687023,0.9810789049919485,0.9958013631534592,7.521656216999872,7.52165675163269,[0.51949205],[[ 4.30957367 -0.11298596  0.15242881]]
18,london,1,2,0.8,0.9487179487179487,0.9892952720785013,0.9967145206653709,6.446590454000216,6.446590900421143,[0.92566585],[[ 4.25880282 -0.05028431 -0.02432584]]
19,london,1,2,0.9,0.9166666666666666,0.9866071428571428,0.9962788659525113,5.634240422999937,5.6342408657073975,[0.52956333],[[ 4.17860334  0.03198439 -0.0697839 ]]
