,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,2,{'emb'},0.05,0.0,[1.94386094],0.39385474860335196,0.45019841269841265,0.7670325159616412
1,london,1,2,{'emb'},0.14,0.0,[3.3728069],0.19756838905775076,0.3053655660377359,0.6902133123973033
2,london,1,2,{'emb'},0.22999999999999998,0.0,[3.42975276],0.13937282229965156,0.19308740445330674,0.6764156023814074
3,london,1,2,{'emb'},0.32,0.0,[2.5504383],0.148,0.11990357404884185,0.6425104924605013
4,london,1,2,{'emb'},0.41,0.0,[2.68506252],0.19213973799126638,0.24106280193236712,0.6743228444405673
5,london,1,2,{'emb'},0.49999999999999994,0.0,[1.28236185],0.13131313131313133,0.1824013157894737,0.6515628558262042
6,london,1,2,{'emb'},0.5900000000000001,0.0,[0.20942637],0.17751479289940827,0.2103786816269285,0.6835546547234888
7,london,1,2,{'emb'},0.68,0.0,[-0.63131294],0.8130081300813008,0.774385408406027,0.9166613198772028
8,london,1,2,{'emb'},0.77,0.0,[-0.98477993],0.8170731707317073,0.7317708333333334,0.8962941667130809
9,london,1,2,{'emb'},0.86,0.0,[-1.59354229],0.7857142857142857,0.7090909090909091,0.8975670959558211
10,london,1,2,{'emb'},0.95,0.0,[-2.3515133],0.8461538461538461,0.75,0.9781080031080033
