,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,2,{'imb'},0.05,1.871801777934199,[0.],0.8044692737430168,0.5,0.9022346368715084
1,london,1,2,{'imb'},0.14,1.5040737902903323,[0.],0.8054711246200608,0.5,0.9027355623100304
2,london,1,2,{'imb'},0.22999999999999998,1.1298606919547693,[0.],0.8222996515679443,0.5,0.9111498257839721
3,london,1,2,{'imb'},0.32,1.3660912286121685,[0.],0.812,0.5,0.906
4,london,1,2,{'imb'},0.41,1.4663349420422285,[0.],0.8034934497816594,0.5,0.9017467248908297
5,london,1,2,{'imb'},0.49999999999999994,1.4223982713363341,[0.],0.8080808080808081,0.5,0.904040404040404
6,london,1,2,{'imb'},0.5900000000000001,1.3801775893794732,[0.],0.8165680473372781,0.5,0.908284023668639
7,london,1,2,{'imb'},0.68,1.4894785968045372,[0.],0.7886178861788617,0.5,0.8943089430894309
8,london,1,2,{'imb'},0.77,1.4790760941370085,[0.],0.7804878048780488,0.5,0.8902439024390244
9,london,1,2,{'imb'},0.86,1.434302262486591,[0.],0.8035714285714286,0.5,0.9017857142857143
10,london,1,2,{'imb'},0.95,1.4037460006354197,[0.],0.9230769230769231,0.5,0.9615384615384616
11,london,1,2,{'emb'},0.05,3.4050842901043654,[-1.5576482],0.776536312849162,0.3943452380952381,0.7423324257880699
12,london,1,2,{'emb'},0.14,4.340559340085159,[-2.3694433],0.6869300911854104,0.29675707547169816,0.6908392401181375
13,london,1,2,{'emb'},0.22999999999999998,1.691928049842693e-15,[2.06169891e-07],0.8222996515679443,0.8489531405782652,0.9538336680229429
14,london,1,2,{'emb'},0.32,1.950879974180052,[8.17702144e-09],0.812,0.851483073053139,0.9544750679318333
15,london,1,2,{'emb'},0.41,3.8199554113107144e-07,[7.71690726e-09],0.8034934497816594,0.7619565217391305,0.9129116291546306
16,london,1,2,{'emb'},0.49999999999999994,6.068440882800775e-16,[2.05879201e-07],0.8080808080808081,0.856578947368421,0.9476571384646806
17,london,1,2,{'emb'},0.5900000000000001,3.7026113455377883e-16,[2.05896273e-07],0.8165680473372781,0.7671809256661991,0.929454615638335
18,london,1,2,{'emb'},0.68,2.299753757266133e-16,[2.05596187e-07],0.7886178861788617,0.7509912767644726,0.9152771769709453
19,london,1,2,{'emb'},0.77,1.4315090806309072e-16,[2.05543272e-07],0.7804878048780488,0.6901041666666667,0.8746977017099175
20,london,1,2,{'emb'},0.86,1.0250511441918569e-09,[2.02435791e-07],0.8035714285714286,0.7353535353535353,0.9083241433802958
21,london,1,2,{'emb'},0.95,6.517182326654343e-17,[2.0549865e-07],0.9230769230769231,0.3333333333333333,0.9201384263884264
22,london,1,2,{'deg'},0.05,1.4040121837482074,[1.39820551],0.8044692737430168,0.5847718253968254,0.8961922424849399
23,london,1,2,{'deg'},0.14,0.9417807602261664,[2.81556367],0.8145896656534954,0.6972877358490566,0.9256204967128008
24,london,1,2,{'deg'},0.22999999999999998,0.6993902246674857,[3.59984008],0.9059233449477352,0.8502409438351611,0.9570634579848118
25,london,1,2,{'deg'},0.32,0.7848585030845193,[3.88693528],0.9,0.9021066974111729,0.9744678766061553
26,london,1,2,{'deg'},0.41,0.9800089722818588,[3.89005173],0.8908296943231441,0.9321859903381642,0.9814624759409954
27,london,1,2,{'deg'},0.49999999999999994,0.6889761554341568,[4.02903939],0.9141414141414141,0.9624177631578947,0.9908164939747571
28,london,1,2,{'deg'},0.5900000000000001,0.7201879025453524,[4.18543639],0.9349112426035503,0.9621318373071528,0.9913218566139991
29,london,1,2,{'deg'},0.68,0.7809178763797581,[4.12604614],0.9186991869918699,0.9583663758921491,0.9879548719299653
30,london,1,2,{'deg'},0.77,0.3853874638755936,[4.22179342],0.9878048780487805,1.0,1.0
31,london,1,2,{'deg'},0.86,0.5146683047953174,[4.21518321],0.9464285714285714,0.9868686868686869,0.9967736170713603
32,london,1,2,{'deg'},0.95,0.5817620414981612,[4.24438566],1.0,1.0,1.0
33,london,1,2,"{'imb', 'emb'}",0.05,3.526510765752425,[-1.53344485],0.7737430167597765,0.3914186507936508,0.7513900297086111
34,london,1,2,"{'imb', 'emb'}",0.14,4.439904392213172,[-2.3165961],0.6990881458966566,0.2714033018867924,0.687581047295673
35,london,1,2,"{'imb', 'emb'}",0.22999999999999998,1.688326262356046e-15,[2.06168805e-07],0.8222996515679443,0.8704719175805915,0.962014557745659
36,london,1,2,"{'imb', 'emb'}",0.32,2.0481664355364054e-07,[8.95431163e-09],0.812,0.8920448590294517,0.9711343754080002
37,london,1,2,"{'imb', 'emb'}",0.41,8.604496785723542e-16,[2.05859617e-07],0.8034934497816594,0.7428743961352657,0.8944447209033708
38,london,1,2,"{'imb', 'emb'}",0.49999999999999994,6.102873379406356e-16,[2.05882227e-07],0.8080808080808081,0.824013157894737,0.9411267916202801
39,london,1,2,"{'imb', 'emb'}",0.5900000000000001,3.851988335787201e-16,[2.05918465e-07],0.8165680473372781,0.8006077606358111,0.9421119033633587
40,london,1,2,"{'imb', 'emb'}",0.68,2.336936444111396e-16,[2.05605205e-07],0.7886178861788617,0.7371134020618556,0.9063726761678385
41,london,1,2,"{'imb', 'emb'}",0.77,1.4769944362541307e-16,[2.05559316e-07],0.7804878048780488,0.6354166666666666,0.8613294061008676
42,london,1,2,"{'imb', 'emb'}",0.86,9.502171647560786e-17,[2.05526533e-07],0.8035714285714286,0.7414141414141415,0.9044375660319677
43,london,1,2,"{'imb', 'emb'}",0.95,6.468969922321768e-17,[2.05188603e-07],0.9230769230769231,0.6666666666666666,0.9693117068117069
44,london,1,2,"{'imb', 'deg'}",0.05,1.4040121837482074,[1.39820551],0.8044692737430168,0.5847718253968254,0.8961922424849399
