,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,arxiv,2,6,{'imb'},0.05,1.0092265526523263,[0.],0.712672680249795,0.5,0.8563363401248976,-9.0
1,arxiv,2,6,{'imb'},0.05,1.0223558306203706,[0.],0.7125378405650857,0.5,0.8562689202825429,-9.0
2,arxiv,2,6,{'imb'},0.05,0.9797224551739846,[0.],0.7130177514792899,0.5,0.856508875739645,-9.0
3,arxiv,2,6,{'imb'},0.05,0.963139827410365,[0.],0.7132084956641951,0.5,0.8566042478320975,-9.0
4,arxiv,2,6,{'imb'},0.05,0.9003974655536576,[0.],0.7138539042821158,0.5,0.8569269521410579,-9.0
5,arxiv,2,6,{'imb'},0.05,1.0231885106865055,[0.],0.7124897340324721,0.5,0.856244867016236,-9.0
6,arxiv,2,6,{'imb'},0.05,0.9388417696714165,[0.],0.7134502923976608,0.5,0.8567251461988303,-9.0
7,arxiv,2,6,{'imb'},0.05,0.8818328520458648,[0.],0.7140606289783828,0.5,0.8570303144891914,-9.0
8,arxiv,2,6,{'imb'},0.05,0.8695209973145602,[0.],0.7142314990512334,0.5,0.8571157495256168,-9.0
9,arxiv,2,6,{'imb'},0.05,1.101956773197284,[0.],0.7118622769540085,0.5,0.8559311384770043,-9.0
10,arxiv,2,6,{'imb'},0.14,0.8905281830135983,[0.],0.7144949776785714,0.5,0.8572474888392857,-9.0
11,arxiv,2,6,{'imb'},0.14,0.8205921276047429,[0.],0.7168930686172066,0.5,0.8584465343086033,-9.0
12,arxiv,2,6,{'imb'},0.14,0.9409835369201183,[0.],0.7128051749321833,0.5,0.8564025874660917,-9.0
13,arxiv,2,6,{'imb'},0.14,0.8741545983477791,[0.],0.715052638917939,0.5,0.8575263194589695,-9.0
14,arxiv,2,6,{'imb'},0.14,0.9302024554339362,[0.],0.7131501882582625,0.5,0.8565750941291312,-9.0
15,arxiv,2,6,{'imb'},0.14,0.9470069299657708,[0.],0.7126060943369974,0.5,0.8563030471684987,-9.0
16,arxiv,2,6,{'imb'},0.14,0.9649325836387564,[0.],0.7120316952804615,0.5,0.8560158476402308,-9.0
17,arxiv,2,6,{'imb'},0.14,0.9214212697781864,[0.],0.7134519177320734,0.5,0.8567259588660368,-9.0
18,arxiv,2,6,{'imb'},0.14,0.8377838282504751,[0.],0.7162180910099889,0.5,0.8581090455049944,-9.0
19,arxiv,2,6,{'imb'},0.14,0.8645342959997948,[0.],0.715326441407063,0.5,0.8576632207035315,-9.0
20,arxiv,2,6,{'imb'},0.22999999999999998,0.8829632244469063,[0.],0.7156235367566723,0.5,0.8578117683783362,-9.0
21,arxiv,2,6,{'imb'},0.22999999999999998,0.9578179939073788,[0.],0.711033411033411,0.5,0.8555167055167054,-9.0
22,arxiv,2,6,{'imb'},0.22999999999999998,0.8860270743164974,[0.],0.7153691379043492,0.5,0.8576845689521746,-9.0
23,arxiv,2,6,{'imb'},0.22999999999999998,0.9654023273016084,[0.],0.7106685193762544,0.5,0.8553342596881273,-9.0
24,arxiv,2,6,{'imb'},0.22999999999999998,0.9091680645910564,[0.],0.7139753239698922,0.5,0.8569876619849461,-9.0
25,arxiv,2,6,{'imb'},0.22999999999999998,0.9441961765353012,[0.],0.7119192541798289,0.5,0.8559596270899145,-9.0
26,arxiv,2,6,{'imb'},0.22999999999999998,0.8579582738280618,[0.],0.7170965992718259,0.5,0.858548299635913,-9.0
27,arxiv,2,6,{'imb'},0.22999999999999998,0.9058042861507104,[0.],0.7141856664850984,0.5,0.8570928332425491,-9.0
28,arxiv,2,6,{'imb'},0.22999999999999998,0.839336629454668,[0.],0.7182748991622712,0.5,0.8591374495811356,-9.0
29,arxiv,2,6,{'imb'},0.22999999999999998,0.9479697960661354,[0.],0.7116206762534008,0.5,0.8558103381267004,-9.0
30,arxiv,2,6,{'imb'},0.32,0.9437290694585895,[0.],0.7107708646782901,0.5,0.855385432339145,-9.0
31,arxiv,2,6,{'imb'},0.32,0.9428604438807789,[0.],0.7109237794169301,0.5,0.855461889708465,-9.0
32,arxiv,2,6,{'imb'},0.32,0.9224761829460024,[0.],0.7128556375131717,0.5,0.8564278187565859,-9.0
33,arxiv,2,6,{'imb'},0.32,0.8589175837394938,[0.],0.71900826446281,0.5,0.859504132231405,-9.0
34,arxiv,2,6,{'imb'},0.32,0.9011507925087532,[0.],0.7149014778325123,0.5,0.8574507389162562,-9.0
35,arxiv,2,6,{'imb'},0.32,0.9364345351874834,[0.],0.711543518275046,0.5,0.855771759137523,-9.0
36,arxiv,2,6,{'imb'},0.32,0.8752586755038508,[0.],0.7174662072621256,0.5,0.8587331036310628,-9.0
37,arxiv,2,6,{'imb'},0.32,0.9048560958888068,[0.],0.7145502645502646,0.5,0.8572751322751323,-9.0
38,arxiv,2,6,{'imb'},0.32,0.9257571839585172,[0.],0.712516585581601,0.5,0.8562582927908005,-9.0
39,arxiv,2,6,{'imb'},0.32,0.9237794002099929,[0.],0.7127539011420103,0.5,0.8563769505710052,-9.0
40,arxiv,2,6,{'imb'},0.41,0.8933831382357803,[0.],0.7165721231766613,0.5,0.8582860615883307,-9.0
41,arxiv,2,6,{'imb'},0.41,0.9208884411398677,[0.],0.7126623376623377,0.5,0.8563311688311688,-9.0
42,arxiv,2,6,{'imb'},0.41,0.8935890902491842,[0.],0.7165434099888562,0.5,0.8582717049944282,-9.0
