,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,celegans,1,2,{'imb'},0.05,-0.8842035552981479,[0.],0.6538461538461539,0.5,0.6730769230769231,-9.0
1,celegans,1,2,{'imb'},0.05,-0.7137664696936056,[0.],0.6558558558558558,0.5,0.6720720720720721,-9.0
2,celegans,1,2,{'imb'},0.05,-0.6109090854581761,[0.],0.6572187776793623,0.5,0.6713906111603188,-9.0
3,celegans,1,2,{'imb'},0.05,-0.4643056075422512,[0.],0.6589698046181173,0.5,0.6705150976909414,-9.0
4,celegans,1,2,{'imb'},0.05,-0.24512245237781513,[0.],0.660245183887916,0.5,0.669877408056042,-9.0
5,celegans,1,2,{'imb'},0.05,-0.42121346146104816,[0.],0.6592920353982301,0.5,0.6703539823008849,-9.0
6,celegans,1,2,{'imb'},0.05,-0.7357067965679902,[0.],0.6555755395683454,0.5,0.6722122302158273,-9.0
7,celegans,1,2,{'imb'},0.05,-0.8109337291136863,[0.],0.6547406082289803,0.5,0.6726296958855098,-9.0
8,celegans,1,2,{'imb'},0.05,-0.6931551864204061,[0.],0.6563604240282686,0.5,0.6718197879858657,-9.0
9,celegans,1,2,{'imb'},0.05,-1.0788088843044095,[0.],0.6514336917562724,0.5,0.6742831541218638,-9.0
10,celegans,1,2,{'imb'},0.14,-0.7111656880337637,[0.],0.6545275590551181,0.5,0.672736220472441,-9.0
11,celegans,1,2,{'imb'},0.14,-0.30616687903074524,[0.],0.6692682926829269,0.5,0.6653658536585366,-9.0
12,celegans,1,2,{'imb'},0.14,-0.7525706023619986,[0.],0.6533980582524271,0.5,0.6733009708737864,-9.0
13,celegans,1,2,{'imb'},0.14,-0.5405675961217282,[0.],0.6602502406159769,0.5,0.6698748796920115,-9.0
14,celegans,1,2,{'imb'},0.14,-0.47409361429649705,[0.],0.6630859375,0.5,0.66845703125,-9.0
15,celegans,1,2,{'imb'},0.14,-0.7884573611957867,[0.],0.6520039100684262,0.5,0.673998044965787,-9.0
16,celegans,1,2,{'imb'},0.14,-0.6229429249431976,[0.],0.6577909270216963,0.5,0.6711045364891519,-9.0
17,celegans,1,2,{'imb'},0.14,-0.5574813186263128,[0.],0.6606606606606606,0.5,0.6696696696696697,-9.0
18,celegans,1,2,{'imb'},0.14,-0.49062546489663594,[0.],0.6624390243902439,0.5,0.6687804878048781,-9.0
19,celegans,1,2,{'imb'},0.14,-0.5375830760773684,[0.],0.6608015640273704,0.5,0.6695992179863147,-9.0
20,celegans,1,2,{'imb'},0.22999999999999998,-0.9895935522894014,[0.],0.6362649294245385,0.5,0.6818675352877307,-9.0
21,celegans,1,2,{'imb'},0.22999999999999998,-0.7112745671219617,[0.],0.6531049250535332,0.5,0.6734475374732334,-9.0
22,celegans,1,2,{'imb'},0.22999999999999998,-0.60406755367665,[0.],0.6595289079229122,0.5,0.6702355460385439,-9.0
23,celegans,1,2,{'imb'},0.22999999999999998,-0.7228229504960891,[0.],0.6523143164693218,0.5,0.673842841765339,-9.0
24,celegans,1,2,{'imb'},0.22999999999999998,-0.9422663994171389,[0.],0.6381578947368421,0.5,0.680921052631579,-9.0
