accuracy,auroc,pr,method,theta,mu
0.6364414833070521,0.6895269179364569,0.6814792715508209,ISOMAP,0.05,0.1
0.6269158741617233,0.6761521190417032,0.6655228643068465,ISOMAP,0.05,0.2
0.6264220106176793,0.6760323006482892,0.6638312592326815,ISOMAP,0.05,0.2
0.6297073544379506,0.6796100486037552,0.6651315277261861,ISOMAP,0.05,0.2
0.6253728219350112,0.6732895475313331,0.6623817761487274,ISOMAP,0.05,0.2
0.6280561962675614,0.6784668155244168,0.6670336568087708,ISOMAP,0.05,0.2
0.6382044680242387,0.6917171349334499,0.679835049012026,ISOMAP,0.05,0.2
0.6220594315519417,0.6683922539755691,0.6544042921246482,ISOMAP,0.05,0.2
0.6314939093611561,0.6819218222360116,0.6689276314503718,ISOMAP,0.05,0.2
0.6268513490000475,0.6773388069650317,0.668275095993429,ISOMAP,0.05,0.2
0.6234493466166386,0.6712898007710972,0.6582067567804899,ISOMAP,0.05,0.2
0.6252776754224352,0.6741001481263548,0.660992636945181,ISOMAP,0.05,0.3
0.6238885174441561,0.6698427465626999,0.6545023821792331,ISOMAP,0.05,0.3
0.6262356568449827,0.6744962926555176,0.6593947213295243,ISOMAP,0.05,0.3
0.6209124903403817,0.666070316852799,0.6514745492539131,ISOMAP,0.05,0.3
0.6308359100399059,0.6797643226029692,0.6630936746461589,ISOMAP,0.05,0.3
0.618628765720199,0.6625304804148363,0.6481016345680038,ISOMAP,0.05,0.3
0.6246813277704198,0.6722353666059468,0.6584843636838359,ISOMAP,0.05,0.3
0.6281226642524028,0.6769191854182104,0.6631349099910508,ISOMAP,0.05,0.3
0.6279640661538298,0.6769529800354562,0.6638793088761674,ISOMAP,0.05,0.3
0.6195322320221734,0.6635543369385538,0.6482654339878797,ISOMAP,0.05,0.3
0.6228595440697552,0.667611069548379,0.6506052061788761,ISOMAP,0.05,0.4
0.6181785441911702,0.6598107841624457,0.6438959989270497,ISOMAP,0.05,0.4
0.6200475394145921,0.665099938118252,0.64859165431945,ISOMAP,0.05,0.4
0.6274330756595348,0.6726791788731252,0.655854089562964,ISOMAP,0.05,0.4
0.6189667769802725,0.662552294016542,0.6453564645385849,ISOMAP,0.05,0.4
0.6270479408482725,0.6725921224450309,0.6550980595501164,ISOMAP,0.05,0.4
0.6229425533834746,0.6690265722972261,0.6533412357277231,ISOMAP,0.05,0.4
0.6188112831986219,0.6637208865043613,0.6479916888858052,ISOMAP,0.05,0.4
0.6254351950299164,0.6710595284004854,0.6546319587744367,ISOMAP,0.05,0.4
0.6233792983252969,0.6685952274105864,0.6516025831788235,ISOMAP,0.05,0.4
0.621271689813093,0.6645316583176063,0.6468702788741075,ISOMAP,0.05,0.5
0.6205247966413014,0.6630975007882433,0.6459445444337903,ISOMAP,0.05,0.5
