accuracy,auroc,pr,method,theta,mu
0.6746474099950468,0.7435186238304574,0.7406571247190357,N2V,0.05,0.1
0.6624399736354791,0.7280538170213211,0.7248365940411049,N2V,0.05,0.2
0.6552203589786804,0.7186288241396962,0.7154023944054578,N2V,0.05,0.2
0.6629801790080061,0.7293715235211149,0.7241409655233227,N2V,0.05,0.2
0.6576212652399142,0.7217569760770597,0.7198243823587503,N2V,0.05,0.2
0.6606521283287901,0.7268555405760819,0.7245934187492719,N2V,0.05,0.2
0.6652882889911835,0.732350009380385,0.7276297767469926,N2V,0.05,0.2
0.6601980344970158,0.725932013645204,0.7221102381239068,N2V,0.05,0.2
0.6624830375576195,0.7267832491766469,0.7209379560520147,N2V,0.05,0.2
0.6566996556978577,0.7211393885435426,0.718464525308506,N2V,0.05,0.2
0.6648363307025489,0.7309286084566569,0.7260853350139351,N2V,0.05,0.2
0.6500552718850344,0.7105904694568861,0.7066170613331741,N2V,0.05,0.3
0.6429094125265202,0.7026350178575699,0.6991707120174459,N2V,0.05,0.3
0.6520771749149741,0.714295573444252,0.7090212710789138,N2V,0.05,0.3
0.6454751494971812,0.7063964529638428,0.7018837985998924,N2V,0.05,0.3
0.6529030894051111,0.7152067513333347,0.7101300875182628,N2V,0.05,0.3
0.6485591797514334,0.7079748921691766,0.7024991849777765,N2V,0.05,0.3
0.6513529501065295,0.7149379921248542,0.7109403034486134,N2V,0.05,0.3
0.6544567380067585,0.7170808297804822,0.7129281941024566,N2V,0.05,0.3
0.6549091601680299,0.7176699080007566,0.7144428086467238,N2V,0.05,0.3
0.6458185413675402,0.7065287672619893,0.7014296270021464,N2V,0.05,0.3
0.6348828658472528,0.6901472737021254,0.686086636318532,N2V,0.05,0.4
0.6337121854080162,0.6893430607357831,0.6834842714887139,N2V,0.05,0.4
0.634393504349015,0.6888833069912712,0.6823546707048899,N2V,0.05,0.4
0.6358035381603875,0.6920126215009509,0.6860895414573559,N2V,0.05,0.4
0.6332036790303864,0.6868877736086271,0.6812514486773286,N2V,0.05,0.4
0.6374558082783218,0.6939410807911777,0.687654882086946,N2V,0.05,0.4
0.6288554731662783,0.6834353059906042,0.680067609898566,N2V,0.05,0.4
0.6374135404685752,0.6918308604424621,0.6857394205436532,N2V,0.05,0.4
0.6340661287968812,0.6914786892535564,0.6846185918901471,N2V,0.05,0.4
0.6351671798338501,0.6912162712771313,0.6842989225778876,N2V,0.05,0.4
0.6170373282613084,0.6671172279731057,0.6608653110274877,N2V,0.05,0.5
0.6188769351876148,0.6694302782741273,0.662230151014228,N2V,0.05,0.5
0.6160160857908847,0.6649028113192037,0.6559455607984652,N2V,0.05,0.5
0.6260717437901904,0.677602556178104,0.6693479575502203,N2V,0.05,0.5
0.612776558013849,0.6617165654368663,0.6536415194543483,N2V,0.05,0.5
0.6224868995177353,0.6729690185978957,0.6659604402747715,N2V,0.05,0.5
0.6269051134005453,0.6773123895438038,0.6690747999630475,N2V,0.05,0.5
0.6202763256161314,0.6673287144615084,0.6600426190891667,N2V,0.05,0.5
0.6220503730660434,0.6709267418884024,0.6620170945213851,N2V,0.05,0.5
0.617658440904392,0.667568273504448,0.6615238198135158,N2V,0.05,0.5
0.8192946577872554,0.9062853243366171,0.9082152819141388,N2V,0.15,0.1
0.7969538109471325,0.8871894796893744,0.8891505824182826,N2V,0.15,0.2
0.7919950057128049,0.8813405760247432,0.8843830913697829,N2V,0.15,0.2
0.7963056412904437,0.8852449321501918,0.8879342621682177,N2V,0.15,0.2
0.7898166982301091,0.8797125758298582,0.8825508826252484,N2V,0.15,0.2
0.7919596167569402,0.8809711877365689,0.8835903740613857,N2V,0.15,0.2
0.7963253495101628,0.8859235469702254,0.8886118293972496,N2V,0.15,0.2
0.7926770715399252,0.881571108193506,0.8842393752973758,N2V,0.15,0.2
0.7940233089768505,0.8838485874344446,0.8869206072962658,N2V,0.15,0.2
0.792161099500549,0.88166047666444,0.8844023771314695,N2V,0.15,0.2
0.78997518324003,0.8796793258557541,0.8822796724306634,N2V,0.15,0.2
0.7622264157598632,0.8511701242371751,0.8541421397192211,N2V,0.15,0.3
0.7627431007377662,0.852182546976963,0.8552906295017142,N2V,0.15,0.3
0.7622211198903968,0.8508657814827557,0.8545042169044215,N2V,0.15,0.3
0.7650451891916961,0.8542631538814269,0.8571280542239919,N2V,0.15,0.3
0.763581857023145,0.8521567979562161,0.855753608689574,N2V,0.15,0.3
0.7617563187445757,0.8498434486878708,0.8520425052534246,N2V,0.15,0.3
0.7618361237387737,0.8516328901678922,0.8542730760240036,N2V,0.15,0.3
0.7635944781706736,0.8515406673723582,0.8537451139666703,N2V,0.15,0.3
0.76414241394593,0.8520504144846398,0.854472655339874,N2V,0.15,0.3
