accuracy,auroc,pr,method,theta,system
0.5472922252010723,0.7365746807536951,0.8210931316808815,ISOMAP,0.05,arxiv
0.38852749852158486,0.7180521710285857,0.9255163421396932,ISOMAP,0.05,arxiv
0.4386411419718933,0.7002676160331792,0.8587880194440306,ISOMAP,0.05,arxiv
0.6853312302839116,0.5268150181699796,0.3205268366577395,ISOMAP,0.05,celegans
0.8234117058529264,0.5163147487167877,0.17671207133149044,ISOMAP,0.05,celegans
0.8745192307692308,0.5133805470789368,0.11597299371822196,ISOMAP,0.05,celegans
0.5746546989630723,0.7450676659099452,0.9675386321396645,ISOMAP,0.05,drosophila
0.4123014391771391,0.7251821060712685,0.9732694210533613,ISOMAP,0.05,drosophila
0.5376458112407211,0.556234425843198,0.5164874283368319,ISOMAP,0.05,drosophila
0.30193905817174516,0.6806715144986085,0.8918978406120888,ISOMAP,0.05,london
0.8746268656716418,0.6511531441845031,0.9218587927689533,ISOMAP,0.05,london
0.48760330578512395,0.5498819362455726,0.7454803813207113,ISOMAP,0.05,london
0.6654048618915243,0.8540368515044743,0.8953768908776861,ISOMAP,0.15,arxiv
0.6122285963256118,0.8442384505049554,0.9581986603925475,ISOMAP,0.15,arxiv
0.6243046112003956,0.8721464623795634,0.9392192691830178,ISOMAP,0.15,arxiv
0.6904761904761905,0.578972303206997,0.3924814246561844,ISOMAP,0.15,celegans
0.7912026726057907,0.5282602974075536,0.19382963973595196,ISOMAP,0.15,celegans
0.8791208791208791,0.5562372300761652,0.13530328077306208,ISOMAP,0.15,celegans
0.827155427894041,0.8924828177057842,0.9876064332438769,ISOMAP,0.15,drosophila
0.7656874593288091,0.8502612433134128,0.9857700601264161,ISOMAP,0.15,drosophila
0.5543693159351523,0.5898509937318164,0.5238649694341759,ISOMAP,0.15,drosophila
0.45288753799392095,0.6784567636986302,0.8896648989103878,ISOMAP,0.15,london
0.8888888888888888,0.8158306488725264,0.9683082180751152,ISOMAP,0.15,london
0.5391304347826087,0.6947923533289387,0.8390257004479765,ISOMAP,0.15,london
0.5997183891861447,0.8113342297171091,0.8691019588069459,ISOMAP,0.1,arxiv
0.518054786939679,0.7968075980090593,0.946626980196037,ISOMAP,0.1,arxiv
0.5370975268315445,0.8124477741700786,0.9125305936975121,ISOMAP,0.1,arxiv
0.70042194092827,0.5426121202704802,0.3549168830574705,ISOMAP,0.1,celegans
0.8132561809573908,0.5566216522246987,0.2263073976056881,ISOMAP,0.1,celegans
0.8646353646353646,0.5200453455543953,0.11748453876160378,ISOMAP,0.1,celegans
0.7518352189308231,0.8325941753081558,0.9805063387960408,ISOMAP,0.1,drosophila
0.7352838275168372,0.8159014016554,0.9815951745918935,ISOMAP,0.1,drosophila
0.5402896398069068,0.5760642906686345,0.525722071381964,ISOMAP,0.1,drosophila
0.3684210526315789,0.6736656098955356,0.8934937610834657,ISOMAP,0.1,london
0.8885448916408669,0.8240282685512367,0.9679512730512969,ISOMAP,0.1,london
0.4214876033057851,0.6580202742993441,0.7520908214751285,ISOMAP,0.1,london
0.7303623380058185,0.8963581490956781,0.923251592387224,ISOMAP,0.25,arxiv
0.7148804179250673,0.8892972850516603,0.9690620356838009,ISOMAP,0.25,arxiv
0.7293807275756734,0.9085538077142128,0.9499043841954882,ISOMAP,0.25,arxiv
0.6906187624750499,0.5813320012064546,0.4016507799151614,ISOMAP,0.25,celegans
0.7876668785759695,0.5944625784197977,0.22402869776629095,ISOMAP,0.25,celegans
0.8770022883295194,0.5885496037793355,0.14478789569981623,ISOMAP,0.25,celegans
0.8841369384188342,0.9092994861332824,0.9888504105090279,ISOMAP,0.25,drosophila
0.861160480920021,0.9032819391797569,0.9902252787902811,ISOMAP,0.25,drosophila
0.562887511071745,0.5881494892634642,0.5175172290905348,ISOMAP,0.25,drosophila
0.7580071174377224,0.9346865506766087,0.9772150002490858,ISOMAP,0.25,london
0.8481481481481481,0.9027777777777779,0.9837132731100766,ISOMAP,0.25,london
0.4948453608247423,0.483942908117752,0.6734891459988966,ISOMAP,0.25,london
0.7217511462847811,0.8867742974125308,0.9205160511158637,ISOMAP,0.2,arxiv
0.6713016608729239,0.870423849754538,0.9653468171114826,ISOMAP,0.2,arxiv
0.6825480389576204,0.9024070048184745,0.9529185648388149,ISOMAP,0.2,arxiv
0.6839708561020036,0.6077500820574209,0.4035822796688257,ISOMAP,0.2,celegans
0.793418647166362,0.5566148106861214,0.2072797396517026,ISOMAP,0.2,celegans
0.8701949860724234,0.5566430243608465,0.14291507834827324,ISOMAP,0.2,celegans
0.8760985031385804,0.8973984036092313,0.9876934848546536,ISOMAP,0.2,drosophila
0.8277050310130944,0.8932872297549235,0.9893684390445109,ISOMAP,0.2,drosophila
0.5675453047775947,0.5947698737614704,0.5323562756695124,ISOMAP,0.2,drosophila
0.4774193548387097,0.889344262295082,0.9668330654320281,ISOMAP,0.2,london
0.8958333333333334,0.8905997631097232,0.9820559665448232,ISOMAP,0.2,london
0.41836734693877553,0.5549242424242424,0.7677777239341095,ISOMAP,0.2,london
0.7958032490974729,0.9222378191504425,0.9392655059121986,ISOMAP,0.35,arxiv
0.7952533433791674,0.9271276616175448,0.9800708981494423,ISOMAP,0.35,arxiv
0.8210862619808307,0.9436315977747352,0.9715862646434597,ISOMAP,0.35,arxiv
0.6783754116355654,0.5793000103344931,0.36377044276458304,ISOMAP,0.35,celegans
0.7608695652173914,0.5776408590972726,0.24324871108137963,ISOMAP,0.35,celegans
