,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,celegans,1,2,"{'emb', 'imb'}",0.05,-1.218089733360576,[-2136.868195185307],0.5930232558139535,0.4821672188657182,0.3335697986601983,-1.0
1,celegans,1,2,"{'emb', 'imb'}",0.1,-1.0663990831697587,[-1838.6470743347888],0.5656660412757973,0.5313269599953461,0.36689311268390246,-1.0
2,celegans,1,2,"{'emb', 'imb'}",0.15,-0.6675868758377362,[-1413.4365519447751],0.6035502958579881,0.557263459360106,0.3872019335453023,-1.0
3,celegans,1,2,"{'emb', 'imb'}",0.2,-0.41416512271194494,[-1046.8168249665785],0.5151515151515151,0.5388233580894131,0.37550154194206575,-1.0
4,celegans,1,2,"{'emb', 'imb'}",0.25,-0.38495755082097477,[-1340.682689282882],0.5413450937155457,0.5319511054560482,0.36633966638232585,-1.0
5,celegans,1,2,"{'emb', 'imb'}",0.3,-0.7299650389596153,[-1103.5830347525648],0.5776986951364176,0.5579631635969664,0.37460019061411354,-1.0
6,celegans,1,2,"{'emb', 'imb'}",0.35,-0.44989682423990135,[-1031.9766832249209],0.5876010781671159,0.5825079738123217,0.40236473178076754,-1.0
7,celegans,1,2,"{'emb', 'imb'}",0.39999999999999997,-0.8750876416240457,[-787.3395977712331],0.5822959889349931,0.5683844477962126,0.39037191897598306,-1.0
8,celegans,1,2,"{'emb', 'imb'}",0.44999999999999996,-0.6450027394453977,[-802.2493774945414],0.5846153846153846,0.5420127912960376,0.37441754980997166,-1.0
9,celegans,1,2,"{'emb', 'imb'}",0.49999999999999994,-0.9279293499821476,[-750.3845772073663],0.576068376068376,0.5556777829241933,0.4014011070086686,-1.0
10,celegans,1,2,"{'emb', 'imb'}",0.5499999999999999,-0.4845957891820814,[-713.3810934518035],0.5679702048417132,0.5518206829584075,0.3646345182316274,-1.0
11,celegans,1,2,"{'emb', 'imb'}",0.6,-0.8122261583554974,[-701.0429574776002],0.5502283105022832,0.5358539765319427,0.36059609887485217,-1.0
12,celegans,1,2,"{'emb', 'imb'}",0.65,-0.6747852828034704,[-589.6922153153922],0.5555555555555556,0.5578479519328376,0.33793241028714693,-1.0
13,celegans,1,2,"{'emb', 'imb'}",0.7,-0.7228052971756594,[-600.0513960566128],0.5224719101123596,0.5013771186440679,0.32883043028280995,-1.0
14,celegans,1,2,"{'emb', 'imb'}",0.75,-0.889068674077074,[-523.3973619889273],0.5467625899280576,0.5487453722747839,0.3447694049380179,-1.0
15,celegans,1,2,"{'emb', 'imb'}",0.7999999999999999,-0.4939463278434201,[-153.70373911460356],0.604,0.5206899104300836,0.3270785258626939,-1.0
16,celegans,1,2,"{'emb', 'imb'}",0.85,-0.7390432886086339,[-473.1022512966824],0.4970414201183432,0.4813559322033899,0.3338922979704827,-1.0
17,celegans,1,2,"{'emb', 'imb'}",0.9,-0.5531845283619595,[-384.6667154995877],0.47959183673469385,0.4727514399645547,0.37922904269664653,-1.0
18,celegans,1,2,"{'emb', 'imb'}",0.95,-0.48263370058725497,[-178.5024112694379],0.4772727272727273,0.4294117647058824,0.18759220390023817,-1.0
19,celegans,1,2,"{'deg', 'imb'}",0.05,2.844032479524164,[126.94681865230213],0.49552772808586765,0.5451019648836838,0.3759219504187464,-1.0
20,celegans,1,2,"{'deg', 'imb'}",0.1,1.5565820788675642,[44.82066754302912],0.5487804878048781,0.5655044697395722,0.39151431376593315,-1.0
21,celegans,1,2,"{'deg', 'imb'}",0.15,0.5659778312737547,[25.937255654843486],0.621301775147929,0.5910577272435829,0.41755664571047213,-1.0
22,celegans,1,2,"{'deg', 'imb'}",0.2,0.8776925173922636,[20.010090832326767],0.5768025078369906,0.6054706082229018,0.4155206433371951,-1.0
23,celegans,1,2,"{'deg', 'imb'}",0.25,0.4210541575712808,[18.080224427442385],0.6240352811466373,0.625360238382652,0.4505566842925184,-1.0
24,celegans,1,2,"{'deg', 'imb'}",0.3,0.3077294593761843,[10.144079205219818],0.6476868327402135,0.6354122048930434,0.4596364913536485,-1.0
25,celegans,1,2,"{'deg', 'imb'}",0.35,0.5381519632162151,[9.542913935450299],0.6576819407008087,0.6388402599582724,0.4734853242224175,-1.0
26,celegans,1,2,"{'deg', 'imb'}",0.39999999999999997,0.5247928870002744,[8.092459541818318],0.6431535269709544,0.6377786157197922,0.4778094901765696,-1.0
27,celegans,1,2,"{'deg', 'imb'}",0.44999999999999996,0.5981619399484258,[7.988851954820302],0.6292307692307693,0.6300080864515181,0.49377446232554795,-1.0
28,celegans,1,2,"{'deg', 'imb'}",0.49999999999999994,0.6081842656546411,[6.335046453949166],0.652991452991453,0.665630950542947,0.5003632015684106,-1.0
29,celegans,1,2,"{'deg', 'imb'}",0.5499999999999999,0.42477457594830725,[5.595588015984565],0.6350093109869647,0.6507363651076227,0.4232168626111662,-1.0
30,celegans,1,2,"{'deg', 'imb'}",0.6,0.6483797281475027,[5.290102255482348],0.6757990867579908,0.6728457982695271,0.4704227177517501,-1.0
31,celegans,1,2,"{'deg', 'imb'}",0.65,0.5087799751531606,[4.74329684429783],0.642512077294686,0.6335290405772449,0.4148338103528594,-1.0
32,celegans,1,2,"{'deg', 'imb'}",0.7,0.5842065034150312,[4.504129511325728],0.6460674157303371,0.6917196327683616,0.5084209824545284,-1.0
