,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
0,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.05,-0.0028594469658822378,[-10186.789634927427],0.543908472479901,0.5664170861002757,0.5621115730339403,-1.0,-10186.789634927427,
1,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.075,0.17377724132531913,[-9188.245214231283],0.5990154041607114,0.6364238604334922,0.6282859459955275,-1.0,-9188.245214231283,
2,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.1,0.02458216855476703,[-9524.817436138008],0.5938978626203296,0.6301941763080412,0.6221867133446608,-1.0,-9524.817436138008,
3,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.125,0.052556765417028,[-10286.770607991257],0.6270080321285141,0.6803624562120749,0.6609399114158501,-1.0,-10286.770607991257,
4,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.15,0.034863039252965015,[-9201.814797419136],0.6080870917573873,0.657994983277592,0.6488162647870253,-1.0,-9201.814797419136,
5,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.175,0.0998690424356533,[-10439.223196258263],0.6385075677578318,0.6963743049429583,0.6861872017581456,-1.0,-10439.223196258263,
6,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.2,-0.2821211552231269,[-8005.01649042113],0.6612605971249539,0.7272279419686702,0.719152279131829,-1.0,-8005.01649042113,
7,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.22499999999999998,-0.037776053653248244,[-8523.092316806453],0.6617093373493976,0.7234320896469256,0.7080653601776964,-1.0,-8523.092316806453,
8,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.25,0.021226337763996038,[-8015.697891356286],0.6544675880864318,0.7202819399286056,0.718046006006284,-1.0,-8015.697891356286,
9,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.27499999999999997,0.07068052863994169,[-7626.335392185681],0.6827924066135946,0.7443936014509424,0.7394240869365376,-1.0,-7626.335392185681,
10,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.3,-0.21622185628776536,[-7778.327463140131],0.6811926605504587,0.7522208628858567,0.7504756997726715,-1.0,-7778.327463140131,
11,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.32499999999999996,0.14659143620611378,[-6608.418329423479],0.6832324978392394,0.7483916150521188,0.742022816836964,-1.0,-6608.418329423479,
12,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.35,0.12691493253213715,[-6793.714806479568],0.690134529147982,0.7602459440844214,0.748619234711651,-1.0,-6793.714806479568,
13,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.37499999999999994,-0.27333437725259346,[-5860.450068559576],0.7090085795996187,0.7798518830868315,0.7734163025687418,-1.0,-5860.450068559576,
14,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.39999999999999997,-0.05385005771872536,[-5826.497585800569],0.7001223990208079,0.7708943168954014,0.7585128596768052,-1.0,-5826.497585800569,
15,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.42499999999999993,-0.08798036616344752,[-5914.23130774214],0.6887316826680141,0.7566946531379004,0.7502773216220674,-1.0,-5914.23130774214,
16,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.44999999999999996,0.10453283173144148,[-5886.975738446552],0.6992600422832981,0.7723896524751368,0.7602182546190224,-1.0,-5886.975738446552,
17,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.475,-0.03415984835363703,[-5572.22550093776],0.7102829924348557,0.7731863518774741,0.7569065807357456,-1.0,-5572.22550093776,
18,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.49999999999999994,0.008642950461624171,[-5301.61548042924],0.7066627358490566,0.7779467691185362,0.774090548972943,-1.0,-5301.61548042924,
19,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.525,-0.09436361394241347,[-4978.932595939233],0.7069753274444106,0.778772239919054,0.7769938193953966,-1.0,-4978.932595939233,
20,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.5499999999999999,0.008858864221907571,[-4786.25407359629],0.7119327731092437,0.7783210266228091,0.7671992501375355,-1.0,-4786.25407359629,
21,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.575,-0.09053201321080384,[-5132.640685671983],0.7224669603524229,0.7896667913262647,0.7812096669473447,-1.0,-5132.640685671983,
22,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.6,0.09847359831031025,[-4759.225383377311],0.7061664190193165,0.7808006085406562,0.7766461754789944,-1.0,-4759.225383377311,
23,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.625,0.05381900565347326,[-4537.193544135525],0.6987351475661173,0.7690239109381024,0.7612475585243794,-1.0,-4537.193544135525,
24,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.65,0.2075739497958628,[-4346.403169811603],0.6983925549915397,0.7689666926373198,0.7601921695906255,-1.0,-4346.403169811603,
25,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.675,-0.03704273922951236,[-4868.524757050992],0.7055103884372177,0.7707262934551983,0.7626257302182277,-1.0,-4868.524757050992,
26,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.7,0.02124632746214864,[-3901.983277174815],0.7019607843137254,0.7723544310616328,0.7720358903695566,-1.0,-3901.983277174815,
27,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.725,-0.11165934824939497,[-3650.4199894701837],0.6823338735818476,0.7347653841122718,0.716226686367997,-1.0,-3650.4199894701837,
28,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.75,0.07694486520965986,[-3440.3147699722786],0.6965352449223416,0.7612749857224443,0.734976191374646,-1.0,-3440.3147699722786,
29,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.775,0.03341181094471975,[-3415.916159584276],0.6776807980049875,0.7384634076815597,0.7454850382115055,-1.0,-3415.916159584276,
30,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.7999999999999999,0.06655741247086824,[-3315.1516389864582],0.6666666666666666,0.7219776270793485,0.7190388936998944,-1.0,-3315.1516389864582,
31,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.825,0.030181715399868827,[-3133.325434433863],0.6409395973154363,0.6961822174671997,0.6885395205256504,-1.0,-3133.325434433863,
32,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.85,0.006078935119346045,[-100.76527483954997],0.6364513018322083,0.6881519869546763,0.6913241630665042,-1.0,-100.76527483954997,
33,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.875,0.21754819117799196,[-2398.869111958761],0.6359338061465721,0.6915103569731362,0.6830428229025203,-1.0,-2398.869111958761,
34,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.9,-0.07734799099012693,[-2472.146982064868],0.5894590846047156,0.6355006241427669,0.6521540568494936,-1.0,-2472.146982064868,
35,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.9249999999999999,-0.011444574351899342,[-119.3202344462627],0.5734406438631791,0.6009141597510373,0.591293301375176,-1.0,-119.3202344462627,
36,LFR_gamma-2.9,1,2,"{'emb', 'imb'}",0.95,0.22863985168200368,[-1763.1092836335224],0.5714285714285714,0.599818148754319,0.5185293569042551,-1.0,-1763.1092836335224,
37,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.05,-0.39548167164394654,[63.02552567431558],0.5358688930117501,0.5416727739948198,0.5226373885771833,-1.0,,63.02552567431558
38,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.075,0.10207946708614252,[50.49881317439137],0.5462918850246149,0.5567347558453664,0.5495086005085237,-1.0,,50.49881317439137
39,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.1,0.1996205340840654,[42.469088450696084],0.549518681677272,0.5594225291370948,0.54634592084593,-1.0,,42.469088450696084
40,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.125,-0.14881081388052086,[32.73470444882933],0.5555555555555556,0.5728121998549502,0.5518338781238012,-1.0,,32.73470444882933
41,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.15,-0.05916601548123264,[24.62112612300592],0.5548643511318473,0.5707095676063066,0.567430510540087,-1.0,,24.62112612300592
42,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.175,-0.016584141025208155,[23.08857698978962],0.5462865188313974,0.5605319106758779,0.5401966513672869,-1.0,,23.08857698978962
43,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.2,0.11871217057082817,[17.451303975932504],0.5508661997788427,0.5718694945864806,0.556020142508148,-1.0,,17.451303975932504
44,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.22499999999999998,-0.16002138825045814,[16.111841804876462],0.5636295180722891,0.5796033255385854,0.554254503394857,-1.0,,16.111841804876462
45,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.25,0.04947794601033169,[14.447914034095893],0.572902472260074,0.5907408502156234,0.5698132042010119,-1.0,,14.447914034095893
46,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.27499999999999997,0.09235105304670174,[11.87319866184445],0.5692998571136967,0.5848478710955082,0.5709115109566179,-1.0,,11.87319866184445
47,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.3,0.015230099780487548,[11.834944540814329],0.5623436196830692,0.5855068078405594,0.5646428685486483,-1.0,,11.834944540814329
48,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.32499999999999996,0.010140234947714818,[11.048551365860105],0.567847882454624,0.583688495581832,0.5684450092074195,-1.0,,11.048551365860105
49,LFR_gamma-2.9,1,2,"{'deg', 'imb'}",0.35,0.019972751789074226,[10.23288488766529],0.5755605381165919,0.599380413962304,0.5864731681762683,-1.0,,10.23288488766529
