N,T1,T2,accuracy,auroc,kmax,embrep,kavg,embedding,mu,system,penalty,PC,pr,prob,somerep,otherrep,strategy,theta
250,2.1,1.0,1.0,1.0,32,0,10.0,N2V,0.1,LFR,None,True,0.9999999999999999,1.0,4,1,RANDOM,0.85
250,2.1,1.0,0.9899193548387096,0.9987844741207971,32,0,10.0,N2V,0.1,LFR,None,False,0.9987480799339584,1.0,4,2,RANDOM,0.8
250,2.1,1.0,0.9861751152073732,0.9972812234494477,32,0,10.0,N2V,0.1,LFR,None,False,0.997772072687909,1.0,0,2,RANDOM,0.9
250,2.1,1.0,0.9975961538461539,0.9988503150773792,32,0,10.0,N2V,0.1,LFR,None,True,0.9987341933185762,1.0,3,5,RANDOM,0.65
250,2.1,1.0,0.9935064935064936,0.9978616446578632,32,0,10.0,N2V,0.1,LFR,None,True,0.9984933449264384,1.0,3,2,RANDOM,0.8
250,2.1,1.0,0.9983164983164983,0.9993323398213947,32,0,10.0,N2V,0.1,LFR,None,False,0.999327620642466,1.0,3,3,RANDOM,0.25
250,2.1,1.0,0.9965457685664939,1.0,32,0,10.0,N2V,0.1,LFR,None,False,1.0,1.0,1,1,RANDOM,0.75
250,2.1,1.0,0.996316758747698,0.9999954747582012,32,0,10.0,N2V,0.1,LFR,None,False,0.9999957049414019,1.0,0,5,RANDOM,0.3
250,2.1,1.0,0.9980988593155894,0.9999674284783671,32,0,10.0,N2V,0.1,LFR,None,True,0.9999654370275247,1.0,2,4,RANDOM,0.55
250,2.1,1.0,0.9971883786316776,0.9981341710237814,32,0,10.0,N2V,0.1,LFR,None,False,0.9980989675028362,1.0,4,5,RANDOM,0.55
250,2.1,1.0,0.9884726224783862,0.9971098265895953,32,0,10.0,N2V,0.1,LFR,None,True,0.9980260150316456,1.0,0,1,RANDOM,0.85
250,2.1,1.0,0.9927140255009107,0.999136533914291,32,0,10.0,N2V,0.1,LFR,None,True,0.9992207465830105,1.0,1,4,RANDOM,0.75
250,2.1,1.0,0.996937212863706,0.9998286726826806,32,0,10.0,N2V,0.1,LFR,None,False,0.9998480491924111,1.0,0,2,RANDOM,0.45
250,2.1,1.0,0.9910714285714286,0.9961685823754789,32,0,10.0,N2V,0.1,LFR,None,True,0.9970229171128722,1.0,4,2,RANDOM,0.95
250,2.1,1.0,0.994277539341917,0.9997295480994607,32,0,10.0,N2V,0.1,LFR,None,False,0.9997653316506863,1.0,4,1,RANDOM,0.7
250,2.1,1.0,0.9974358974358974,0.9999736952861953,32,0,10.0,N2V,0.1,LFR,None,False,0.9999731182348137,1.0,4,5,RANDOM,0.65
