accuracy,auroc,pr,method,theta,mu
,,,N2V,0.35,0.2
,,,N2V,0.2,0.3
,,,N2V,0.25,0.2
0.6495210929956382,0.7041455631775134,0.6919655094241114,ISOMAP,0.1,0.5
0.6281226642524028,0.6769191799878103,0.6631348687196441,ISOMAP,0.05,0.3
,,,N2V,0.15,0.5
,,,N2V,0.25,0.4
,,,N2V,0.35,0.2
,,,N2V,0.1,0.3
,,,N2V,0.25,0.3
,,,N2V,0.15,0.2
0.754173258730465,0.8452441692886616,0.8485985812312109,ISOMAP,0.35,0.2
,,,N2V,0.35,0.5
0.6608445331402434,0.7206809642027521,0.7102609629192448,ISOMAP,0.15,0.5
,,,N2V,0.35,0.5
0.6504870675176352,0.7076385391430815,0.6988865327766303,ISOMAP,0.1,0.4
,,,N2V,0.1,0.5
0.6264220106176793,0.6760322979854227,0.663831245900728,ISOMAP,0.05,0.2
0.6911286984660537,0.7643850632625464,0.7620914028039618,ISOMAP,0.2,0.3
0.6559197692648309,0.7123788971395436,0.7010326884075198,ISOMAP,0.15,0.5
,,,N2V,0.35,0.5
0.7073742426215444,0.7827912743510008,0.7805194411227258,ISOMAP,0.35,0.4
,,,N2V,0.1,0.2
,,,N2V,0.1,0.4
,,,N2V,0.2,0.4
0.734778840498963,0.818463955454527,0.820215883170702,ISOMAP,0.35,0.3
0.8510321260405698,0.9273144810756403,0.9255952765362321,N2V,0.75,0.1
0.6723127889348481,0.7349832022429178,0.7268589211711433,ISOMAP,0.2,0.5
,,,N2V,0.25,0.2
,,,N2V,0.2,0.5
0.7106628966383914,0.7921949228341819,0.7930433926147953,ISOMAP,0.2,0.2
0.8762653169952052,0.9608015170481641,0.9622807247937462,ISOMAP,0.85,0.1
0.6576666422999404,0.7191954717502387,0.713004123392214,N2V,0.05,0.1
0.6720060245868273,0.7366804304964096,0.7282969933768247,ISOMAP,0.25,0.5
,,,N2V,0.35,0.5
,,,N2V,0.2,0.4
,,,N2V,0.2,0.3
,,,N2V,0.05,0.3
,,,N2V,0.05,0.5
,,,N2V,0.35,0.4
,,,N2V,0.25,0.2
0.6678074186839598,0.7294962590627363,0.7202126966612291,ISOMAP,0.15,0.4
,,,N2V,0.15,0.5
,,,N2V,0.05,0.2
,,,N2V,0.05,0.4
0.648243408968575,0.7035276960374368,0.6915620641127638,ISOMAP,0.1,0.4
,,,N2V,0.35,0.5
0.6575099787967869,0.7149929109671698,0.7015271035460062,ISOMAP,0.1,0.4
0.6713937175968283,0.7346555737604794,0.7247695303276236,ISOMAP,0.15,0.4
,,,N2V,0.05,0.2
0.6477507417736881,0.7014626005271414,0.6870682771692819,ISOMAP,0.1,0.5
,,,N2V,0.05,0.3
0.9236571372044713,0.9787822329562303,0.9794601196753314,LE,0.8,0.1
,,,N2V,0.15,0.2
0.6834846531165671,0.7507405908991267,0.7440096870098396,ISOMAP,0.25,0.5
0.6880708769453918,0.7574922785761042,0.7513538666672946,ISOMAP,0.35,0.5
0.7109669811320755,0.7867379385704679,0.7860618339503547,ISOMAP,0.35,0.4
0.7124235617122177,0.7916625152477721,0.7932966485017713,ISOMAP,0.2,0.2
0.7039882544598862,0.7818958272269236,0.7831618061925553,ISOMAP,0.25,0.3
0.6638102271569726,0.724273739341684,0.7147428973894946,ISOMAP,0.2,0.5
0.6279640661538298,0.6769529799234939,0.6638792970136048,ISOMAP,0.05,0.3
,,,N2V,0.35,0.3
0.81148264888158,0.8959967106475795,0.8965442172058786,N2V,0.35,0.1
0.6913046174837969,0.7605125395280757,0.7566622671577274,ISOMAP,0.35,0.5
,,,N2V,0.2,0.2
0.6788200756810622,0.7428418034820017,0.7341326853521377,ISOMAP,0.25,0.5
0.8255845299498589,0.9090229903414745,0.9095356245739972,N2V,0.45,0.1
,,,N2V,0.25,0.3
,,,N2V,0.35,0.3
0.8993686352126848,0.9668811257752505,0.968143565994761,LE,0.55,0.1
,,,N2V,0.05,0.5
0.7104199820966779,0.7879245024086999,0.786674137415938,ISOMAP,0.2,0.2
0.6189667769802725,0.6625522955174116,0.6453564688678153,ISOMAP,0.05,0.4
