_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
0,celegans,1,2,0.05,0.6573741007194245,0.5204475363981926,-0.6271504663585081,-2.62700455654576
1,celegans,1,2,0.05,0.6574977817213842,0.463852936446337,-0.5232366983048972,-2.1116347801488256
2,celegans,1,2,0.05,0.6582959641255606,0.5259744434047842,-0.5581708775079831,-2.3712884332364332
3,celegans,1,2,0.05,0.6548358473824313,0.5446597139493246,-0.7820696948997986,-1.6665358744451293
4,celegans,1,2,0.05,0.6578715919085312,0.49610959130088117,-0.480767716398335,-1.7646692111079003
5,celegans,1,2,0.15,0.6440511307767945,0.5158794159531939,-0.5382092100037185,-4.888191318837491
6,celegans,1,2,0.15,0.6583912611717975,0.4925712486773412,-0.5693171296900019,-4.762646277736177
7,celegans,1,2,0.15,0.6391129032258065,0.5450260259589392,-0.5836170235663084,-5.175945633496563
8,celegans,1,2,0.15,0.6594700686947988,0.546539399832813,-0.5845887216519833,-4.357926278186669
9,celegans,1,2,0.15,0.6417165668662674,0.5292299768220449,-0.7074717892382453,-4.490164765676213
10,celegans,1,2,0.25,0.6353591160220995,0.5547863126817949,-0.42429522166977923,-6.462914978789824
11,celegans,1,2,0.25,0.626560726447219,0.5452941649714398,-0.2841576225139998,-7.464803579151393
12,celegans,1,2,0.25,0.6302142051860203,0.5376479546701605,-0.4345578355747727,-7.000246609959496
13,celegans,1,2,0.25,0.6248624862486248,0.5075179061877322,-0.4043392377387114,-6.693696211442139
14,celegans,1,2,0.25,0.6450511945392492,0.5305900746071343,-0.45431239655209943,-6.536549125904562
15,celegans,1,2,0.35,0.6379084967320261,0.5677585544021531,-0.3782369393302837,-8.037172794688328
16,celegans,1,2,0.35,0.6189224704336399,0.5598142850586669,-0.4327557471998892,-8.033950915229521
17,celegans,1,2,0.35,0.611749680715198,0.5573852003509798,-0.26777228953657256,-7.862216219485347
18,celegans,1,2,0.35,0.6312419974391805,0.5272091544818817,-0.5815873394021405,-6.815369005837826
19,celegans,1,2,0.35,0.621656050955414,0.5430335020066306,-0.37936979178838454,-6.948914339531318
20,celegans,1,2,0.44999999999999996,0.5825688073394495,0.5627639352684305,-0.4710004838457898,-8.558340719585143
21,celegans,1,2,0.44999999999999996,0.6152597402597403,0.5771841725949691,-0.3230214311429169,-7.982873654939131
22,celegans,1,2,0.44999999999999996,0.612184249628529,0.561531638083974,-0.49949799422667324,-7.99126011497782
23,celegans,1,2,0.44999999999999996,0.6092124814264487,0.5506882386153455,-0.40149300131666416,-8.222245380997775
24,celegans,1,2,0.44999999999999996,0.6026392961876833,0.5564331501831502,-0.4725613669367822,-7.329324544245317
25,celegans,1,2,0.5499999999999999,0.619140625,0.5647826597547267,-0.619937105025786,-7.796919429872458
26,celegans,1,2,0.5499999999999999,0.5725047080979284,0.5631781701444623,-0.26570900498676503,-8.114473251975182
27,celegans,1,2,0.5499999999999999,0.5902255639097744,0.5599313720860681,-0.2898125258444011,-8.176247031877255
28,celegans,1,2,0.5499999999999999,0.5856573705179283,0.5707785020292706,-0.49090251220139464,-8.123975230670034
29,celegans,1,2,0.5499999999999999,0.6337760910815939,0.6029862792574656,-0.29455109168122057,-9.029167717381123
30,celegans,1,2,0.65,0.5740740740740741,0.5594884567487307,-0.46674734983350524,-8.450597478964378
31,celegans,1,2,0.65,0.6232227488151659,0.5882067768932436,-0.3479209109596728,-8.368383371049124
32,celegans,1,2,0.65,0.5831265508684863,0.5309739461030974,-0.3840341231051132,-8.10153865246985
33,celegans,1,2,0.65,0.5320197044334976,0.4755177186430941,-0.4014459141735356,-8.471366975253849
34,celegans,1,2,0.65,0.6157517899761337,0.5897727272727273,-0.4241827123154404,-7.885597491060606
35,celegans,1,2,0.75,0.5342465753424658,0.541124871001032,-0.7225608593915069,-7.758291663214845
36,celegans,1,2,0.75,0.5887850467289719,0.5660194174757281,-0.6084540132329785,-8.147329107808762
37,celegans,1,2,0.75,0.5779816513761468,0.5187332738626227,-0.5704273769173775,-8.508346839592448
38,celegans,1,2,0.75,0.5252918287937743,0.4813743948359333,-0.7270879046396793,-7.939199654558518
39,celegans,1,2,0.75,0.5421245421245421,0.571052014995314,-0.7103883280836103,-8.324904598345103
40,celegans,1,2,0.85,0.5882352941176471,0.553775404242694,-0.9659621561407346,-8.217362257686624
41,celegans,1,2,0.85,0.5081081081081081,0.5338316286388671,-0.627871034384541,-8.072548665571063
42,celegans,1,2,0.85,0.5757575757575758,0.5185185185185185,-0.686191098104717,-6.161455907793544
43,celegans,1,2,0.85,0.5432098765432098,0.5432595573440643,-1.1365606879882875,-8.380603176407021
44,celegans,1,2,0.85,0.5,0.4854736328125,-0.9043352814839585,-7.277589114344293
45,celegans,1,2,0.95,0.5362318840579711,0.5398148148148149,-0.9156353986796177,-5.982196098655023
46,celegans,1,2,0.95,0.5576923076923077,0.45614035087719296,-1.1368979463628386,-7.586542188354396
47,celegans,1,2,0.95,0.45454545454545453,0.48677248677248675,-1.027748900579356,-6.652440471180309
48,celegans,1,2,0.95,0.44642857142857145,0.5280748663101604,-1.3330196681900723,-7.578757349444902
49,celegans,1,2,0.95,0.4411764705882353,0.45990338164251204,-1.1013129164418565,-7.493906088530928
50,celegans,1,3,0.05,0.8148971650917176,0.5629503992396216,-1.156854214012283,-1.9490461909701582
51,celegans,1,3,0.05,0.8109619686800895,0.5268149357274026,-1.6353221786416698,-1.2318018066836582
52,celegans,1,3,0.05,0.8107957707289928,0.5200714602931084,-1.6939730832904498,-1.035996603196261
53,celegans,1,3,0.05,0.8151447661469933,0.5456786161037592,-1.17462233927269,-1.2313042626077708
54,celegans,1,3,0.05,0.8126737076153419,0.4935903420784504,-1.4137093807453223,-1.2183339299498652
55,celegans,1,3,0.15,0.8156115550092194,0.5500050238633509,-1.2032594194573627,-3.4529292879077773
56,celegans,1,3,0.15,0.8124223602484472,0.5722223909917573,-1.286536788095099,-3.696103532251745
57,celegans,1,3,0.15,0.8083907326236693,0.5733534828855374,-1.4241563322423951,-3.97387562510146
