,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time
0,1000,5.0,5.0,,,,,,,,
1,1000,5.0,5.0,0.1,[0.],[[9.53906917]],0.5008584743684081,0.4914770471186349,0.4885404981504762,0.06662161415442824,0.06662249565124512
2,1000,5.0,5.0,0.2,[0.],[[10.39826879]],0.48946648426812583,0.47725933405319165,0.4720240223273604,0.025208074133843184,0.02520895004272461
3,1000,5.0,5.0,0.30000000000000004,[0.],[[8.99277679]],0.47423332279481506,0.45938304400568397,0.46387116150971874,0.025327558862045407,0.025328397750854492
4,1000,5.0,5.0,0.4,[0.],[[6.61182007]],0.49101796407185627,0.4692234527373279,0.47907995081180266,0.023542089853435755,0.02354288101196289
5,1000,5.0,5.0,0.5,[0.],[[5.51772016]],0.4730144800351031,0.4527813752698119,0.4821647788513205,0.023948588874191046,0.023949384689331055
6,1000,5.0,5.0,0.6000000000000001,[0.],[[4.76786717]],0.4709748083242059,0.4528208856386041,0.46353884982336724,0.022727126954123378,0.02272772789001465
7,1000,5.0,5.0,0.7000000000000001,[0.],[[3.78267855]],0.4544084400904295,0.4434278379790545,0.46507784899269206,0.023042281856760383,0.023042678833007812
8,1000,5.0,5.0,0.8,[0.],[[3.19134041]],0.45649717514124294,0.4381544134922824,0.4607859702055435,0.02318947296589613,0.02319025993347168
9,1000,5.0,5.0,0.9,[0.],[[2.67168202]],0.43387470997679817,0.42828720101447365,0.386913091419843,0.02485048002563417,0.024850845336914062
10,1000,5.0,5.0,,,,,,,,
11,1000,5.0,5.0,0.1,[0.],[[9.41751042]],0.49716818517606504,0.4885137554064044,0.4796858548298598,0.026249133981764317,0.026250362396240234
12,1000,5.0,5.0,0.2,[0.],[[10.19399881]],0.48476454293628807,0.4814755360317444,0.4807436974585908,0.02502281591296196,0.025023460388183594
13,1000,5.0,5.0,0.30000000000000004,[0.],[[8.53899454]],0.4864864864864865,0.4704223293299621,0.47267284709279384,0.024233401054516435,0.02423405647277832
14,1000,5.0,5.0,0.4,[0.],[[6.95082124]],0.49189985272459497,0.4803044578932152,0.47433260043361547,0.08616437297314405,0.08616495132446289
15,1000,5.0,5.0,0.5,[0.],[[5.88446243]],0.4632418069087688,0.454737761538045,0.46035809125663574,0.023026368115097284,0.02302694320678711
16,1000,5.0,5.0,0.6000000000000001,[0.],[[4.73177984]],0.4835345773874863,0.4734074665876169,0.47851681661539486,0.021923255873844028,0.02192401885986328
17,1000,5.0,5.0,0.7000000000000001,[0.],[[3.80930427]],0.48026315789473684,0.459777670888782,0.47620130356386026,0.022293702932074666,0.022294044494628906
18,1000,5.0,5.0,0.8,[0.],[[3.14597602]],0.48521358159912376,0.4816642820791043,0.494557883051079,0.021194541128352284,0.021195411682128906
19,1000,5.0,5.0,0.9,[0.],[[2.59171965]],0.473551637279597,0.4833909419000661,0.512904747906088,0.020880375988781452,0.020880937576293945
20,1000,5.0,5.0,,,,,,,,
21,1000,5.0,5.0,0.1,[0.],[[9.81185118]],0.49939157945972257,0.4881502410823234,0.48385028822288845,0.025709460023790598,0.025710344314575195
