,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
0,arxiv,2,6,-inf,-inf,-inf,-inf,inf,inf
1,arxiv,2,6,0.1,0.7339486089901069,0.8802678377726629,0.9471256082015946,0.134308128000157,0.13431048393249512
2,arxiv,2,6,0.2,0.8515665893965453,0.9399041391301227,0.9721582373532419,0.14386740400004783,0.14387035369873047
3,arxiv,2,6,0.30000000000000004,0.9012335029759337,0.9642662420102518,0.9834455568623611,0.24966141999993852,0.2496640682220459
4,arxiv,2,6,0.4,0.9206317271904235,0.9735199707474289,0.9881608097889851,0.148688059000051,0.14868974685668945
5,arxiv,2,6,0.5,0.9339432101698942,0.9782068740410562,0.9897679331084159,0.12334814299993013,0.12334990501403809
6,arxiv,2,6,0.6000000000000001,0.9401696681053728,0.9824249717600729,0.9921299748065289,0.14806253900042066,0.14806437492370605
7,arxiv,2,6,0.7000000000000001,0.9515652687536916,0.985871534703465,0.9930914240915899,0.24060811100025603,0.24060940742492676
8,arxiv,2,6,0.8,0.9479820627802691,0.9851878874920699,0.9926388990766828,0.15811700099993686,0.15811824798583984
9,arxiv,2,6,0.9,0.9536144578313253,0.9834990644357474,0.9907352909371283,0.14900875800003632,0.14900994300842285
10,celegans,1,2,-inf,-inf,-inf,-inf,inf,inf
11,celegans,1,2,0.1,0.6246472248353716,0.56718343241248,0.4050957684667785,0.013739062000240665,0.013740301132202148
12,celegans,1,2,0.2,0.6574468085106383,0.6235518604334197,0.47620032089995723,0.01074666900012744,0.010747194290161133
13,celegans,1,2,0.30000000000000004,0.6204819277108434,0.6186144852766602,0.4314652732389078,0.011952508999911515,0.011952877044677734
14,celegans,1,2,0.4,0.6925207756232687,0.6459740486696667,0.457863333096827,0.012304209999911109,0.01230478286743164
15,celegans,1,2,0.5,0.6788194444444444,0.6552094522019334,0.49293741243421785,0.01071321400013403,0.010715007781982422
16,celegans,1,2,0.6000000000000001,0.6857142857142857,0.6827272727272726,0.5308936281233343,0.00896531500029596,0.008965730667114258
17,celegans,1,2,0.7000000000000001,0.6731843575418994,0.693274456521739,0.5403757982452064,0.009200985999996192,0.009202003479003906
18,celegans,1,2,0.8,0.702928870292887,0.6722357723577235,0.4983021695672766,0.008080210999651172,0.008080482482910156
19,celegans,1,2,0.9,0.7142857142857143,0.6831540278142221,0.41771821099186274,0.00905757900000026,0.009057760238647461
20,drosophila,1,2,-inf,-inf,-inf,-inf,inf,inf
21,drosophila,1,2,0.1,0.8651699974046198,0.8761409465257791,0.9858158754058988,0.19918078099999548,0.19918251037597656
22,drosophila,1,2,0.2,0.9319681344997801,0.9128108212759176,0.9895653143097186,0.26069234799979313,0.2606949806213379
23,drosophila,1,2,0.30000000000000004,0.9445964814297683,0.9350798721612474,0.9931803744683602,0.1959074490000603,0.1959092617034912
24,drosophila,1,2,0.4,0.9522080280137475,0.936966663295007,0.9930461127120513,0.30033029200012606,0.30033302307128906
25,drosophila,1,2,0.5,0.9603548437745328,0.9503297025103679,0.9950285116999444,0.24228579900000113,0.24228739738464355
26,drosophila,1,2,0.6000000000000001,0.9629737893403488,0.9549482658744461,0.9954498187309837,0.21340214500014554,0.21340394020080566
27,drosophila,1,2,0.7000000000000001,0.9585606651078202,0.9562404022799001,0.9952724975212781,0.398193153000193,0.3981971740722656
28,drosophila,1,2,0.8,0.9710285825393739,0.968333517042045,0.9973876309800773,0.2957944199997655,0.29579663276672363
29,drosophila,1,2,0.9,0.9715055833654216,0.9557372332773915,0.9956786996458457,0.30197447399996236,0.30197644233703613
30,london,1,2,-inf,-inf,-inf,-inf,inf,inf
31,london,1,2,0.1,0.3916913946587537,0.6976595991194532,0.9305440025181245,0.007375201999821002,0.007376194000244141
32,london,1,2,0.2,0.6326530612244898,0.8256766381766382,0.9533164859893608,0.006670502999895689,0.006671905517578125
33,london,1,2,0.30000000000000004,0.7198443579766537,0.8716447744146202,0.9655147559602292,0.005012061999877915,0.00501251220703125
34,london,1,2,0.4,0.7746478873239436,0.923964218455744,0.983237583844523,0.007967698999891581,0.007969379425048828
35,london,1,2,0.5,0.8491620111731844,0.9557109557109558,0.9892087064084205,0.008347839999714779,0.008348703384399414
36,london,1,2,0.6000000000000001,0.8896103896103896,0.9606201550387596,0.991663942891087,0.005239236999841523,0.005239725112915039
37,london,1,2,0.7000000000000001,0.9487179487179487,0.9814032121724429,0.9937593901284711,0.005758348999734153,0.005758762359619141
38,london,1,2,0.8,0.9240506329113924,0.9808612440191388,0.9926886031339985,0.007011370999862265,0.007012367248535156
39,london,1,2,0.9,0.9591836734693877,0.9964114832535884,0.9989958448753462,0.007716490000348131,0.0077173709869384766
