,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,process_time,wall_time
0,arxiv,2,6,{'imb'},0.05,[0.9120269],[[0.]],0.7137284509877941,0.5,0.8568642254938971,0.058988769999814394,0.05899167060852051
1,arxiv,2,6,{'imb'},0.15,[0.98045606],[[0.]],0.7113900967877683,0.5,0.8556950483938841,0.06782004500018957,0.06782221794128418
2,arxiv,2,6,{'imb'},0.25,[0.94096224],[[0.]],0.7119113573407202,0.5,0.8559556786703602,0.0647662940000373,0.06476831436157227
3,arxiv,2,6,{'imb'},0.35,[0.93671946],[[0.]],0.7112147822905233,0.5,0.8556073911452616,0.1335666319992015,0.13356804847717285
4,arxiv,2,6,{'imb'},0.44999999999999996,[0.94470029],[[0.]],0.7085726671724287,0.5,0.8542863335862143,0.05193993800003227,0.0519411563873291
5,arxiv,2,6,{'imb'},0.5499999999999999,[0.90687978],[[0.]],0.7154001344989912,0.5,0.8577000672494957,0.04938122399926215,0.04938316345214844
6,arxiv,2,6,{'imb'},0.65,[0.90222996],[[0.]],0.7180013689253936,0.5,0.8590006844626967,0.07907728600002883,0.07907891273498535
7,arxiv,2,6,{'imb'},0.75,[0.89684108],[[0.]],0.723638064063596,0.5,0.861819032031798,0.19216020200019557,0.19216156005859375
8,arxiv,2,6,{'imb'},0.85,[0.9047014],[[0.]],0.723679060665362,0.5,0.861839530332681,0.12778333699952782,0.12778496742248535
9,arxiv,2,6,{'imb'},0.95,[0.91342887],[[0.]],0.713939393939394,0.5,0.8569696969696969,0.12406012399969768,0.12406182289123535
10,arxiv,2,6,{'emb'},0.05,[0.99543811],[[2.79547872]],0.7200804980818817,0.5185669261992795,0.7303105399386753,359.56444265400023,359.5644462108612
11,arxiv,2,6,{'emb'},0.15,[0.90419576],[[4.0146095]],0.7359246503127855,0.5746761960239231,0.7700657747124667,339.1191371270006,339.1191394329071
12,arxiv,2,6,{'emb'},0.25,[0.99505554],[[3.59180682]],0.7365694245177746,0.5935788826417447,0.7776609355491153,333.4337852710005,333.4337868690491
13,arxiv,2,6,{'emb'},0.35,[0.91761298],[[3.50931272]],0.7487363293814907,0.6061115836352443,0.7899388120447477,316.9676520789999,316.9676537513733
14,arxiv,2,6,{'emb'},0.44999999999999996,[0.99472876],[[3.1300282]],0.7404209390178089,0.6069557499613851,0.7923128515984086,308.2214685789995,308.2214705944061
15,arxiv,2,6,{'emb'},0.5499999999999999,[0.95413968],[[2.43649008]],0.7404969778374748,0.5897063033418376,0.7778254568142937,305.68928556100036,305.68928718566895
16,arxiv,2,6,{'emb'},0.65,[0.96607088],[[1.96407651]],0.7373240630829235,0.5730090120394119,0.7641562143305453,280.3820407510011,280.38204288482666
17,arxiv,2,6,{'emb'},0.75,[0.94479626],[[1.14944525]],0.7211931681501083,0.5229842624579467,0.7348269831612506,244.13262619499983,244.13262939453125
18,arxiv,2,6,{'emb'},0.85,[0.91403304],[[0.19330338]],0.7172753385309807,0.47926720315649984,0.7047728650127953,241.04841222400137,241.04841446876526
19,arxiv,2,6,{'emb'},0.95,[0.86276826],[[-1.07570306]],0.7180365296803652,0.6559185978004712,0.7727377813774576,192.3529512719997,192.35295343399048
20,arxiv,2,6,{'deg'},0.05,[0.78335596],[[10.46058419]],0.7630453916760971,0.7847244244378339,0.9083643660601244,0.11695899500045925,0.11696100234985352
21,arxiv,2,6,{'deg'},0.15,[0.44226736],[[13.13738629]],0.8652342374075379,0.9157593511105354,0.9627024312200416,0.11465902400050254,0.11466026306152344
22,arxiv,2,6,{'deg'},0.25,[0.034641],[[12.70993524]],0.9014958625079568,0.9549240924183913,0.9783870554810182,0.11668437099979201,0.11668539047241211
23,arxiv,2,6,{'deg'},0.35,[-0.36375081],[[11.78938038]],0.9108037868943754,0.9691857075102039,0.9858660322385633,0.1170366299993475,0.11703896522521973
24,arxiv,2,6,{'deg'},0.44999999999999996,[-0.62583916],[[10.25767812]],0.9281017570335238,0.9741460739759766,0.9873183301365861,0.12706972199885058,0.12707066535949707
25,arxiv,2,6,{'deg'},0.5499999999999999,[-0.90631553],[[9.01231328]],0.944980301589458,0.9814370276527894,0.9909506955799217,0.11977851800111239,0.11977958679199219
26,arxiv,2,6,{'deg'},0.65,[-1.03033768],[[7.99218416]],0.9521836699464872,0.9838262986690717,0.9914000654641122,0.17516557199996896,0.17516660690307617
27,arxiv,2,6,{'deg'},0.75,[-1.04473484],[[6.9361181]],0.9384688766992607,0.9820989931798891,0.9912235485775337,0.21880462800072564,0.21880578994750977
28,arxiv,2,6,{'deg'},0.85,[-1.35927645],[[6.67211018]],0.95814526056627,0.9848079018420327,0.9913802416641031,0.17617386699930648,0.1761765480041504
29,arxiv,2,6,{'deg'},0.95,[-1.44436943],[[6.23748414]],0.9573732718894009,0.9884156983345337,0.9948660966380438,0.18959295099921292,0.18959450721740723
30,arxiv,2,6,"{'imb', 'emb'}",0.05,[0.92217315],[[3.23088598]],0.7229576399394856,0.5400948480192107,0.7407764846345861,336.20154963799905,336.20155239105225
31,arxiv,2,6,"{'imb', 'emb'}",0.15,[0.98091439],[[3.90217884]],0.735236220472441,0.5781663170607678,0.7711466860001803,329.79348283700165,329.7934854030609
32,arxiv,2,6,"{'imb', 'emb'}",0.25,[0.93004095],[[3.46285309]],0.7430417098652206,0.5992791649218314,0.7850980822576488,230.78747316699992,230.78747463226318
33,arxiv,2,6,"{'imb', 'emb'}",0.35,[0.91118506],[[3.2438292]],0.7465879749170048,0.607454967474752,0.7936033814185118,237.46324389999972,237.46324515342712
34,arxiv,2,6,"{'imb', 'emb'}",0.44999999999999996,[0.97517005],[[2.9081158]],0.7447108603667136,0.5875095496469716,0.7747377647990956,213.81899545499982,213.8189971446991
35,arxiv,2,6,"{'imb', 'emb'}",0.5499999999999999,[0.97321559],[[2.67127854]],0.7296866702071163,0.5774247808973751,0.7764434143139387,217.51905667000028,217.51905751228333
36,arxiv,2,6,"{'imb', 'emb'}",0.65,[0.94697411],[[1.90515596]],0.7375256322624744,0.5792950737341918,0.7698547199299468,262.71038403500097,262.71038579940796
37,arxiv,2,6,"{'imb', 'emb'}",0.75,[0.95193704],[[1.21734964]],0.7206203053065181,0.5223640426548556,0.7370185765628544,261.2964246699994,261.29642724990845
38,arxiv,2,6,"{'imb', 'emb'}",0.85,[0.93140489],[[0.21761496]],0.7023477914842817,0.48255366529820787,0.6906661589745489,231.24484908799968,231.24485039710999
39,arxiv,2,6,"{'imb', 'emb'}",0.95,[0.8480202],[[-1.15715987]],0.6952141057934509,0.6398054958724415,0.8076628692142893,178.64952996899956,178.64953184127808
40,arxiv,2,6,"{'imb', 'deg'}",0.05,[0.81072085],[[10.8281838]],0.7614511041009464,0.7952250539170498,0.9159121108852695,0.11817467799846781,0.11817669868469238
41,arxiv,2,6,"{'imb', 'deg'}",0.15,[0.51220004],[[13.0742941]],0.8618997546442342,0.9156447190674011,0.9614706001508073,0.11824785499993595,0.11824941635131836
42,arxiv,2,6,"{'imb', 'deg'}",0.25,[0.02534213],[[12.53419204]],0.9047011952191235,0.9521582845734685,0.9764066377665549,0.12256936599987966,0.12257099151611328
43,arxiv,2,6,"{'imb', 'deg'}",0.35,[-0.19473309],[[11.60889931]],0.9099273162204434,0.9698829163003865,0.9862985653049758,0.12171002899958694,0.12171125411987305
44,arxiv,2,6,"{'imb', 'deg'}",0.44999999999999996,[-0.49341682],[[9.9527019]],0.9317357370561724,0.9762851877947638,0.9892416122259537,0.11492903900034435,0.11493086814880371
45,arxiv,2,6,"{'imb', 'deg'}",0.5499999999999999,[-0.93936729],[[9.00069012]],0.9353727983048603,0.9796257553382443,0.9899226535942672,0.11103576899949985,0.11103677749633789
46,arxiv,2,6,"{'imb', 'deg'}",0.65,[-0.85423365],[[7.6656511]],0.9451679232350926,0.9819546987512532,0.9910326008890136,0.13419973599957302,0.1342010498046875
47,arxiv,2,6,"{'imb', 'deg'}",0.75,[-1.19922259],[[7.17239603]],0.9501669051025274,0.9826519156357295,0.9905583665555613,0.23838902099851111,0.23839092254638672
48,arxiv,2,6,"{'imb', 'deg'}",0.85,[-1.35572407],[[6.74362754]],0.9499217527386542,0.9840576445721592,0.9920735476453988,0.19229072499911126,0.1922917366027832
49,arxiv,2,6,"{'imb', 'deg'}",0.95,[-1.69915327],[[6.48739401]],0.9454976303317536,0.9871485943775101,0.9942556711901832,1.0711079369993968,1.0711092948913574
50,arxiv,2,6,"{'emb', 'deg'}",0.05,[0.7995592],[[ 2.59107172 10.26345911]],0.7597983616887208,0.7710275650002184,0.8900236867510054,322.11169967800015,322.11170268058777
51,arxiv,2,6,"{'emb', 'deg'}",0.15,[0.51416336],[[ 3.81835157 12.44068641]],0.8409747165293331,0.9042378109712119,0.9562272498327851,298.60915461999866,298.60915756225586
52,arxiv,2,6,"{'emb', 'deg'}",0.25,[0.17843403],[[ 4.4277392  12.06389123]],0.8927724181559387,0.9476193108679377,0.9767937347621021,320.61555990600027,320.61556220054626
53,arxiv,2,6,"{'emb', 'deg'}",0.35,[-0.24925785],[[ 5.35354865 11.4722114 ]],0.9089655172413793,0.9667348680484678,0.9855290225625775,237.3427957900003,237.34279680252075
54,arxiv,2,6,"{'emb', 'deg'}",0.44999999999999996,[-0.46053613],[[ 5.6919812  10.33055518]],0.9193215178862673,0.9742081951251329,0.9888939739871958,208.8341896719994,208.83419060707092
55,arxiv,2,6,"{'emb', 'deg'}",0.5499999999999999,[-0.92815496],[[6.00683379 9.88325301]],0.9336072091174132,0.9815131941835621,0.9919736066723005,200.24101378600062,200.2410147190094
56,arxiv,2,6,"{'emb', 'deg'}",0.65,[-0.93513172],[[5.03088781 8.56128184]],0.9412872304005477,0.9854967187649021,0.9937868320929802,191.61060254900076,191.6106035709381
57,arxiv,2,6,"{'emb', 'deg'}",0.75,[-1.15262685],[[4.53827649 8.31986749]],0.9470040582477919,0.9875483600934243,0.9943709723637275,179.65880485600064,179.6588053703308
58,arxiv,2,6,"{'emb', 'deg'}",0.85,[-1.3713923],[[3.87532103 8.20963291]],0.9549800796812749,0.9893158037776872,0.9953229221580353,161.7499209109992,161.74992203712463
59,arxiv,2,6,"{'emb', 'deg'}",0.95,[-1.47686869],[[2.76555255 7.92225656]],0.962605548854041,0.9910052457520813,0.9956265040299823,138.6733312159995,138.67333269119263
60,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.05,[0.7070963],[[ 2.10855584 10.61919681]],0.770539314516129,0.7794175880090408,0.8960351862972225,220.91524897499949,220.9152500629425
61,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.15,[0.35588931],[[ 3.78106376 12.70901674]],0.8521573604060914,0.9096079358273876,0.9585468033517073,221.19484949199978,221.1948504447937
62,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.25,[0.03022795],[[ 4.66940733 12.25167733]],0.8957735247208931,0.9545587138661324,0.9797986034825317,218.70126845199957,218.70126962661743
63,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.35,[-0.1270456],[[ 5.47587736 10.99606588]],0.9041954817888428,0.9642459188680526,0.9844771570196837,211.07115591799993,211.07115697860718
64,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.44999999999999996,[-0.63044551],[[ 6.03525325 10.51112165]],0.9223206568712187,0.9773197958312474,0.9901139889048646,205.80132581500038,205.8013265132904
65,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.5499999999999999,[-0.78573599],[[6.10498019 9.69535935]],0.9313895947572556,0.980827420134119,0.9919145857950047,202.92035126299925,202.92035222053528
66,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.65,[-1.02545161],[[5.34252148 8.88249777]],0.9399038461538461,0.9852073077135824,0.9936209143330376,194.08910296000067,194.08910393714905
67,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.75,[-1.14230188],[[4.64403983 8.32158086]],0.9516245487364621,0.9877406026374252,0.994823616963063,182.00175151900112,182.00175213813782
68,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.85,[-1.37844819],[[3.56282534 8.04361071]],0.9509687623566627,0.9872215342832873,0.9939741999701666,164.93191057500007,164.93191146850586
69,arxiv,2,6,"{'imb', 'emb', 'deg'}",0.95,[-1.38900311],[[2.71471833 7.72503748]],0.9616766467065868,0.9897542387981961,0.9943475710217304,141.4690237979994,141.46902465820312
70,drosophila,1,2,{'imb'},0.05,[2.64575752],[[0.]],0.9298698108572833,0.5,0.9649349054286416,0.07000074300049164,0.07000231742858887
71,drosophila,1,2,{'imb'},0.15,[2.56976319],[[0.]],0.930267604347429,0.5,0.9651338021737145,0.0661241540001356,0.06612515449523926
72,drosophila,1,2,{'imb'},0.25,[2.5832765],[[0.]],0.9301569275242618,0.5,0.9650784637621309,0.0600850190003257,0.06008577346801758
