,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,2,{'emb'},0.05,0.0,[-0.09252956],0.19553072625698323,0.42876984126984125,0.7537993304537042
1,london,1,2,{'emb'},0.14,0.0,[-0.23171694],0.1945288753799392,0.3069575471698114,0.6956044222101813
2,london,1,2,{'emb'},0.22999999999999998,0.0,[2.06131329e-07],0.8222996515679443,0.8536889332003987,0.9607082555325802
3,london,1,2,{'emb'},0.32,0.0,[2.06167637e-07],0.812,0.8238130175034064,0.948135320886845
4,london,1,2,{'emb'},0.41,0.0,[1.01380493e-08],0.8034934497816594,0.7528985507246376,0.9162452103421004
5,london,1,2,{'emb'},0.49999999999999994,0.0,[2.05915288e-07],0.8080808080808081,0.8363486842105263,0.9452611674373387
6,london,1,2,{'emb'},0.5900000000000001,0.0,[2.05626202e-07],0.8165680473372781,0.8031790556334736,0.9370361885467281
7,london,1,2,{'emb'},0.68,0.0,[1.13725511e-08],0.7886178861788617,0.7918318794607454,0.9344219550209245
8,london,1,2,{'emb'},0.77,0.0,[2.05559176e-07],0.7804878048780488,0.6744791666666667,0.8745390247818099
9,london,1,2,{'emb'},0.86,0.0,[2.05526196e-07],0.8035714285714286,0.7575757575757575,0.9339798261823692
10,london,1,2,{'emb'},0.95,0.0,[2.05185938e-07],0.9230769230769231,0.5,0.9483130295630297
11,london,1,2,{'deg'},0.05,0.0,[1.9383176],0.2988826815642458,0.5847718253968254,0.8961922424849399
12,london,1,2,{'deg'},0.14,0.0,[3.15136534],0.44680851063829785,0.6972877358490566,0.9256204967128008
13,london,1,2,{'deg'},0.22999999999999998,0.0,[3.8283048],0.5818815331010453,0.8502409438351611,0.9570634579848118
14,london,1,2,{'deg'},0.32,0.0,[4.23444093],0.732,0.9021066974111729,0.9744678766061553
15,london,1,2,{'deg'},0.41,0.0,[4.25319533],0.8034934497816594,0.9321859903381642,0.9814624759409954
16,london,1,2,{'deg'},0.49999999999999994,0.0,[4.31094477],0.8686868686868687,0.9624177631578947,0.9908164939747571
