,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,london,1,2,{'imb'},0.05,0.6931551864204062,[0.],0.8153409090909091,0.5,0.9076704545454546,-1.0
1,london,1,2,{'imb'},0.1,1.0982178690178603,[0.],0.8130563798219584,0.5,0.9065281899109792,-1.0
2,london,1,2,{'imb'},0.15,1.767594839369794,[0.],0.8,0.5,0.9,-1.0
3,london,1,2,{'imb'},0.2,1.886883788268857,[0.],0.7912457912457912,0.5,0.8956228956228955,-1.0
4,london,1,2,{'imb'},0.25,1.5234908135443415,[0.],0.802158273381295,0.5,0.9010791366906474,-1.0
5,london,1,2,{'imb'},0.3,1.6999168717301736,[0.],0.788,0.5,0.894,-1.0
6,london,1,2,{'imb'},0.35,1.4267763724762281,[0.],0.8072289156626506,0.5,0.9036144578313253,-1.0
7,london,1,2,{'imb'},0.39999999999999997,1.4465109903912359,[0.],0.8053097345132744,0.5,0.9026548672566372,-1.0
8,london,1,2,{'imb'},0.44999999999999996,1.3486842087622082,[0.],0.8173076923076923,0.5,0.9086538461538461,-1.0
9,london,1,2,{'imb'},0.49999999999999994,1.4548474856010136,[0.],0.8031914893617021,0.5,0.9015957446808511,-1.0
10,london,1,2,{'imb'},0.5499999999999999,1.5686076744314288,[0.],0.7823529411764706,0.5,0.8911764705882352,-1.0
11,london,1,2,{'imb'},0.6,1.4437161709884418,[0.],0.803921568627451,0.5,0.9019607843137255,-1.0
12,london,1,2,{'imb'},0.65,1.3490016807922525,[0.],0.8285714285714286,0.5,0.9142857142857144,-1.0
13,london,1,2,{'imb'},0.7,1.5485227256502867,[0.],0.7704918032786885,0.5,0.8852459016393442,-1.0
14,london,1,2,{'imb'},0.75,1.4443379374117213,[0.],0.8,0.5,0.9,-1.0
15,london,1,2,{'imb'},0.7999999999999999,1.3901468140332705,[0.],0.835820895522388,0.5,0.917910447761194,-1.0
16,london,1,2,{'imb'},0.85,1.3666903783797089,[0.],0.8679245283018868,0.5,0.9339622641509434,-1.0
17,london,1,2,{'imb'},0.9,1.4574380137859526,[0.],0.7647058823529411,0.5,0.8823529411764706,-1.0
18,london,1,2,{'imb'},0.95,1.4354058928913669,[0.],0.7857142857142857,0.5,0.8928571428571428,-1.0
19,london,1,2,{'emb'},0.05,0.0,[-4.67263114],0.4375,0.2796569284374163,0.7072751158047448,-1.0
20,london,1,2,{'emb'},0.1,0.0,[-8.66850805],0.3323442136498516,0.3604449078901634,0.7324893229215778,-1.0
21,london,1,2,{'emb'},0.15,0.0,[-2.92278622],0.31076923076923074,0.2672189349112426,0.6873558804417363,-1.0
22,london,1,2,{'emb'},0.2,0.0,[2.71040052],0.7474747474747475,0.7789979409746053,0.931138652762235,-1.0
23,london,1,2,{'emb'},0.25,0.0,[1.88103333],0.7949640287769785,0.8322054626987363,0.952437988717254,-1.0
24,london,1,2,{'emb'},0.3,0.0,[4.21950113],0.832,0.8499185901733551,0.9468431600480558,-1.0
25,london,1,2,{'emb'},0.35,0.0,[3.43935057],0.8433734939759037,0.8864013266998342,0.9678890844585692,-1.0
26,london,1,2,{'emb'},0.39999999999999997,0.0,[3.85570779],0.831858407079646,0.8414085914085914,0.9495343257430521,-1.0
27,london,1,2,{'emb'},0.44999999999999996,0.0,[5.27229975],0.8701923076923077,0.8396284829721362,0.9471434906753434,-1.0
28,london,1,2,{'emb'},0.49999999999999994,0.0,[4.43116602],0.8670212765957447,0.9237515661356721,0.9792159923575785,-1.0
29,london,1,2,{'emb'},0.5499999999999999,0.0,[5.90369803],0.8764705882352941,0.9426945742735215,0.9813465591622191,-1.0
30,london,1,2,{'emb'},0.6,0.0,[4.81208521],0.8562091503267973,0.9195121951219511,0.9804935947269844,-1.0
31,london,1,2,{'emb'},0.65,0.0,[5.30600212],0.9357142857142857,0.8767959770114944,0.96232188959867,-1.0
32,london,1,2,{'emb'},0.7,0.0,[4.97028836],0.8360655737704918,0.9270516717325227,0.9782742356010324,-1.0
33,london,1,2,{'emb'},0.75,0.0,[4.75022064],0.8444444444444444,0.9699074074074074,0.9928335903766365,-1.0
34,london,1,2,{'emb'},0.7999999999999999,0.0,[4.05678931],0.9253731343283582,0.9415584415584416,0.9862515738427283,-1.0
35,london,1,2,{'emb'},0.85,0.0,[4.11229353],0.9433962264150944,0.9937888198757764,0.9990845667591736,-1.0
36,london,1,2,{'emb'},0.9,0.0,[3.74765323],0.9411764705882353,1.0,1.0,-1.0
37,london,1,2,{'emb'},0.95,0.0,[3.71214298],0.9285714285714286,1.0,1.0,-1.0
38,london,1,2,{'deg'},0.05,0.0,[25.18156005],0.3068181818181818,0.632028946663093,0.9290805136626393,-1.0
39,london,1,2,{'deg'},0.1,0.0,[32.57191882],0.4065281899109792,0.6982968369829684,0.9207411489384554,-1.0
40,london,1,2,{'deg'},0.15,0.0,[23.80328434],0.49538461538461537,0.7318639053254438,0.9321335751798334,-1.0
41,london,1,2,{'deg'},0.2,0.0,[22.86309172],0.5622895622895623,0.7686684969114619,0.9413246240361509,-1.0
42,london,1,2,{'deg'},0.25,0.0,[24.27852454],0.6870503597122302,0.8736241337138198,0.9707460871714668,-1.0
43,london,1,2,{'deg'},0.3,0.0,[19.45843621],0.704,0.8718034671008524,0.9555522003926429,-1.0
44,london,1,2,{'deg'},0.35,0.0,[34.27665195],0.7389558232931727,0.8870232172470979,0.9652813848247178,-1.0
45,london,1,2,{'deg'},0.39999999999999997,0.0,[29.75170307],0.7920353982300885,0.9255744255744255,0.982855845443585,-1.0
46,london,1,2,{'deg'},0.44999999999999996,0.0,[22.13053467],0.8269230769230769,0.946594427244582,0.9847595612535616,-1.0
