,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
0,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.05,-0.002859446965881404,[-20.14685099942908],0.543908472479901,0.5664170861002757,0.5621115730339403,-1.0,-20.14685099942908,
1,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.075,0.1737772413253178,[-17.28681380282443],0.5998094330633635,0.6364238604334922,0.6282859459955275,-1.0,-17.28681380282443,
2,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.1,0.024582168554766578,[-18.32086422739028],0.5937347038668624,0.6301941763080412,0.6221867133446608,-1.0,-18.32086422739028,
3,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.125,0.05255676541703247,[-23.49413554702159],0.6273427041499331,0.6803624562120749,0.6609399114158501,-1.0,-23.49413554702159,
4,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.15,0.03486303925296577,[-22.590323185928607],0.6077414895455331,0.657994983277592,0.6488162647870253,-1.0,-22.590323185928607,
5,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.175,0.09986904243564523,[-28.61197839537354],0.6399155227032735,0.6963743049429583,0.6861872017581456,-1.0,-28.61197839537354,
6,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.2,-0.28212115522313747,[-19.332624575262756],0.6621820862513822,0.7272279419686702,0.719152279131829,-1.0,-19.332624575262756,
7,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.22499999999999998,-0.0377760536532433,[-25.386048365136407],0.6615210843373494,0.7234320896469256,0.7080653601776964,-1.0,-25.386048365136407,
8,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.25,0.021226337763997277,[-23.017238485928203],0.6542729219388749,0.7202819399286056,0.718046006006284,-1.0,-23.017238485928203,
9,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.27499999999999997,0.07068052863993943,[-21.615299604379693],0.682996529904062,0.7443936014509424,0.7394240869365376,-1.0,-21.615299604379693,
10,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.3,-0.21622185628775648,[-28.22119917451055],0.6803586321934946,0.7522208628858567,0.7504756997726715,-1.0,-28.22119917451055,
11,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.32499999999999996,0.14659143620611306,[-21.47802767036731],0.682800345721694,0.7483916150521188,0.742022816836964,-1.0,-21.47802767036731,
12,LFR_gamma-2.9,1,2,"{'imb', 'emb'}",0.35,0.12691493253214242,[-25.19322274302924],0.6899103139013453,0.7602459440844214,0.748619234711651,-1.0,-25.19322274302924,
