,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
0,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.05,-27.79189733671337,[-1103.7401293032024],0.7201431825577611,0.7786017107321839,0.7975345758303835,-1.0,-1103.7401293032024,
1,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.075,-0.8335067802885904,[-48.147165573966944],0.7483243967828418,0.8168386695944524,0.7933233485401437,-1.0,-48.147165573966944,
2,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.1,-0.3853991026175621,[-49.75435364135143],0.7653497520095776,0.8388769338699209,0.8248533094562234,-1.0,-49.75435364135143,
3,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.125,-0.7005739270870195,[-38.14004502861429],0.7908172309874136,0.8567550240786204,0.8350440843690254,-1.0,-38.14004502861429,
4,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.15,-0.17963992609809548,[-27.56405248996819],0.8017445029983645,0.8744667305088664,0.8627632894177322,-1.0,-27.56405248996819,
5,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.175,-0.09607439324147722,[-22.427437827691165],0.8024367385192127,0.8718338837748576,0.8603143122177196,-1.0,-22.427437827691165,
6,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.2,-0.25998415511478257,[-26.23232384548121],0.8163502518403719,0.8806520109073795,0.8692878522213443,-1.0,-26.23232384548121,
7,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.22499999999999998,-0.036393582905473634,[-22.8646273203404],0.811014263074485,0.8783813822412442,0.8652189119294954,-1.0,-22.8646273203404,
8,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.25,-0.31902856828785936,[-18.74066543269011],0.8155720776538621,0.8832409820111136,0.8762212159267531,-1.0,-18.74066543269011,
9,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.27499999999999997,-0.16816864535857745,[-18.446428774518342],0.8108852181279119,0.8811119970031175,0.8681658745147712,-1.0,-18.446428774518342,
