theta,acc,auc,pr
0.05,0.9757328207592504,0.9640426969016459,0.9400352251295682
0.14,0.9765013054830287,0.9626251917006438,0.9331258477778118
0.22999999999999998,0.9783767772511849,0.9662552307130621,0.9441422956499437
0.32,0.9760655737704919,0.9619824312685408,0.926540698755643
0.41,0.9758342922899885,0.9619599954328923,0.9314162869346603
0.49999999999999994,0.9769021739130435,0.965994254283644,0.940836433896688
0.5900000000000001,0.9787234042553191,0.9674821331780861,0.9382586366776708
0.68,0.9755555555555555,0.9584501153370893,0.9315417452158309
0.77,0.9758064516129032,0.9651610644257702,0.9321304933741998
0.86,0.971830985915493,0.9558840910881725,0.9312579639501612
0.95,0.9765258215962441,0.9534318140875518,0.9231634855212918
