,T2,theta,dim,intercept,coefs,accuracy,auroc,aupr
0,1.0,0.05,10,-1.6869161513422573,[-42.19997167 174.30720854],0.5659770114942528,0.5916593191464714,0.5799996564874806
1,1.0,0.05,19,12.640343507358141,[-105.04267039  432.30496913],0.5501149425287356,0.5884377547894875,0.6048792323083124
2,1.0,0.05,28,1.657062393149562,[-42.51753405 102.19881774],0.5680459770114943,0.6115323971208009,0.6134139361503161
3,1.0,0.05,37,0.142785553493318,[-31.85800257  61.25032102],0.5855172413793104,0.6320406982508215,0.627544992345017
4,1.0,0.05,46,1.7878379750699243,[-43.67419728  76.72659962],0.6048275862068966,0.6567578548355492,0.6572463858536153
5,1.0,0.05,55,1.5377066537970583,[-45.3354665   71.47702035],0.6057471264367816,0.6613704627785654,0.6595362368297183
6,1.0,0.05,64,1.2566357952728935,[-41.86901257  71.60246233],0.6119540229885058,0.6819747343953362,0.6903669074746581
7,1.0,0.05,73,0.7947804684512005,[-48.01775856  73.25766264],0.5958620689655172,0.6691316002698164,0.683102109487522
8,1.0,0.05,82,0.9244853133352965,[-51.40990525  61.18905215],0.6094252873563218,0.6754292935324981,0.6848748186681413
9,1.0,0.05,91,-0.2675705860175324,[-55.53038105  55.29950455],0.5885057471264368,0.6602712413444239,0.6683573279642402
10,1.0,0.05,100,-0.33376440038045596,[-58.4163401   42.19522627],0.5891954022988506,0.6561356320872037,0.6594828054713029
11,1.0,0.14,10,0.468534088593361,[-7.8939741  32.17391697],0.6135670731707317,0.6717491737074631,0.6559222631316026
12,1.0,0.14,19,0.32553562382004175,[-21.92111278  50.52339862],0.6138211382113821,0.6744604924886839,0.6653704790189001
13,1.0,0.14,28,0.2702387306774931,[-29.93285882  59.13663729],0.6346544715447154,0.6981827889997039,0.697318991490952
14,1.0,0.14,37,-0.546010353935667,[-34.45508255  57.94840138],0.6539634146341463,0.7283287499196365,0.731187020400022
15,1.0,0.14,46,1.3309112178061935,[-473.71309499  740.89661977],0.6869918699186992,0.7373946656139145,0.7617750674671081
16,1.0,0.14,55,6.083102694834361,[-257.66357765  352.26660168],0.6925813008130082,0.7589576669180638,0.7764980711989284
17,1.0,0.14,64,2.3726080785669863,[-43.93437581  56.78565815],0.6814024390243902,0.7762747600517736,0.7911238643265952
18,1.0,0.14,73,4.618280433047718,[-115.92941677  109.93453871],0.6758130081300813,0.7699220996105626,0.7866688009130767
19,1.0,0.14,82,4.440766835757712,[-102.83724802   94.86015385],0.6758130081300813,0.7655008761889615,0.7809187967908929
20,1.0,0.14,91,4.57150466320179,[-105.8342946    90.73251493],0.665650406504065,0.7574827208617145,0.7735411340662323
21,1.0,0.14,100,3.023258752948091,[-76.36570224  68.2844983 ],0.6615853658536586,0.7487092124162444,0.7588289339627421
22,1.0,0.22999999999999998,10,0.3170062956835017,[-8.78787435 23.3063967 ],0.6312785388127854,0.6903832170055721,0.6698475589604465
23,1.0,0.22999999999999998,19,0.08071050980182484,[-13.28882248  23.4422663 ],0.651541095890411,0.7097962266019611,0.6955587450987187
24,1.0,0.22999999999999998,28,0.06938225468757311,[-17.21144107  26.06076474],0.6666666666666666,0.7294978836861391,0.7232494203451235
25,1.0,0.22999999999999998,37,-0.021397404430025427,[-17.70505143  26.53904585],0.6843607305936074,0.7575429517887022,0.7484104826847696
26,1.0,0.22999999999999998,46,-0.09025589640525992,[-21.5670552   27.68993811],0.709189497716895,0.7837469962417185,0.7824597324321201
27,1.0,0.22999999999999998,55,-0.0639538794036434,[-23.86145019  27.60351219],0.7220319634703196,0.7991570581152296,0.8025443282283176
28,1.0,0.22999999999999998,64,0.32906255752415825,[-31.80463631  32.73813442],0.7180365296803652,0.8068225059032648,0.8136391879235246
29,1.0,0.22999999999999998,73,0.08213492065671403,[-39.28722694  32.57598702],0.7194634703196348,0.810482399670564,0.8180305578485312
30,1.0,0.22999999999999998,82,0.2624514993565232,[-45.65033114  34.02975919],0.7146118721461188,0.8088576987432432,0.8177411113685531
31,1.0,0.22999999999999998,91,0.8718052746903359,[-54.06881     33.40459336],0.7123287671232876,0.8046785001277086,0.8127503059894513
32,1.0,0.22999999999999998,100,0.10025831805527255,[-44.82663428  25.86341143],0.71175799086758,0.795788418133578,0.7990838837026089
33,1.0,0.32,10,0.06358689800880976,[-9.97188665 16.15455487],0.6507481693728112,0.6989413935007806,0.6913485990293741
34,1.0,0.32,19,-0.012538621738522968,[-12.18049631  17.95553276],0.6669850366125438,0.7215864907052647,0.7177733508108715
35,1.0,0.32,28,-0.1402182505548273,[-14.41541803  19.28572054],0.6752626552053486,0.7494252873563219,0.7447819421921509
36,1.0,0.32,37,-0.09902316681660514,[-16.54252581  20.79493207],0.6953199617956065,0.7754582497111233,0.7732055313970438
37,1.0,0.32,46,-0.11184168135661328,[-19.16331352  21.4184771 ],0.7153772683858644,0.8049419205741046,0.8073743840065561
38,1.0,0.32,55,-0.06997196434189304,[-20.51597837  21.22847754],0.7281120662209487,0.8223669646658153,0.8272197963574004
39,1.0,0.32,64,-0.07785322809570971,[-25.05120398  21.54549579],0.7418019738936644,0.8314265442234792,0.8365846360674705
40,1.0,0.32,73,0.028809726569546636,[-32.73474904  23.34775102],0.7446673034065584,0.8336889051065297,0.8370347078363941
41,1.0,0.32,82,0.08305269760738584,[-36.50719534  21.26996099],0.7357529449219994,0.8283155952887753,0.8320864056751095
42,1.0,0.32,91,0.15668014427451213,[-41.17359962  19.7322167 ],0.7325692454632283,0.8189778831924426,0.8203455021667502
43,1.0,0.32,100,0.14958854921316614,[-42.20240446  16.67269919],0.7217446673034066,0.8082328853210079,0.8055082575853014
44,1.0,0.41,10,-0.1440007781782756,[-7.44215347 11.52329308],0.6434815659445078,0.6999693737214973,0.6789558213097815
45,1.0,0.41,19,-0.1820180843530885,[-8.78171636 12.07933949],0.6666666666666666,0.7304038045927861,0.7167159586222385
46,1.0,0.41,28,-0.2165527327941007,[-10.9337638   13.28853936],0.6735081717977955,0.7527708114230239,0.7490940955962663
47,1.0,0.41,37,-0.17644361221951363,[-11.61651867  14.19598983],0.6909920182440137,0.7762311186103761,0.7767221834479311
48,1.0,0.41,46,-0.08756383774143858,[-12.58386709  14.58865734],0.7092360319270239,0.799885006992037,0.8040600031802297
49,1.0,0.41,55,-0.022617771824155364,[-14.55091553  14.36866743],0.7274800456100342,0.8268794711477342,0.8329551425742263
50,1.0,0.41,64,0.06663030398770245,[-17.41431871  13.97368832],0.741543139490688,0.8427352155974435,0.8504530702703924
51,1.0,0.41,73,0.12510886902958374,[-19.51855983  13.32287314],0.7525655644241733,0.8458377153951946,0.8513853225026162
52,1.0,0.41,82,0.25253706542294185,[-22.63689227  12.69147669],0.7540858988977575,0.8440527234273696,0.8492188841990274
53,1.0,0.41,91,0.3452858155073223,[-23.61724213  11.82529503],0.7434435575826682,0.8348659955851931,0.8396718682906521
54,1.0,0.41,100,0.20853780244298079,[-23.0275804   10.66694737],0.733561383504371,0.8274035850081478,0.8324975414514056
55,1.0,0.49999999999999994,10,0.1660572812491851,[-8.45393523  9.83577556],0.6545936395759717,0.7146506010933227,0.7038545340600504
56,1.0,0.49999999999999994,19,0.2742802718290717,[-10.56781019  11.11671982],0.6625441696113075,0.7275902030177578,0.7278639932451753
57,1.0,0.49999999999999994,28,0.15908783468534465,[-10.74661316  11.55102446],0.6634275618374559,0.7501184237737188,0.756920168516777
58,1.0,0.49999999999999994,37,0.10657020155348701,[-11.8141726   11.84105892],0.6890459363957597,0.7801750408727851,0.7887076462070364
59,1.0,0.49999999999999994,46,0.0703676725935848,[-14.20197828  12.15509505],0.7080388692579506,0.8037848784351674,0.8139582433495989
60,1.0,0.49999999999999994,55,0.11687055655255399,[-16.06921786  12.20540662],0.7217314487632509,0.8204313200641478,0.830988524012545
61,1.0,0.49999999999999994,64,0.20084124749236823,[-17.6326986   11.65932433],0.7424911660777385,0.8345329186875446,0.8468223001386822
62,1.0,0.49999999999999994,73,0.25499387526260303,[-19.43831076  10.89592716],0.7566254416961131,0.8461513249025492,0.8581906984336268
63,1.0,0.49999999999999994,82,0.3304402826723265,[-20.12303464   9.99901229],0.7575088339222615,0.8453764003074726,0.8552222649283157
64,1.0,0.49999999999999994,91,0.32191724246508535,[-20.37174957   9.34941408],0.7526501766784452,0.8412629788163866,0.8504325345763302
65,1.0,0.49999999999999994,100,0.27237036394244624,[-20.93726086   8.82574377],0.7486749116607774,0.8356871115134442,0.8429275484238152
66,1.0,0.5900000000000001,10,0.022399378374442593,[-7.2171374   8.62906343],0.6759116589625064,0.7369288563408818,0.7325981506368135
67,1.0,0.5900000000000001,19,0.14314058857091935,[-9.04658288  9.88490918],0.6887519260400616,0.7592184960850938,0.7480019289947402
68,1.0,0.5900000000000001,28,0.047538310278061505,[-10.22726569  10.60008838],0.6974833076527992,0.782975961842855,0.7735638742596338
69,1.0,0.5900000000000001,37,-0.009424167707717236,[-10.90919607  11.02043621],0.7139188495120699,0.8062237511343731,0.8004708269695182
70,1.0,0.5900000000000001,46,0.03014393534067358,[-12.36176828  11.41991769],0.7318952234206472,0.8256653230061414,0.8236787344824328
71,1.0,0.5900000000000001,55,0.12442539880772316,[-13.59846806  11.38854798],0.7473035439137135,0.8439545828672731,0.8455461016472541
72,1.0,0.5900000000000001,64,0.036237953916318726,[-14.48353391  10.77237907],0.7611710323574731,0.8573064179135976,0.861709771136215
73,1.0,0.5900000000000001,73,0.0710957569751752,[-14.6050747    9.63630776],0.7642526964560863,0.8642107929004073,0.8688683970109381
74,1.0,0.5900000000000001,82,0.15523075906727893,[-15.83756788   9.17136507],0.7627118644067796,0.8662389464575903,0.870650176522916
75,1.0,0.5900000000000001,91,0.2038425814492914,[-16.40345418   8.20185127],0.7621982537236774,0.8610968068716629,0.8642916851047484
