system,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6661595029795867,0.714743276166055,0.6905937905734414,0.02920423411031815,-15.903688648267476,-13.22140272833893
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6660145990689924,0.7110169143960416,0.6848248406104258,0.028237289040787216,-14.107555109299433,-13.012252398479955
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6701443605209295,0.7171340857435788,0.6899259674389804,0.0397010463093571,-14.386238891663698,-13.555784729734038
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6685685304932167,0.7170437783410915,0.6910166299839889,0.044997427351993136,-15.154846901950783,-13.409301148475569
LFR,0.05,HOPE,0.5,2.1,1.0,1,0.6823286688195191,0.7326938194902289,0.7061536618797486,-0.014813379123569998,-15.531193334846693,-14.210995031919174
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7033630958071239,0.7602269226300522,0.7391484177718481,0.03773057929093754,-13.077287985210857,-11.76277179334656
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7065369099286848,0.7622070661286121,0.742702728186316,0.026497150529917107,-13.11983142941538,-11.882326320398299
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7033248570827677,0.7635928428465093,0.7443697523201084,0.045334859413438636,-12.983208855214228,-12.06647929993121
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7022732921629734,0.7580102206789461,0.7376040647861992,0.045694127631017364,-12.781975431814969,-11.915163164205334
LFR,0.10,HOPE,0.5,2.1,1.0,1,0.7170397303336742,0.7767901191661114,0.7572196137330716,-0.006592276788941329,-13.524603955093381,-12.145119169192991
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7203563113675473,0.786398149495763,0.7713274692272267,0.04513610068087095,-12.414626104112932,-10.191774086175027
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7254580423119749,0.7887417817207993,0.7731548263423297,0.0261937542807598,-11.879445759317539,-10.531358162778059
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7242230995039984,0.7875328366393892,0.7726120393999427,0.05325003945153102,-12.385918015225052,-10.387165918428648
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7260249013058002,0.7889675498572463,0.7718000411403108,0.04069564927550482,-12.175595184900116,-10.685071028651505
LFR,0.15,HOPE,0.5,2.1,1.0,1,0.7369866859159449,0.8033438750458151,0.78751839147836,-0.0020380029688603744,-12.76689231837724,-10.671154140692202
LFR,0.20,HOPE,0.5,2.1,1.0,1,0.7350239831365211,0.8043079513678448,0.7932680242623482,0.04286696977024113,-11.622800149471642,-9.255509879551253
LFR,0.20,HOPE,0.5,2.1,1.0,1,0.7395409864274806,0.8067222334757655,0.7949352393331393,0.025803794111558347,-11.656179688482487,-9.338049378961323
LFR,0.20,HOPE,0.5,2.1,1.0,1,0.738250414058635,0.8049119876887653,0.7927358073587993,0.04724940955041303,-11.721593497152083,-9.158957236686538
LFR,0.20,HOPE,0.5,2.1,1.0,1,0.7387021143877309,0.8065673570170199,0.7930396205612549,0.032273881990798337,-11.75780585630388,-9.359447780075703
LFR,0.20,HOPE,0.5,2.1,1.0,1,0.7501597852486258,0.820378773179759,0.8084616425299953,0.008580733118354595,-12.441082911724756,-9.427776058211354
LFR,0.25,HOPE,0.5,2.1,1.0,1,0.7430767465871286,0.8152447121405091,0.807288736857169,0.037060320047613365,-11.596312740405201,-8.143254929140623
LFR,0.25,HOPE,0.5,2.1,1.0,1,0.7494092004129861,0.8199606454276209,0.8101664693504141,0.020631968016155227,-11.70526177796359,-8.424378239345643
LFR,0.25,HOPE,0.5,2.1,1.0,1,0.7456005506481588,0.8174433385128919,0.8077488102824574,0.029343964768221254,-11.477912419607554,-8.119230406372175
LFR,0.25,HOPE,0.5,2.1,1.0,1,0.7493002340200982,0.8216838398294806,0.811023161354797,0.022352602555361572,-11.663499056511995,-8.289030874621552
LFR,0.25,HOPE,0.5,2.1,1.0,1,0.7587828932418307,0.8329164762993393,0.823965912641322,-0.0016959001647296643,-11.99976470984781,-8.324470250798566
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7509771626637823,0.8245941919885387,0.8168006336348208,0.04245226955730302,-11.433698259621485,-7.296111792313173
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7556478772831191,0.8294048715386036,0.8208743962282905,0.011192361394940509,-11.459703002513647,-7.536034795302411
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7533677482792527,0.8262618233395116,0.8177906015919955,0.021453890124915154,-11.368689955545921,-7.236878508043333
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.755039331366765,0.8291776725767911,0.8217476110060626,0.05942910768652564,-11.0795156494126,-7.458746167881655
LFR,0.30,HOPE,0.5,2.1,1.0,1,0.7672380210362291,0.8429244262149918,0.834563481785732,-0.0008866770757626799,-11.491032713819925,-7.410541464068059
LFR,0.35,HOPE,0.5,2.1,1.0,1,0.7578429036613454,0.8333431202724262,0.8256852491306257,0.02462330345564532,-11.441181447989301,-6.607915478916563
LFR,0.35,HOPE,0.5,2.1,1.0,1,0.7611786196489556,0.836344812746725,0.828727541337256,0.01326780837758223,-11.543698958225734,-6.66941669204522
LFR,0.35,HOPE,0.5,2.1,1.0,1,0.7581140466987876,0.8332499347686412,0.8255982557708854,0.02446092198927871,-11.24589066233153,-6.4989240501946925
LFR,0.35,HOPE,0.5,2.1,1.0,1,0.7638322655794991,0.8391863209102555,0.8331220954386034,0.045964800481296406,-11.072077771053504,-6.751028631386508
LFR,0.35,HOPE,0.5,2.1,1.0,1,0.7708584613771042,0.8484657541472862,0.8417277255950836,0.016007430062698384,-11.212115336898822,-6.73884566714919
LFR,0.40,HOPE,0.5,2.1,1.0,1,0.7596868098775347,0.8382791560550147,0.8329998910689372,0.04613010028242622,-11.711980759757441,-5.972378320879877
LFR,0.40,HOPE,0.5,2.1,1.0,1,0.7647919235953767,0.8406806227060193,0.8315281457014103,-0.022978254793981592,-11.48095424228143,-5.990238161869404
LFR,0.40,HOPE,0.5,2.1,1.0,1,0.7602386142021338,0.8367692670693974,0.8311590792846754,0.029793675306465938,-11.46469330832208,-5.854768033771419
LFR,0.40,HOPE,0.5,2.1,1.0,1,0.7672937937363772,0.8444143156836814,0.839096005951562,0.04472911351681969,-11.38389717261403,-5.997899355000133
LFR,0.40,HOPE,0.5,2.1,1.0,1,0.7774968753550733,0.8555625741623472,0.8495819235664789,0.008057209746002,-11.42887259438343,-6.096056322215534
LFR,0.45,HOPE,0.5,2.1,1.0,1,0.7672548651523684,0.8441096750114216,0.837992659692559,0.019626826166605015,-11.915563260751945,-5.440815443608998
LFR,0.45,HOPE,0.5,2.1,1.0,1,0.7684365320234036,0.842346234424959,0.8353424943016592,0.03233299802244383,-11.563057511061846,-5.424121646867524
LFR,0.45,HOPE,0.5,2.1,1.0,1,0.7629372379700895,0.838271615336216,0.8313665883628873,0.023025497390516573,-11.645410553995456,-5.387393049994051
LFR,0.45,HOPE,0.5,2.1,1.0,1,0.7710790601633138,0.8482206728253274,0.8415346853013979,0.004419830273117871,-11.633208962331148,-5.357973026524319
LFR,0.45,HOPE,0.5,2.1,1.0,1,0.7854663774403471,0.8616109754915936,0.8555987340419295,0.0055526649350638975,-11.671296355794963,-5.4571294195759705
LFR,0.50,HOPE,0.5,2.1,1.0,1,0.7702023678414097,0.8472470021053072,0.8424952786004704,-0.0002504254833553091,-12.331956035503744,-4.91575022558254
LFR,0.50,HOPE,0.5,2.1,1.0,1,0.7705888426196785,0.8459465604511742,0.8389044554148983,0.010125902623610282,-11.83382116090881,-4.909667068298403
LFR,0.50,HOPE,0.5,2.1,1.0,1,0.7659164429761167,0.8432787927756942,0.8375748128014744,0.019981928535500185,-11.946422649375547,-4.869247736866859
LFR,0.50,HOPE,0.5,2.1,1.0,1,0.7712240613923397,0.8499580140570842,0.8441213833198652,-0.0009785909131637348,-11.932800841640418,-4.916918735542062
LFR,0.50,HOPE,0.5,2.1,1.0,1,0.7875110777830799,0.8657113163271115,0.8592438114583172,-0.013962644470233949,-11.988334288607843,-4.971973154377676
LFR,0.55,HOPE,0.5,2.1,1.0,1,0.776001835423677,0.8530929343019575,0.8487957016009895,-0.0028861282229241856,-12.733453869841663,-4.46215992161959
LFR,0.55,HOPE,0.5,2.1,1.0,1,0.7725134794080533,0.8504102569795614,0.8445883030533494,0.008366123895257252,-12.25429632778985,-4.4142371234920414
LFR,0.55,HOPE,0.5,2.1,1.0,1,0.7708014683389416,0.8475326858666662,0.8400559200779697,-0.019385352971624276,-12.241693585158337,-4.439378405238535
LFR,0.55,HOPE,0.5,2.1,1.0,1,0.7796428707987612,0.8549953421989569,0.848408846090888,-0.005420383643007521,-12.522515167575719,-4.421857902323768
LFR,0.55,HOPE,0.5,2.1,1.0,1,0.7903726708074534,0.8680836588067056,0.8621670633144853,-0.014151466220860392,-12.25797078657638,-4.443402179818665
LFR,0.60,HOPE,0.5,2.1,1.0,1,0.7778877177887717,0.855433463752886,0.851375151489139,0.006103835225095938,-13.103506552391456,-3.990347762724205
LFR,0.60,HOPE,0.5,2.1,1.0,1,0.7760616099470808,0.853047761495147,0.8481242088500023,0.008204549198827411,-12.700061037044563,-3.9876264453597323
LFR,0.60,HOPE,0.5,2.1,1.0,1,0.7743933918430562,0.8519142056693298,0.8449279231684536,-0.010738480950422829,-12.753864159364658,-3.999250856792188
LFR,0.60,HOPE,0.5,2.1,1.0,1,0.7800817380081738,0.8569758914599941,0.8496425934298961,-0.017242149861605657,-13.001713567442868,-3.9795523608651
LFR,0.60,HOPE,0.5,2.1,1.0,1,0.7907115466553046,0.8682930479563155,0.8614295335805685,0.01667802926060198,-12.654701633512643,-4.039896059017069
