,walk_length,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
0,3,"(0, 1)",True,d_G,0.22770995,1,inverse,0.51361006
1,3,"(99, 0)",False,d_G,0.17275618,0,inverse,0.58715576
2,3,"(2, 1)",True,d_G,0.22125573,1,inverse,0.51311636
3,3,"(3, 2)",True,d_G,0.17270862,1,inverse,0.60277385
4,3,"(3, 4)",True,d_G,0.20274703,1,inverse,0.5219107
5,3,"(4, 5)",False,d_G,0.24457912,1,inverse,0.4669085
6,3,"(6, 5)",True,d_G,0.23752265,1,inverse,0.5074531
7,3,"(9, 8)",False,d_G,0.27777195,1,inverse,0.40070266
8,3,"(10, 9)",False,d_G,0.2194,1,inverse,0.43050104
9,3,"(13, 14)",True,d_G,0.17058246,1,inverse,0.55932724
10,3,"(15, 14)",True,d_G,0.19282407,1,inverse,0.51766175
11,3,"(17, 16)",True,d_G,0.16837357,1,inverse,0.5586521
12,3,"(23, 24)",False,d_G,0.19658895,1,inverse,0.4938777
13,3,"(24, 25)",False,d_G,0.24476719,1,inverse,0.433943
14,3,"(29, 28)",True,d_G,0.17815028,1,inverse,0.5333987
15,3,"(29, 30)",True,d_G,0.20214479,1,inverse,0.51107585
16,3,"(32, 31)",False,d_G,0.23930691,1,inverse,0.43812877
17,3,"(34, 33)",False,d_G,0.24347465,1,inverse,0.42730856
18,3,"(35, 34)",True,d_G,0.20727152,1,inverse,0.5014422
19,3,"(36, 37)",True,d_G,0.16807556,1,inverse,0.5405903
20,3,"(38, 37)",True,d_G,0.19851518,1,inverse,0.52081543
21,3,"(40, 39)",True,d_G,0.24077167,1,inverse,0.5214314
22,3,"(41, 40)",False,d_G,0.2465497,1,inverse,0.47735664
23,3,"(41, 42)",False,d_G,0.2638947,1,inverse,0.39220238
24,3,"(43, 44)",False,d_G,0.23688182,1,inverse,0.45858258
25,3,"(45, 44)",False,d_G,0.21641366,1,inverse,0.48255435
26,3,"(46, 45)",True,d_G,0.19988592,1,inverse,0.5331077
27,3,"(46, 47)",False,d_G,0.18824492,1,inverse,0.48986626
28,3,"(49, 48)",False,d_G,0.22631381,1,inverse,0.48334864
29,3,"(50, 51)",True,d_G,0.22629318,1,inverse,0.52917427
30,3,"(52, 51)",True,d_G,0.15688528,1,inverse,0.54939973
31,3,"(53, 54)",False,d_G,0.20742536,1,inverse,0.45748115
32,3,"(55, 56)",False,d_G,0.24991293,1,inverse,0.44391564
33,3,"(58, 59)",False,d_G,0.19327506,1,inverse,0.47670016
34,3,"(60, 59)",False,d_G,0.22976746,1,inverse,0.48523566
35,3,"(60, 61)",False,d_G,0.24647318,1,inverse,0.45732927
36,3,"(62, 61)",False,d_G,0.25585896,1,inverse,0.40764445
37,3,"(64, 63)",True,d_G,0.18229003,1,inverse,0.58804363
38,3,"(68, 67)",True,d_G,0.18956508,1,inverse,0.5087258
39,3,"(68, 69)",False,d_G,0.2588254,1,inverse,0.4104592
40,3,"(71, 70)",False,d_G,0.2374111,1,inverse,0.46447074
41,3,"(73, 74)",True,d_G,0.14327368,1,inverse,0.5770289
42,3,"(76, 75)",True,d_G,0.20824662,1,inverse,0.50629693
43,3,"(76, 77)",True,d_G,0.20490304,1,inverse,0.51942897
44,3,"(77, 78)",True,d_G,0.21492006,1,inverse,0.50844586
45,3,"(80, 81)",True,d_G,0.210827,1,inverse,0.5126448
46,3,"(83, 82)",True,d_G,0.15719926,1,inverse,0.5694039
47,3,"(86, 85)",False,d_G,0.22620502,1,inverse,0.47755173
48,3,"(86, 87)",True,d_G,0.18210736,1,inverse,0.55868846
49,3,"(88, 87)",True,d_G,0.2117485,1,inverse,0.5534943
50,3,"(90, 89)",False,d_G,0.21554787,1,inverse,0.46427318
51,3,"(91, 90)",False,d_G,0.26914436,1,inverse,0.4181517
52,3,"(92, 91)",True,d_G,0.17928624,1,inverse,0.5101579
53,3,"(94, 93)",True,d_G,0.20073165,1,inverse,0.52381426
54,3,"(95, 94)",True,d_G,0.176434,1,inverse,0.5520859
55,3,"(98, 99)",True,d_G,0.1812934,1,inverse,0.5403957
56,3,"(61, 78)",True,d_G,0.25478414,0,inverse,0.44571254
57,3,"(72, 74)",False,d_G,0.1399547,0,inverse,0.54010403
58,3,"(66, 91)",True,d_G,0.19650768,0,inverse,0.4650384
59,3,"(91, 8)",True,d_G,0.22488743,0,inverse,0.45213625
60,3,"(70, 8)",True,d_G,0.24950403,0,inverse,0.42442197
61,3,"(5, 70)",True,d_G,0.25348657,0,inverse,0.47033706
62,3,"(5, 98)",True,d_G,0.2167382,0,inverse,0.48173293
63,3,"(95, 26)",True,d_G,0.28086242,0,inverse,0.421409
64,3,"(88, 26)",True,d_G,0.20836706,0,inverse,0.45581934
65,3,"(18, 16)",False,d_G,0.15882127,0,inverse,0.53640604
66,3,"(56, 73)",True,d_G,0.21420254,0,inverse,0.46976826
67,3,"(63, 20)",True,d_G,0.23946284,0,inverse,0.4514385
68,3,"(94, 75)",True,d_G,0.20785323,0,inverse,0.49752337
69,3,"(6, 94)",True,d_G,0.21607561,0,inverse,0.39444768
70,3,"(76, 65)",True,d_G,0.22187695,0,inverse,0.46631926
71,3,"(45, 92)",True,d_G,0.19333753,0,inverse,0.49472478
72,3,"(45, 48)",False,d_G,0.19602703,0,inverse,0.5230143
73,3,"(48, 67)",True,d_G,0.22832406,0,inverse,0.4897627
74,3,"(67, 10)",True,d_G,0.23997134,0,inverse,0.3787797
75,3,"(10, 38)",True,d_G,0.26282626,0,inverse,0.46167877
76,3,"(60, 43)",True,d_G,0.26142752,0,inverse,0.40028808
77,3,"(80, 53)",False,d_G,0.18067652,0,inverse,0.5584679
78,3,"(28, 33)",True,d_G,0.20261337,0,inverse,0.47183132
79,3,"(33, 86)",True,d_G,0.25290805,0,inverse,0.44089237
80,3,"(86, 0)",True,d_G,0.22681312,0,inverse,0.46853232
81,3,"(34, 46)",False,d_G,0.16546482,0,inverse,0.57766914
82,3,"(31, 69)",True,d_G,0.24592283,0,inverse,0.4115163
83,3,"(39, 2)",True,d_G,0.22366646,0,inverse,0.45363697
84,3,"(47, 90)",True,d_G,0.23312394,0,inverse,0.46436173
85,3,"(51, 77)",False,d_G,0.1901715,0,inverse,0.5742983
86,3,"(24, 55)",True,d_G,0.25406086,0,inverse,0.41667783
87,3,"(79, 29)",False,d_G,0.23598006,0,inverse,0.5434788
88,3,"(97, 57)",False,d_G,0.20936926,0,inverse,0.5028679
89,3,"(1, 57)",False,d_G,0.24687809,0,inverse,0.50554156
90,3,"(1, 84)",False,d_G,0.19505364,0,inverse,0.52410805
91,3,"(84, 50)",True,d_G,0.19153546,0,inverse,0.48073554
92,3,"(50, 82)",False,d_G,0.15518086,0,inverse,0.53038454
93,3,"(82, 68)",True,d_G,0.23110326,0,inverse,0.47847635
94,3,"(68, 54)",True,d_G,0.2044703,0,inverse,0.4938863
95,3,"(93, 54)",False,d_G,0.17983006,0,inverse,0.5460323
96,3,"(4, 93)",False,d_G,0.22379495,0,inverse,0.50846523
97,3,"(96, 4)",False,d_G,0.16944064,0,inverse,0.52527094
98,3,"(9, 17)",True,d_G,0.20825969,0,inverse,0.49332288
99,3,"(83, 35)",True,d_G,0.2114472,0,inverse,0.45517117
100,3,"(81, 37)",False,d_G,0.18280466,0,inverse,0.538889
101,3,"(42, 81)",True,d_G,0.22622181,0,inverse,0.4564924
102,3,"(42, 85)",True,d_G,0.20861842,0,inverse,0.40359735
103,3,"(7, 21)",True,d_G,0.23077112,0,inverse,0.4490978
104,3,"(21, 44)",False,d_G,0.20258182,0,inverse,0.5288279
105,4,"(0, 1)",False,d_G,1.2681612,1,inverse,0.4324649
106,4,"(99, 0)",True,d_G,1.267561,0,inverse,0.47744173
107,4,"(2, 1)",True,d_G,1.0421345,1,inverse,0.6145091
108,4,"(3, 2)",True,d_G,0.67108756,1,inverse,0.68524694
109,4,"(3, 4)",True,d_G,0.635836,1,inverse,0.6374683
110,4,"(6, 5)",False,d_G,1.307349,1,inverse,0.4592122
111,4,"(9, 8)",True,d_G,0.94221944,1,inverse,0.5294751
112,4,"(13, 12)",True,d_G,0.5023067,1,inverse,0.7631714
113,4,"(13, 14)",True,d_G,0.74040043,1,inverse,0.6104089
114,4,"(17, 16)",False,d_G,0.9098631,1,inverse,0.49361217
115,4,"(21, 22)",True,d_G,0.771326,1,inverse,0.6123778
116,4,"(24, 25)",True,d_G,0.91208297,1,inverse,0.56006
117,4,"(25, 26)",True,d_G,0.8407991,1,inverse,0.6001048
118,4,"(27, 26)",True,d_G,0.52292025,1,inverse,0.6368369
119,4,"(28, 27)",True,d_G,0.44201884,1,inverse,0.7628031
120,4,"(29, 28)",True,d_G,0.61749345,1,inverse,0.62690526
121,4,"(29, 30)",True,d_G,0.93139356,1,inverse,0.5760763
122,4,"(31, 30)",False,d_G,1.1982418,1,inverse,0.48258373
123,4,"(33, 32)",True,d_G,0.6408949,1,inverse,0.6116363
124,4,"(34, 33)",True,d_G,0.59680223,1,inverse,0.592562
125,4,"(35, 36)",False,d_G,1.1941932,1,inverse,0.47320524
126,4,"(38, 37)",True,d_G,1.0211446,1,inverse,0.5329353
