,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
0,0.02,"(0, 1)",False,d_G,9.450945,1,inverse,0.48139307
1,0.02,"(99, 0)",True,d_G,8.865582,0,inverse,0.47546038
2,0.02,"(2, 1)",False,d_G,9.179567,1,inverse,0.4787435
3,0.02,"(2, 3)",True,d_G,9.016488,1,inverse,0.5089061
4,0.02,"(3, 4)",False,d_G,8.629424,1,inverse,0.49008864
5,0.02,"(4, 5)",True,d_G,8.46437,1,inverse,0.500813
6,0.02,"(6, 5)",False,d_G,8.558502,1,inverse,0.49385753
7,0.02,"(6, 7)",False,d_G,8.332127,1,inverse,0.49759662
8,0.02,"(8, 7)",False,d_G,8.595835,1,inverse,0.47594208
9,0.02,"(9, 10)",False,d_G,6.6822915,1,inverse,0.46534562
10,0.02,"(10, 11)",True,d_G,8.078064,1,inverse,0.5067822
11,0.02,"(12, 11)",True,d_G,8.441486,1,inverse,0.5090704
12,0.02,"(13, 12)",True,d_G,7.2194963,1,inverse,0.51669973
13,0.02,"(13, 14)",False,d_G,7.999704,1,inverse,0.49977022
14,0.02,"(15, 14)",True,d_G,7.6572514,1,inverse,0.5319646
15,0.02,"(16, 15)",True,d_G,8.458035,1,inverse,0.5171247
16,0.02,"(16, 17)",False,d_G,9.045311,1,inverse,0.4879262
17,0.02,"(18, 17)",False,d_G,7.530646,1,inverse,0.49480554
18,0.02,"(18, 19)",False,d_G,8.343759,1,inverse,0.49893275
19,0.02,"(19, 20)",True,d_G,6.2493796,1,inverse,0.5432517
20,0.02,"(21, 20)",True,d_G,7.9955664,1,inverse,0.51239264
21,0.02,"(22, 21)",True,d_G,8.640822,1,inverse,0.5021675
22,0.02,"(23, 22)",True,d_G,8.531541,1,inverse,0.5086889
23,0.02,"(23, 24)",True,d_G,8.549319,1,inverse,0.5013376
24,0.02,"(24, 25)",True,d_G,8.2434635,1,inverse,0.5177938
25,0.02,"(25, 26)",True,d_G,8.272266,1,inverse,0.5112313
26,0.02,"(26, 27)",False,d_G,8.802315,1,inverse,0.49663854
27,0.02,"(27, 28)",True,d_G,9.094234,1,inverse,0.50134873
28,0.02,"(29, 28)",True,d_G,8.437852,1,inverse,0.505345
29,0.02,"(29, 30)",True,d_G,8.913016,1,inverse,0.5134989
30,0.02,"(31, 30)",True,d_G,9.196453,1,inverse,0.5033253
31,0.02,"(31, 32)",True,d_G,8.523061,1,inverse,0.53143513
32,0.02,"(32, 33)",True,d_G,7.5826006,1,inverse,0.54063165
33,0.02,"(35, 34)",True,d_G,5.86752,1,inverse,0.5090519
34,0.02,"(36, 35)",False,d_G,8.494644,1,inverse,0.46589544
35,0.02,"(36, 37)",False,d_G,9.077581,1,inverse,0.49666265
36,0.02,"(38, 37)",False,d_G,8.072131,1,inverse,0.49274403
37,0.02,"(39, 38)",True,d_G,7.6097517,1,inverse,0.5119886
38,0.02,"(40, 39)",False,d_G,7.7558346,1,inverse,0.49114066
39,0.02,"(41, 40)",True,d_G,8.014484,1,inverse,0.5120663
40,0.02,"(41, 42)",False,d_G,8.555676,1,inverse,0.4985304
41,0.02,"(42, 43)",False,d_G,9.27658,1,inverse,0.4968708
42,0.02,"(43, 44)",False,d_G,9.501802,1,inverse,0.49817413
43,0.02,"(44, 45)",False,d_G,9.193371,1,inverse,0.49562967
44,0.02,"(46, 45)",True,d_G,8.689671,1,inverse,0.5033969
45,0.02,"(46, 47)",True,d_G,8.512237,1,inverse,0.51549214
46,0.02,"(48, 47)",True,d_G,8.930997,1,inverse,0.5062587
47,0.02,"(49, 48)",True,d_G,8.266146,1,inverse,0.52729505
48,0.02,"(50, 49)",False,d_G,8.617207,1,inverse,0.4805325
49,0.02,"(52, 51)",False,d_G,8.945137,1,inverse,0.4554902
50,0.02,"(52, 53)",True,d_G,8.153196,1,inverse,0.51521486
51,0.02,"(53, 54)",False,d_G,8.594168,1,inverse,0.4796958
52,0.02,"(55, 54)",False,d_G,8.681708,1,inverse,0.49142376
53,0.02,"(56, 55)",False,d_G,8.671731,1,inverse,0.49806193
54,0.02,"(56, 57)",False,d_G,8.835515,1,inverse,0.47403476
55,0.02,"(58, 57)",False,d_G,8.167519,1,inverse,0.48036298
56,0.02,"(58, 59)",False,d_G,8.220896,1,inverse,0.49970236
57,0.02,"(59, 60)",True,d_G,7.237392,1,inverse,0.52366626
58,0.02,"(61, 60)",True,d_G,7.807677,1,inverse,0.5079393
