_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
0,celegans,1,2,0.05,0.6563055062166963,0.5,-4.458398662022764e-15,-0.6931471828035355
1,celegans,1,2,0.05,0.6569407603890363,0.5082800294154375,2.746156386826341,-0.5604927032005176
2,celegans,1,2,0.05,0.6545293072824157,0.5045379552343447,-0.34568027172217203,-0.8359033094611029
3,celegans,1,2,0.05,0.6523642732049036,0.5,-1.2187593841559837e-14,-1.2685112670813155
4,celegans,1,2,0.05,0.6598939929328622,0.4587666684052226,2.634719975592373,-0.3467318726528532
5,celegans,1,2,0.1,0.6594948550046773,0.5,-1.5797627184212572e-15,-0.5389965038818503
6,celegans,1,2,0.1,0.6588124410933082,0.5305369154040105,-0.703795778042778,-0.6381628279088934
7,celegans,1,2,0.1,0.6505681818181818,0.5119111016437675,-0.5728953157956046,-0.912056824145583
8,celegans,1,2,0.1,0.651928504233302,0.5,-9.431459265234508e-16,-0.8473000642784938
9,celegans,1,2,0.1,0.6609848484848485,0.47987065998623357,-0.5186740653327988,-0.5159537710687434
10,celegans,1,2,0.15000000000000002,0.6623634558093346,0.5224071787635594,-0.6906298062137883,-0.5130042429194314
11,celegans,1,2,0.15000000000000002,0.6516064257028112,0.48964267793945904,-0.3537939932019908,-0.7683159020387829
12,celegans,1,2,0.15000000000000002,0.6610169491525424,0.46018321355691594,-0.848598186623521,-0.6374178459510066
13,celegans,1,2,0.15000000000000002,0.6584645669291339,0.5,6.901694649093361e-15,-0.6045937863864377
14,celegans,1,2,0.15000000000000002,0.6616616616616616,0.5227786716724769,-0.820508322337205,-0.6391581684328623
15,celegans,1,2,0.2,0.6620021528525296,0.516997569929166,-0.7581660284340118,-0.6194847350958498
16,celegans,1,2,0.2,0.6554621848739496,0.521229088492808,-0.8004952535366227,-0.691570179099325
17,celegans,1,2,0.2,0.6582809224318659,0.5312541152714981,-0.7754573242578309,-0.6774565146096578
18,celegans,1,2,0.2,0.6624605678233438,0.524222615015454,-0.7568089192990519,-0.6060285176311088
19,celegans,1,2,0.2,0.664218258132214,0.49242199842022116,-0.7598544725277436,-0.5471544739298403
20,celegans,1,2,0.25,0.6616628175519631,0.5446604601850034,-0.7569989440595791,-0.6201094782283465
21,celegans,1,2,0.25,0.6557191392978482,0.5167996091264431,-0.6220576536940268,-0.6343161070046167
22,celegans,1,2,0.25,0.645413870246085,0.5180308240709861,-0.7876052132158502,-0.8483675478691272
