_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
0,arxiv,2,6,0.05,0.7216799949625339,0.545437460147645,0.9941821534662116,-1.4816223878514094
1,arxiv,2,6,0.05,0.7193710691823899,0.5445556468995326,0.9944671627336479,-1.0661096520599165
2,arxiv,2,6,0.05,0.7222292191435769,0.5389605620724423,0.849770000568869,-1.378522370007891
3,arxiv,2,6,0.05,0.7234216655126833,0.5553085998967318,0.871035501810164,-0.9945426628980562
4,arxiv,2,6,0.05,0.7213805242974791,0.5436477799628372,0.9768978079781473,-1.6513495095140214
5,arxiv,2,6,0.15,0.7420581813059097,0.5757415732741924,0.8852908025334629,-1.6790336234359284
6,arxiv,2,6,0.15,0.7383671742808798,0.5673711064449991,0.895245834920441,-1.6312907064485689
7,arxiv,2,6,0.15,0.7376237623762376,0.5825225821134231,0.8890370527718485,-1.2118832210846355
8,arxiv,2,6,0.15,0.7356175972927242,0.594093158704025,0.9478255240153152,-1.464609865113741
9,arxiv,2,6,0.15,0.74069355980184,0.5772130373768497,0.8895367856140809,-1.7072442596107849
10,arxiv,2,6,0.25,0.7464475668810034,0.6068680945600864,0.9427382645224179,-1.3708406924464493
11,arxiv,2,6,0.25,0.7449402390438247,0.6042727879483456,0.8922277578524904,-1.6308781479910492
12,arxiv,2,6,0.25,0.7448798580874053,0.5995934563958981,0.9187415442404836,-1.505507216992545
13,arxiv,2,6,0.25,0.7414750198255353,0.6020369638395409,0.9537079622891692,-1.605339986865552
14,arxiv,2,6,0.25,0.7503184713375797,0.608001043403732,0.9220817664923764,-1.648458058930338
15,arxiv,2,6,0.35,0.74937942447366,0.6130712060054607,0.9586162991394565,-1.4059561947840216
16,arxiv,2,6,0.35,0.7478284975050823,0.600162921021962,0.9174252467248427,-1.4537209555381416
17,arxiv,2,6,0.35,0.7537812815106792,0.6116089864183993,0.8799274113988999,-1.340182424374367
18,arxiv,2,6,0.35,0.7478944932901435,0.6110893009799776,0.9265283069658519,-1.230773662826728
19,arxiv,2,6,0.35,0.7509201324990799,0.6067772870860512,0.9362762782754999,-1.3581568589938218
20,arxiv,2,6,0.44999999999999996,0.7483595800524935,0.5946886616037648,0.9506095280000751,-1.1670261251062148
21,arxiv,2,6,0.44999999999999996,0.7512981393336218,0.6093774379510317,0.9439244594766047,-1.1835633315092364
22,arxiv,2,6,0.44999999999999996,0.7565498652291105,0.6115656183914882,0.9115435852512319,-1.1297826935094486
23,arxiv,2,6,0.44999999999999996,0.7486362644555967,0.5948372540853191,0.9302447043341951,-1.1826110640828116
24,arxiv,2,6,0.44999999999999996,0.7488038277511961,0.5909714469866375,0.9484112440185234,-1.104274526939291
25,arxiv,2,6,0.5499999999999999,0.7454763171899946,0.6012602746391404,0.9390012022818675,-0.8348142648438339
26,arxiv,2,6,0.5499999999999999,0.7472746609944164,0.6015482121076838,0.9217115932906508,-0.8627191662759552
27,arxiv,2,6,0.5499999999999999,0.738900920411478,0.5933558487288653,0.9438252042797926,-0.7703392917331142
28,arxiv,2,6,0.5499999999999999,0.7443809017156536,0.5942937317212198,0.9613035299437939,-0.852413724139461
29,arxiv,2,6,0.5499999999999999,0.7472746609944164,0.5956872383417522,0.9372840186674987,-0.8181312694528996
