,N,p1,p2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
0,1000,0.0001,0.0001,,,,,,,,,,,,,,
1,1000,0.0001,0.0001,0.225,0.0,2.33181675741269,0.4883720930232558,0.48943089430894304,0.39091881249822946,0.005874559999938356,0.005875110626220703,53.0,59.0,0.106,0.118,0.196,0.2
2,1000,0.0001,0.0001,0.45,0.0,2.9827330466795026,0.5294117647058824,0.536923076923077,0.6130970408146678,0.0029110309997122386,0.0029113292694091797,53.0,59.0,0.106,0.118,0.156,0.17
3,1000,0.0001,0.0001,0.675,0.0,3.14229343822484,0.5555555555555556,0.5619047619047619,0.5008487331067977,0.002668107000317832,0.0026683807373046875,53.0,59.0,0.106,0.118,0.148,0.148
4,1000,0.0001,0.0001,0.9,0.0,3.3513255807449784,0.6666666666666666,0.6714285714285714,0.6696969696969697,0.002604016999612213,0.0026044845581054688,53.0,59.0,0.106,0.118,0.12,0.128
5,1000,0.00021544346900318845,0.0001,,,,,,,,,,,,,,
6,1000,0.00021544346900318845,0.0001,0.225,0.0,2.6084302940276385,0.33035714285714285,0.4941056910569106,0.7635818449842842,0.003221610999389668,0.0032219886779785156,106.0,43.0,0.212,0.086,0.272,0.25
7,1000,0.00021544346900318845,0.0001,0.45,0.0,3.018863364084774,0.3411764705882353,0.4536666666666666,0.625573888091822,0.0028688920001513907,0.0028693675994873047,106.0,43.0,0.212,0.086,0.262,0.206
8,1000,0.00021544346900318845,0.0001,0.675,0.0,3.328774617001483,0.425531914893617,0.4342592592592592,0.588849487785658,0.0028357900000628433,0.002835988998413086,106.0,43.0,0.212,0.086,0.252,0.14
9,1000,0.00021544346900318845,0.0001,0.9,0.0,3.507285818229428,0.3333333333333333,0.3076923076923077,0.5358579329167564,0.002862499000002572,0.0028629302978515625,106.0,43.0,0.212,0.086,0.222,0.112
10,1000,0.00021544346900318845,0.00021544346900318845,,,,,,,,,,,,,,
11,1000,0.00021544346900318845,0.00021544346900318845,0.225,0.0,2.7436603667414667,0.4853801169590643,0.5116374589266155,0.5331880012944087,0.03276557600020169,0.032765865325927734,111.0,103.0,0.222,0.206,0.388,0.382
12,1000,0.00021544346900318845,0.00021544346900318845,0.45,0.0,3.3682192513310665,0.4132231404958678,0.43601437258153675,0.4984067496745212,0.003349460000208637,0.003349781036376953,111.0,103.0,0.222,0.206,0.33,0.34
13,1000,0.00021544346900318845,0.00021544346900318845,0.675,0.0,3.7390584761217314,0.5294117647058824,0.554925893635571,0.5238349657230112,0.003687512000396964,0.003687620162963867,111.0,103.0,0.222,0.206,0.296,0.268
14,1000,0.00021544346900318845,0.00021544346900318845,0.9,0.0,3.801973333875924,0.4090909090909091,0.371900826446281,0.46880570409982175,0.003392290000192588,0.003392457962036133,111.0,103.0,0.222,0.206,0.244,0.228
15,1000,0.00046415888336127773,0.0001,,,,,,,,,,,,,,
16,1000,0.00046415888336127773,0.0001,0.225,0.0,3.0742843695094626,0.33613445378151263,0.5612390350877193,0.8536539827413177,0.004233212000144704,0.004233598709106445,241.0,55.0,0.482,0.11,0.578,0.49
17,1000,0.00046415888336127773,0.0001,0.45,0.0,3.7132304501962574,0.4327485380116959,0.6626477541371159,0.9192613305189689,0.0038394459998016828,0.003839731216430664,241.0,55.0,0.482,0.11,0.542,0.392
18,1000,0.00046415888336127773,0.0001,0.675,0.0,3.9927083261809315,0.4888888888888889,0.6719999999999999,0.917993304433723,0.0037049639995530015,0.0037050247192382812,241.0,55.0,0.482,0.11,0.512,0.26
19,1000,0.00046415888336127773,0.0001,0.9,0.0,4.100034548923695,0.6857142857142857,0.6379310344827587,0.8386310604096447,0.0036399129994606483,0.0036401748657226562,241.0,55.0,0.482,0.11,0.494,0.168
20,1000,0.00046415888336127773,0.00021544346900318845,,,,,,,,,,,,,,
21,1000,0.00046415888336127773,0.00021544346900318845,0.225,0.0,3.3507512851187355,0.3840304182509506,0.4832734769885608,0.6884448204370077,0.004463030999431794,0.004463672637939453,232.0,117.0,0.464,0.234,0.632,0.592
22,1000,0.00046415888336127773,0.00021544346900318845,0.45,0.0,3.9609151857242355,0.3888888888888889,0.4509294696555495,0.6301528627897737,0.004104931999791006,0.004105329513549805,232.0,117.0,0.464,0.234,0.588,0.47
23,1000,0.00046415888336127773,0.00021544346900318845,0.675,0.0,4.081836607661951,0.3770491803278688,0.45658835546476,0.6984395276505687,0.00411136299953796,0.0041120052337646484,232.0,117.0,0.464,0.234,0.53,0.412
24,1000,0.00046415888336127773,0.00021544346900318845,0.9,0.0,4.186517361391902,0.37142857142857144,0.350328947368421,0.4070190600518234,0.004497525999795471,0.004498004913330078,232.0,117.0,0.464,0.234,0.496,0.272
25,1000,0.00046415888336127773,0.00046415888336127773,,,,,,,,,,,,,,
26,1000,0.00046415888336127773,0.00046415888336127773,0.225,0.0,3.606822005163846,0.5,0.506874922753677,0.5484295189480474,0.0051001620004171855,0.00510096549987793,223.0,229.0,0.446,0.458,0.794,0.83
27,1000,0.00046415888336127773,0.00046415888336127773,0.45,0.0,4.315929850470758,0.47924528301886793,0.490829346092504,0.4974231354787239,0.004903895000097691,0.004904270172119141,223.0,229.0,0.446,0.458,0.712,0.722
28,1000,0.00046415888336127773,0.00046415888336127773,0.675,0.0,4.464628649599286,0.4794520547945205,0.5104147119534621,0.5507242275734612,0.004638739000256464,0.0046389102935791016,223.0,229.0,0.446,0.458,0.592,0.604
29,1000,0.00046415888336127773,0.00046415888336127773,0.9,0.0,4.279760970321407,0.625,0.5825,0.6278525928094894,0.004524977000073704,0.004525184631347656,223.0,229.0,0.446,0.458,0.486,0.498
30,1000,0.001,0.0001,,,,,,,,,,,,,,
31,1000,0.001,0.0001,0.225,0.0,3.9675493131989668,0.38802660753880264,0.4723552211582308,0.8952310228540311,0.005843310999807727,0.0058441162109375,517.0,57.0,1.034,0.114,1.12,0.93
32,1000,0.001,0.0001,0.45,0.0,4.486081023206131,0.609271523178808,0.5908700980392156,0.9296133606455118,0.005397026000537153,0.0053975582122802734,517.0,57.0,1.034,0.114,1.094,0.658
33,1000,0.001,0.0001,0.675,0.0,4.418628288450469,0.6571428571428571,0.48071479122434535,0.8762890125448987,0.005770374000348966,0.005770444869995117,517.0,57.0,1.034,0.114,1.07,0.428
34,1000,0.001,0.0001,0.9,0.0,4.0234849032423785,0.8157894736842105,0.8378378378378378,0.9953518768463646,0.005741320000197447,0.00574183464050293,517.0,57.0,1.034,0.114,1.036,0.188
