,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
0,celegans,1,2,0.05,0.33863837312113176,0.5775086915848704,0.429341683344721,0.008567917044274509,0.008568763732910156
1,celegans,1,2,0.15,0.6567164179104478,0.42503074220465525,0.3016119969100948,0.007927139988169074,0.007927656173706055
2,celegans,1,2,0.25,0.6666666666666666,0.3812778703661997,0.27409856935028915,0.0080993379233405,0.008099555969238281
3,celegans,1,2,0.35,0.6653696498054474,0.340907717182707,0.25547406204276746,0.007586610969156027,0.0075871944427490234
4,celegans,1,2,0.44999999999999996,0.664167916041979,0.34301435020960985,0.25578282836137717,0.007976494962349534,0.007977008819580078
5,celegans,1,2,0.5499999999999999,0.6343692870201096,0.3840561959654179,0.2999123858755979,0.00904863199684769,0.009049177169799805
6,celegans,1,2,0.65,0.34541062801932365,0.6402214022140221,0.49171908824399746,0.006922086933627725,0.006922483444213867
7,celegans,1,2,0.75,0.3501683501683502,0.6484655241131925,0.5052470558607633,0.006934968987479806,0.0069353580474853516
8,celegans,1,2,0.85,0.32947976878612717,0.7069721718088324,0.531970953606095,0.007346576079726219,0.0073468685150146484
9,celegans,1,2,0.95,0.3235294117647059,0.7430830039525692,0.5455357836625363,0.046944346046075225,0.04694485664367676
