,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,process_time,wall_time
0,celegans,1,2,{'imb'},0.05,[-1.05860666],[[0.]],0.6517457475380484,0.5,0.6741271262309758,0.005469828000059351,0.0054705142974853516
1,celegans,1,2,{'imb'},0.15,[-0.63503955],[[0.]],0.6573705179282868,0.5,0.6713147410358565,0.004249988000083249,0.004250288009643555
2,celegans,1,2,{'imb'},0.25,[-0.74497225],[[0.]],0.6498316498316499,0.5,0.6750841750841751,0.004128120000132185,0.004128217697143555
3,celegans,1,2,{'imb'},0.35,[-0.711632],[[0.]],0.6494845360824743,0.5,0.6752577319587629,0.0378093440003795,0.03780961036682129
4,celegans,1,2,{'imb'},0.44999999999999996,[-0.68124228],[[0.]],0.6514705882352941,0.5,0.674264705882353,0.0038690050005243393,0.003869295120239258
5,celegans,1,2,{'imb'},0.5499999999999999,[-0.63883519],[[0.]],0.6596958174904943,0.5,0.6701520912547528,0.003680052000163414,0.0036802291870117188
6,celegans,1,2,{'imb'},0.65,[-0.62280569],[[0.]],0.6674528301886793,0.5,0.6662735849056604,0.0040299160000358825,0.0040302276611328125
7,celegans,1,2,{'imb'},0.75,[-0.6812524],[[0.]],0.6357615894039735,0.5,0.6821192052980132,0.0036604449996957555,0.003660917282104492
8,celegans,1,2,{'imb'},0.85,[-0.61180154],[[0.]],0.7032967032967034,0.5,0.6483516483516484,0.0033968220004680916,0.003397226333618164
9,celegans,1,2,{'imb'},0.95,[-0.65047404],[[0.]],0.6515151515151515,0.5,0.6742424242424243,0.003342240000165475,0.0033426284790039062
10,celegans,1,2,{'emb'},0.05,[-0.77278036],[[1.26107493]],0.6547085201793722,0.534851449919943,0.3819422961242372,11.998633597000662,11.998634815216064
11,celegans,1,2,{'emb'},0.15,[-0.39046556],[[3.47145832]],0.6680040120361084,0.5258873331162488,0.371625765324154,11.480563237999377,11.480563640594482
12,celegans,1,2,{'emb'},0.25,[-0.57392204],[[5.49605287]],0.6559633027522935,0.5492549644791733,0.3995490090825663,11.944114386000365,11.944114923477173
13,celegans,1,2,{'emb'},0.35,[-0.52690737],[[6.2911798]],0.6463730569948186,0.5688249684051824,0.39010819917377926,12.155020932999832,12.155022382736206
14,celegans,1,2,{'emb'},0.44999999999999996,[-0.40384792],[[8.32375966]],0.642089093701997,0.5590065387049146,0.380522168332587,12.014232937999623,12.014233589172363
15,celegans,1,2,{'emb'},0.5499999999999999,[-0.4435774],[[9.7438341]],0.6102941176470589,0.5826111642361941,0.39323487516250827,12.053345209999861,12.053345918655396
16,celegans,1,2,{'emb'},0.65,[-0.39285479],[[10.04162006]],0.6295399515738499,0.5515396807426695,0.3194666962947355,11.600830669999596,11.600831508636475
17,celegans,1,2,{'emb'},0.75,[-0.66069915],[[9.62594478]],0.6055363321799307,0.5599288979177247,0.4306987571827744,12.163254772999608,12.16325569152832
