,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,2,{'emb'},0.05,0.0,[1.95306799],0.32122905027932963,0.3991071428571429,0.7529222899647338
1,london,1,2,{'emb'},0.14,0.0,[3.35566687],0.25227963525835867,0.3253537735849057,0.7045349171133783
2,london,1,2,{'emb'},0.22999999999999998,0.0,[3.36999111],0.11498257839721254,0.14041209704220675,0.6600922346785575
3,london,1,2,{'emb'},0.32,0.0,[2.59336838],0.132,0.1361492506026622,0.6445428191696662
4,london,1,2,{'emb'},0.41,0.0,[2.6854505],0.17903930131004367,0.22729468599033814,0.6652874899543537
5,london,1,2,{'emb'},0.49999999999999994,0.0,[1.22989434],0.15151515151515152,0.18207236842105265,0.6566928454180778
6,london,1,2,{'emb'},0.5900000000000001,0.0,[0.2233762],0.17751479289940827,0.2145862552594671,0.6814926874444331
7,london,1,2,{'emb'},0.68,0.0,[-0.64066502],0.8130081300813008,0.746629659000793,0.9208909477435797
8,london,1,2,{'emb'},0.77,0.0,[-1.05341588],0.7926829268292683,0.7005208333333334,0.8942343643155535
9,london,1,2,{'emb'},0.86,0.0,[-1.58648264],0.7857142857142857,0.7434343434343433,0.9208432966184257
10,london,1,2,{'emb'},0.95,0.0,[-2.31418007],0.8461538461538461,0.4166666666666667,0.9354162041662043
