,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty
0,drosophila,1,2,{'imb'},0.05,2.6956276798645398,[0.],0.9297118061241199,0.5,0.9648559030620599,-9.0
1,drosophila,1,2,{'imb'},0.05,2.4651036719417942,[0.],0.9305117384356947,0.5,0.9652558692178473,-9.0
2,drosophila,1,2,{'imb'},0.05,2.528670941238642,[0.],0.9302706465217213,0.5,0.9651353232608606,-9.0
3,drosophila,1,2,{'imb'},0.05,2.6767315169314196,[0.],0.9297801030000817,0.5,0.9648900515000409,-9.0
4,drosophila,1,2,{'imb'},0.05,2.413475557922051,[0.],0.9307345096430036,0.5,0.9653672548215018,-9.0
5,drosophila,1,2,{'imb'},0.05,2.6497967961477094,[0.],0.929853314758666,0.5,0.9649266573793329,-9.0
6,drosophila,1,2,{'imb'},0.05,2.655959139768389,[0.],0.9298260013131976,0.5,0.9649130006565988,-9.0
7,drosophila,1,2,{'imb'},0.05,2.435737380759942,[0.],0.9305935699987744,0.5,0.9652967849993872,-9.0
8,drosophila,1,2,{'imb'},0.05,2.5134423382235047,[0.],0.9303219999181703,0.5,0.9651609999590851,-9.0
9,drosophila,1,2,{'imb'},0.05,2.6841905737849037,[0.],0.929746990911324,0.5,0.9648734954556619,-9.0
10,drosophila,1,2,{'imb'},0.14,2.5723755016379743,[0.],0.9302283436027546,0.5,0.9651141718013774,-9.0
11,drosophila,1,2,{'imb'},0.14,2.5936887243601747,[0.],0.9300004516099896,0.5,0.9650002258049948,-9.0
12,drosophila,1,2,{'imb'},0.14,2.605215126606515,[0.],0.9298777727478497,0.5,0.9649388863739248,-9.0
13,drosophila,1,2,{'imb'},0.14,2.5416616432309866,[0.],0.9305630997646207,0.5,0.9652815498823104,-9.0
14,drosophila,1,2,{'imb'},0.14,2.572433301831808,[0.],0.9302262443438915,0.5,0.9651131221719458,-9.0
15,drosophila,1,2,{'imb'},0.14,2.6105421590055626,[0.],0.9298205871692642,0.5,0.9649102935846321,-9.0
16,drosophila,1,2,{'imb'},0.14,2.473437622414618,[0.],0.9313614299324049,0.5,0.9656807149662024,-9.0
17,drosophila,1,2,{'imb'},0.14,2.6826593380888344,[0.],0.9290799437718225,0.5,0.9645399718859112,-9.0
18,drosophila,1,2,{'imb'},0.14,2.55283873820877,[0.],0.9304410832352142,0.5,0.9652205416176072,-9.0
19,drosophila,1,2,{'imb'},0.14,2.675961885648717,[0.],0.9291803870269295,0.5,0.9645901935134648,-9.0
20,drosophila,1,2,{'imb'},0.22999999999999998,2.5643997557746476,[0.],0.9305163372327552,0.5,0.9652581686163776,-9.0
21,drosophila,1,2,{'imb'},0.22999999999999998,2.594818834430826,[0.],0.9299247208609104,0.5,0.9649623604304551,-9.0
22,drosophila,1,2,{'imb'},0.22999999999999998,2.558112338985243,[0.],0.9306519426574135,0.5,0.9653259713287068,-9.0
23,drosophila,1,2,{'imb'},0.22999999999999998,2.519101226766564,[0.],0.9314164862279067,0.5,0.9657082431139534,-9.0
24,drosophila,1,2,{'imb'},0.22999999999999998,2.5751535274732533,[0.],0.9303090072320842,0.5,0.965154503616042,-9.0
25,drosophila,1,2,{'imb'},0.22999999999999998,2.6357636390744132,[0.],0.9291612123653207,0.5,0.9645806061826603,-9.0
26,drosophila,1,2,{'imb'},0.22999999999999998,2.5026329294705505,[0.],0.9317303348225491,0.5,0.9658651674112746,-9.0
27,drosophila,1,2,{'imb'},0.22999999999999998,2.6283206248169493,[0.],0.9292620865139949,0.5,0.9646310432569974,-9.0
28,drosophila,1,2,{'imb'},0.22999999999999998,2.5735794000777066,[0.],0.9303447225465807,0.5,0.9651723612732903,-9.0
29,drosophila,1,2,{'imb'},0.22999999999999998,2.644133482113679,[0.],0.9289901950874355,0.5,0.9644950975437178,-9.0
30,drosophila,1,2,{'imb'},0.32,2.56312549022762,[0.],0.9308269814889105,0.5,0.9654134907444553,-9.0
31,drosophila,1,2,{'imb'},0.32,2.604451800166208,[0.],0.9295524779672657,0.5,0.9647762389836329,-9.0
32,drosophila,1,2,{'imb'},0.32,2.55627896980369,[0.],0.9310483407968768,0.5,0.9655241703984384,-9.0
33,drosophila,1,2,{'imb'},0.32,2.597773763271536,[0.],0.9297520661157025,0.5,0.9648760330578512,-9.0
34,drosophila,1,2,{'imb'},0.32,2.5688863702755014,[0.],0.9306421179026817,0.5,0.9653210589513408,-9.0
35,drosophila,1,2,{'imb'},0.32,2.6185312100578093,[0.],0.929131155980095,0.5,0.9645655779900475,-9.0
36,drosophila,1,2,{'imb'},0.32,2.581516202446963,[0.],0.9302484224887727,0.5,0.9651242112443863,-9.0
37,drosophila,1,2,{'imb'},0.32,2.5849272289113787,[0.],0.930145388459791,0.5,0.9650726942298955,-9.0
38,drosophila,1,2,{'imb'},0.32,2.653989762520428,[0.],0.9280625143645139,0.5,0.9640312571822569,-9.0
39,drosophila,1,2,{'imb'},0.32,2.5824018072280035,[0.],0.930220684177682,0.5,0.965110342088841,-9.0
40,drosophila,1,2,{'imb'},0.41,2.5633200290672473,[0.],0.9311802390859256,0.5,0.9655901195429628,-9.0
41,drosophila,1,2,{'imb'},0.41,2.62805477322793,[0.],0.9282902506232777,0.5,0.9641451253116389,-9.0
42,drosophila,1,2,{'imb'},0.41,2.5674999887081347,[0.],0.9309866596222428,0.5,0.9654933298111215,-9.0
43,drosophila,1,2,{'imb'},0.41,2.603969537910753,[0.],0.9293367514625649,0.5,0.9646683757312824,-9.0
44,drosophila,1,2,{'imb'},0.41,2.5610598949088574,[0.],0.9312726076948372,0.5,0.9656363038474186,-9.0
45,drosophila,1,2,{'imb'},0.41,2.5949711451917814,[0.],0.9297304457248824,0.5,0.9648652228624413,-9.0
46,drosophila,1,2,{'imb'},0.41,2.625300284426453,[0.],0.9283926218708828,0.5,0.9641963109354414,-9.0
47,drosophila,1,2,{'imb'},0.41,2.6255932335401355,[0.],0.9284029870300013,0.5,0.9642014935150007,-9.0
48,drosophila,1,2,{'imb'},0.41,2.5627903064744886,[0.],0.9311860404093414,0.5,0.9655930202046707,-9.0
49,drosophila,1,2,{'imb'},0.41,2.6314144923031737,[0.],0.9280980781974818,0.5,0.9640490390987408,-9.0
50,drosophila,1,2,{'imb'},0.49999999999999994,2.5885675033698585,[0.],0.9300046663555763,0.5,0.9650023331777882,-9.0
51,drosophila,1,2,{'imb'},0.49999999999999994,2.577936552817605,[0.],0.9307141169986616,0.5,0.9653570584993307,-9.0
52,drosophila,1,2,{'imb'},0.49999999999999994,2.6021082173763914,[0.],0.929119073697387,0.5,0.9645595368486934,-9.0
53,drosophila,1,2,{'imb'},0.49999999999999994,2.5855966772671954,[0.],0.9301965639993809,0.5,0.9650982819996905,-9.0
54,drosophila,1,2,{'imb'},0.49999999999999994,2.6367236057979655,[0.],0.9269448978005751,0.5,0.9634724489002875,-9.0
55,drosophila,1,2,{'imb'},0.49999999999999994,2.5321919227032668,[0.],0.9337862106660421,0.5,0.966893105333021,-9.0
56,drosophila,1,2,{'imb'},0.49999999999999994,2.568061872975116,[0.],0.9313421256788208,0.5,0.9656710628394104,-9.0
57,drosophila,1,2,{'imb'},0.49999999999999994,2.5960198177006943,[0.],0.9295157631228976,0.5,0.9647578815614488,-9.0
58,drosophila,1,2,{'imb'},0.49999999999999994,2.630202953831007,[0.],0.9273280774334556,0.5,0.9636640387167278,-9.0
59,drosophila,1,2,{'imb'},0.49999999999999994,2.573199256776698,[0.],0.9310076917100458,0.5,0.9655038458550229,-9.0
60,drosophila,1,2,{'imb'},0.5900000000000001,2.5939912109384466,[0.],0.9294762715069012,0.5,0.9647381357534506,-9.0
61,drosophila,1,2,{'imb'},0.5900000000000001,2.579902906951809,[0.],0.9307815292015423,0.5,0.9653907646007711,-9.0
62,drosophila,1,2,{'imb'},0.5900000000000001,2.585434244899253,[0.],0.9302722701830946,0.5,0.9651361350915473,-9.0
63,drosophila,1,2,{'imb'},0.5900000000000001,2.576976993697712,[0.],0.9310605345169516,0.5,0.9655302672584758,-9.0
64,drosophila,1,2,{'imb'},0.5900000000000001,2.5740248591851036,[0.],0.931364114329414,0.5,0.965682057164707,-9.0
