system,N,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,10000,0.05,LE,0.1,2.1,1.0,1,0.6452221367615281,0.6767015043852301,0.6404715017363329,-0.059852496284965764,-5.40621374697284,-16.394878123107528
LFR,1000,0.05,LE,0.1,2.1,1.0,1,0.5987045033929673,0.6821346341203512,0.6999040267960345,0.0006723864471400972,-24.429581808291513,-13.398816029955062
LFR,100,0.05,LE,0.1,2.1,1.0,1,0.5226415094339623,0.5396031847768804,0.5370855477186537,-0.018901776704511368,-16556.49487707339,-5.730711263351236
LFR,5000,0.05,LE,0.1,2.1,1.0,1,0.6043235271287744,0.642678388184105,0.6316348062537303,-0.05656005292645963,-10.825021766005797,-15.023827673908416
LFR,500,0.05,LE,0.1,2.1,1.0,1,0.5055179779280883,0.5284815837713321,0.5375323367662113,0.014977776542844379,-16.272987183887885,-3.6754435580668234
LFR,10000,0.05,LE,0.1,2.1,1.0,1,0.6357726257187855,0.6665702314494445,0.6332861482612594,-0.07755836006436428,-5.247056005715834,-16.153005649892382
LFR,1000,0.05,LE,0.1,2.1,1.0,1,0.6235348550277606,0.7082697345668236,0.7230503654636389,0.012871061971364473,-31.09091554548665,-10.615911767344036
LFR,100,0.05,LE,0.1,2.1,1.0,1,0.45660377358490567,0.4886980301670727,0.48978073605768446,0.041484686275716984,8451.306714428089,-5.821037235328504
LFR,5000,0.05,LE,0.1,2.1,1.0,1,0.613250019405418,0.6493389881533106,0.6328412739343653,-0.04640220471366902,-9.167267520103803,-14.143592685402037
LFR,500,0.05,LE,0.1,2.1,1.0,1,0.512993948024208,0.5389427429796199,0.5575904728355435,-0.005078129355486652,-11.370481585277982,-5.8573047195411725
LFR,10000,0.05,LE,0.1,2.1,1.0,1,0.6396183569571109,0.6706265377738515,0.6384536154598978,-0.06275275113284337,-5.043062048266599,-16.20251667034929
LFR,1000,0.05,LE,0.1,2.1,1.0,1,0.6167489204194941,0.7001182144996149,0.7154195007128505,0.016376590095151897,-30.459500109375792,-12.243798803406538
LFR,100,0.05,LE,0.1,2.1,1.0,1,0.5,0.4738281416912362,0.4850422948434848,-0.09958307688950725,-10811.368909145804,-5.4546157487988545
LFR,5000,0.05,LE,0.1,2.1,1.0,1,0.6085927190871692,0.6539438941045879,0.6382395240425601,-0.06835642396185375,-10.679002000364738,-16.144449951684255
LFR,500,0.05,LE,0.1,2.1,1.0,1,0.5026699893200427,0.5204941884043865,0.5324934106532694,-0.007419306177003235,-12.894398709786467,-3.6169107078563907
LFR,10000,0.05,LE,0.1,2.1,1.0,1,0.6285206753836575,0.6652369268395543,0.6330266744563438,-0.07002499012223683,-5.653958102422748,-15.795575063557491
LFR,1000,0.05,LE,0.1,2.1,1.0,1,0.614898210980876,0.6960477843235755,0.7194516213149045,-0.02396707876856124,-30.27564644815327,-12.656362991777131
LFR,100,0.05,LE,0.1,2.1,1.0,1,0.5056603773584906,0.47136407013345866,0.4805098100448274,-0.0701847555516017,-7448.573755699275,-6.863906844595494
LFR,5000,0.05,LE,0.1,2.1,1.0,1,0.6227198633858574,0.6613705163979533,0.6421295000004347,-0.06819377736342455,-10.102065612309307,-15.99243926216694
LFR,500,0.05,LE,0.1,2.1,1.0,1,0.4752580989676041,0.5026031527804815,0.5251498485293987,-0.01213721902342028,-11.826407285689841,-3.764374765076463
LFR,10000,0.10,LE,0.1,2.1,1.0,1,0.6711899791231732,0.7068895988388646,0.6757616158047776,-0.07277295541755543,-4.316216354972109,-15.098011850313902
LFR,1000,0.10,LE,0.1,2.1,1.0,1,0.6742633892235065,0.7664737850205265,0.7767574308139948,-0.01945797874099379,-25.981484433459205,-9.640829903130326
LFR,100,0.10,LE,0.1,2.1,1.0,1,0.50199203187251,0.49409383186472966,0.4799366881580509,0.04411617111608678,-809.9214915915683,-4.325151308719098
LFR,5000,0.10,LE,0.1,2.1,1.0,1,0.648136009832036,0.6980878837566253,0.6827891351398214,-0.05825630092047912,-8.51751341586434,-14.183902259411221
LFR,500,0.10,LE,0.1,2.1,1.0,1,0.532130777903044,0.5628741770787553,0.5680846915698718,0.026853480289150064,-14.661456127955443,-4.091342183358734
LFR,10000,0.10,LE,0.1,2.1,1.0,1,0.6687156885486739,0.7018075762342625,0.6721406454633884,-0.08018613013602265,-4.073808391488136,-14.719950527686514
LFR,1000,0.10,LE,0.1,2.1,1.0,1,0.6825138391403451,0.7787389545491947,0.7848673655492433,0.037121656508985246,-27.297194405288682,-9.055708594629944
LFR,100,0.10,LE,0.1,2.1,1.0,1,0.5079681274900398,0.47948717948717945,0.49319100123254506,-0.00737397000902718,3950.185917026333,-6.789486276677877
