,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
0,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.05,0.09258854594676194,[-0.088723],0.49879339149805085,0.5703768487504997,0.5570722224658826,-1.0,-0.08872300059403349,
1,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.075,-0.017856348916209484,[-0.14981254],0.49961685823754787,0.6222905549187798,0.6002545945092383,-1.0,-0.1498125448621382,
2,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.1,-0.04182174584422637,[-0.19942522],0.4988221436984688,0.6431744613562795,0.6460702378170795,-1.0,-0.19942522419179168,
3,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.125,-0.019747922944694973,[-0.24837814],0.4992942125428514,0.6641922748356026,0.6471976915923565,-1.0,-0.24837814089738494,
4,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.15,0.00696360464931598,[-0.32083707],0.49968795506552943,0.6662652917440595,0.660742065344524,-1.0,-0.3208370666824114,
5,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.175,-0.035217563934596366,[-0.36519621],0.4981926429938337,0.6922875207071912,0.6893874958952295,-1.0,-0.3651962119456003,
6,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.2,-0.027235374771041907,[-0.45835923],0.49835778410335013,0.6908687544061387,0.6813503671790798,-1.0,-0.45835923425440545,
7,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.22499999999999998,0.07825062896937746,[-0.55399071],0.49430523917995445,0.7117127496159754,0.6976647302638126,-1.0,-0.5539907140507866,
8,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.25,-0.042888692749570786,[-0.64453044],0.49632962349040965,0.7129522461123253,0.7074695202631869,-1.0,-0.6445304364702442,
9,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.27499999999999997,-0.06801822223163317,[-0.79461245],0.4933823529411765,0.7316535408091238,0.7282275107199274,-1.0,-0.7946124466401792,
