,walk_length,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
0,5,"(106, 1)",True,d_G,2.3498719,0,inverse,0.10535838
1,5,"(219, 59)",True,d_G,2.653224,0,inverse,0.45730075
2,5,"(282, 219)",True,d_G,2.3325806,0,inverse,0.3867065
3,5,"(4, 5)",False,d_G,1.4459875,1,inverse,0.147457
4,5,"(221, 6)",True,d_G,2.5674224,0,inverse,0.22772908
5,5,"(345, 6)",True,d_G,2.0136714,0,inverse,0.34639218
6,5,"(159, 160)",False,d_G,1.8741943,1,inverse,0.3058562
7,5,"(72, 301)",True,d_G,1.5859376,0,inverse,0.3476547
8,5,"(221, 44)",True,d_G,1.7770314,0,inverse,0.40655643
9,5,"(328, 221)",True,d_G,1.5763987,0,inverse,0.46102595
10,5,"(295, 7)",True,d_G,2.1408718,0,inverse,0.117027186
11,5,"(9, 8)",False,d_G,2.5680218,1,inverse,0.43391028
12,5,"(8, 34)",True,d_G,2.868238,0,inverse,0.32747006
13,5,"(39, 8)",True,d_G,2.3518999,0,inverse,0.3221526
14,5,"(9, 10)",False,d_G,2.3851175,1,inverse,0.4535839
15,5,"(39, 34)",True,d_G,2.8667169,0,inverse,0.16914852
16,5,"(34, 119)",True,d_G,2.583473,0,inverse,0.3124103
17,5,"(59, 58)",False,d_G,2.0483768,1,inverse,0.41059482
18,5,"(10, 348)",False,d_G,2.4705615,0,inverse,0.50086987
19,5,"(59, 348)",True,d_G,2.0782118,0,inverse,0.49127993
20,5,"(354, 342)",True,d_G,1.4929405,0,inverse,0.35697532
21,5,"(181, 19)",True,d_G,2.4113457,0,inverse,0.40776348
22,5,"(181, 38)",False,d_G,2.1103868,0,inverse,0.5522353
23,5,"(181, 94)",True,d_G,2.5500324,0,inverse,0.49490905
24,5,"(181, 97)",False,d_G,2.457619,0,inverse,0.5385095
25,5,"(181, 100)",True,d_G,2.8610651,0,inverse,0.47485343
26,5,"(184, 181)",True,d_G,2.8186882,0,inverse,0.36473015
27,5,"(245, 181)",True,d_G,2.612918,0,inverse,0.40197557
28,5,"(169, 21)",True,d_G,1.4150223,0,inverse,0.442662
29,5,"(168, 169)",False,d_G,1.4432278,1,inverse,0.3760665
30,5,"(23, 24)",False,d_G,1.8550434,1,inverse,0.3146604
31,5,"(73, 23)",True,d_G,1.4601719,0,inverse,0.36817053
32,5,"(312, 311)",False,d_G,1.1787428,1,inverse,0.2130646
33,5,"(25, 26)",False,d_G,2.024688,1,inverse,0.34682828
34,5,"(26, 97)",False,d_G,2.3043914,0,inverse,0.5143374
35,5,"(26, 191)",True,d_G,2.1738698,0,inverse,0.4327093
36,5,"(94, 95)",False,d_G,1.8961769,1,inverse,0.3332025
37,5,"(293, 191)",True,d_G,1.4880481,0,inverse,0.3670211
38,5,"(192, 336)",True,d_G,1.5688688,0,inverse,0.34970906
39,5,"(28, 27)",False,d_G,3.0369194,1,inverse,0.44443807
40,5,"(29, 27)",True,d_G,2.3245826,0,inverse,0.38018847
41,5,"(30, 27)",True,d_G,2.5981078,0,inverse,0.33793107
42,5,"(68, 28)",True,d_G,2.6173782,0,inverse,0.45631737
43,5,"(28, 279)",False,d_G,1.7426952,0,inverse,0.5353973
44,5,"(68, 31)",True,d_G,2.2690878,0,inverse,0.34850833
45,5,"(187, 272)",True,d_G,2.4837086,0,inverse,0.3649208
46,5,"(350, 188)",True,d_G,1.4467846,0,inverse,0.16238062
47,5,"(68, 67)",False,d_G,2.6024044,1,inverse,0.49422556
48,5,"(67, 213)",True,d_G,2.302989,0,inverse,0.32149956
49,5,"(67, 214)",True,d_G,2.631883,0,inverse,0.43362153
50,5,"(320, 67)",True,d_G,2.7751186,0,inverse,0.4356157
51,5,"(68, 206)",True,d_G,2.468278,0,inverse,0.46263182
52,5,"(279, 278)",False,d_G,1.7130893,1,inverse,0.34242752
53,5,"(49, 47)",True,d_G,2.3208601,0,inverse,0.11501894
54,5,"(314, 315)",False,d_G,2.2382982,1,inverse,0.13824782
55,5,"(33, 32)",False,d_G,1.5369412,1,inverse,0.309729
56,5,"(32, 127)",True,d_G,1.3711424,0,inverse,0.31939355
57,5,"(33, 358)",True,d_G,1.4043459,0,inverse,0.30994403
58,5,"(343, 35)",True,d_G,2.3794503,0,inverse,0.29720238
59,5,"(180, 121)",True,d_G,2.3339512,0,inverse,0.46486324
60,5,"(214, 180)",True,d_G,2.3911617,0,inverse,0.4668304
61,5,"(180, 277)",True,d_G,2.4060378,0,inverse,0.4884003
62,5,"(343, 180)",True,d_G,2.2626214,0,inverse,0.45749602
63,5,"(56, 57)",False,d_G,1.9274124,1,inverse,0.44908404
64,5,"(38, 37)",False,d_G,1.981838,1,inverse,0.31496224
65,5,"(40, 41)",True,d_G,1.3527421,1,inverse,0.6011264
66,5,"(170, 40)",False,d_G,1.6347263,0,inverse,0.5066653
67,5,"(52, 41)",True,d_G,1.395448,0,inverse,0.39467525
68,5,"(322, 170)",True,d_G,1.3749245,0,inverse,0.33602217
69,5,"(43, 42)",False,d_G,1.1853377,1,inverse,0.4695917
70,5,"(42, 199)",True,d_G,1.5490346,0,inverse,0.38598928
71,5,"(46, 45)",False,d_G,1.7388303,1,inverse,0.40174443
72,5,"(45, 161)",True,d_G,2.576805,0,inverse,0.3550593
73,5,"(45, 261)",True,d_G,2.5154698,0,inverse,0.46153843
74,5,"(161, 162)",False,d_G,2.0421603,1,inverse,0.36625752
75,5,"(246, 48)",True,d_G,2.4016888,0,inverse,0.30665565
76,5,"(310, 48)",True,d_G,2.0956442,0,inverse,0.3347191
77,5,"(268, 292)",True,d_G,1.4583954,0,inverse,0.39434645
78,5,"(147, 148)",False,d_G,1.4837054,1,inverse,0.16146046
79,5,"(54, 55)",False,d_G,1.3738995,1,inverse,0.20573805
80,5,"(57, 102)",True,d_G,2.3032627,0,inverse,0.38379326
81,5,"(76, 59)",True,d_G,2.2496736,0,inverse,0.39807442
82,5,"(60, 61)",False,d_G,1.2975919,1,inverse,0.40390643
83,5,"(60, 179)",True,d_G,1.7521458,0,inverse,0.29655093
84,5,"(62, 63)",True,d_G,1.4520115,1,inverse,0.5336332
85,5,"(336, 62)",False,d_G,1.4910603,0,inverse,0.57763916
86,5,"(214, 121)",True,d_G,2.5243654,0,inverse,0.43748912
87,5,"(252, 273)",True,d_G,1.8871557,0,inverse,0.27430093
88,5,"(319, 320)",False,d_G,1.8861978,1,inverse,0.48030978
89,5,"(320, 349)",True,d_G,2.3396344,0,inverse,0.33825624
90,5,"(183, 100)",True,d_G,2.4898143,0,inverse,0.30505648
91,5,"(206, 135)",True,d_G,2.574845,0,inverse,0.38095334
92,5,"(277, 70)",True,d_G,1.8842789,0,inverse,0.34473103
93,5,"(257, 176)",True,d_G,1.7008017,0,inverse,0.15122901
94,5,"(72, 71)",False,d_G,1.3667132,1,inverse,0.2751905
95,5,"(71, 250)",True,d_G,1.6096542,0,inverse,0.26459002
96,5,"(131, 78)",True,d_G,1.4649996,0,inverse,0.15916511
97,5,"(130, 81)",True,d_G,2.1302245,0,inverse,0.32164055
98,5,"(126, 130)",True,d_G,1.7929345,0,inverse,0.3565174
99,5,"(319, 351)",True,d_G,1.7124785,0,inverse,0.3716971
100,5,"(265, 86)",True,d_G,2.1963146,0,inverse,0.44334036
101,5,"(158, 265)",False,d_G,1.6390563,0,inverse,0.5052888
102,5,"(91, 90)",False,d_G,1.2151765,1,inverse,0.1993924
103,5,"(346, 114)",True,d_G,1.3368263,0,inverse,0.17088255
104,5,"(272, 271)",False,d_G,2.339011,1,inverse,0.3710565
105,5,"(125, 296)",True,d_G,1.7540892,0,inverse,0.15837726
106,5,"(134, 135)",False,d_G,1.9385003,1,inverse,0.43648174
107,5,"(121, 120)",False,d_G,2.555921,1,inverse,0.34884048
108,5,"(281, 134)",True,d_G,1.9769762,0,inverse,0.33115655
109,5,"(123, 124)",False,d_G,1.2819518,1,inverse,0.16961409
110,5,"(344, 133)",True,d_G,0.96857274,0,inverse,0.33892643
111,5,"(140, 141)",False,d_G,0.99435985,1,inverse,0.34003845
112,5,"(177, 247)",True,d_G,1.6871527,0,inverse,0.16872692
113,5,"(158, 157)",False,d_G,1.7562658,1,inverse,0.42281497
114,5,"(298, 157)",True,d_G,1.9248114,0,inverse,0.48530012
115,5,"(272, 298)",True,d_G,2.1581771,0,inverse,0.43743291
116,5,"(159, 299)",True,d_G,1.5729347,0,inverse,0.46021846
117,5,"(223, 299)",True,d_G,1.8388597,0,inverse,0.35954362
118,5,"(273, 200)",True,d_G,2.2727308,0,inverse,0.21919638
119,5,"(339, 200)",True,d_G,2.1801567,0,inverse,0.2784445
