system,layers,theta,auroc
arxiv,2-6,0.00,0.50
arxiv,2-6,0.05,0.57
arxiv,2-6,0.10,0.64
arxiv,2-6,0.15,0.63
arxiv,2-6,0.20,0.68
arxiv,2-6,0.25,0.69
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.73
arxiv,2-6,0.40,0.75
arxiv,#ERR,0.45,0.75
arxiv,2-6,0.50,0.77
arxiv,2-6,0.55,0.78
arxiv,2-6,0.60,0.79
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.80
arxiv,2-6,0.75,0.83
arxiv,2-6,0.80,0.83
arxiv,2-6,0.85,0.83
arxiv,2-6,0.90,0.84
arxiv,2-6,0.95,0.84
arxiv,2-6,0.00,0.50
arxiv,2-6,0.05,0.59
arxiv,2-6,0.10,0.63
arxiv,2-6,0.15,0.65
arxiv,2-6,0.20,0.67
arxiv,2-6,0.25,0.70
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.74
arxiv,2-6,0.40,0.75
arxiv,2-6,0.45,0.77
arxiv,2-6,0.50,0.78
arxiv,2-6,0.55,0.77
arxiv,2-6,0.60,0.80
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.82
arxiv,2-6,0.80,0.82
arxiv,2-6,0.85,0.82
arxiv,2-6,0.90,0.86
arxiv,2-6,0.95,0.84
arxiv,2-6,0.00,0.51
arxiv,2-6,0.05,0.60
arxiv,2-6,0.10,0.61
arxiv,2-6,0.15,0.66
arxiv,2-6,0.20,0.67
arxiv,2-6,0.25,0.69
arxiv,2-6,0.30,0.71
arxiv,2-6,0.35,0.72
arxiv,2-6,0.40,0.76
arxiv,2-6,0.45,0.76
arxiv,2-6,0.50,0.78
arxiv,2-6,0.55,0.78
arxiv,2-6,0.60,0.80
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.82
arxiv,2-6,0.80,0.82
arxiv,2-6,0.85,0.84
arxiv,2-6,0.90,0.84
arxiv,2-6,0.95,0.83
arxiv,2-6,0.00,0.49
arxiv,2-6,0.05,0.60
arxiv,2-6,0.10,0.64
arxiv,2-6,0.15,0.64
arxiv,2-6,0.20,0.70
arxiv,2-6,0.25,0.70
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.74
arxiv,2-6,0.40,0.74
arxiv,2-6,0.45,0.76
arxiv,2-6,0.50,0.77
arxiv,2-6,0.55,0.78
arxiv,2-6,0.60,0.81
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.83
arxiv,2-6,0.80,0.81
arxiv,2-6,0.85,0.84
arxiv,2-6,0.90,0.84
arxiv,2-6,0.95,0.82
arxiv,2-6,0.00,0.50
arxiv,2-6,0.05,0.59
arxiv,2-6,0.10,0.61
arxiv,2-6,0.15,0.64
arxiv,2-6,0.20,0.69
arxiv,2-6,0.25,0.71
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.74
arxiv,2-6,0.40,0.75
arxiv,2-6,0.45,0.77
arxiv,2-6,0.50,0.76
arxiv,2-6,0.55,0.79
arxiv,2-6,0.60,0.80
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.82
arxiv,2-6,0.80,0.83
arxiv,2-6,0.85,0.84
arxiv,2-6,0.90,0.83
arxiv,2-6,0.95,0.85
drosophila,1-3,0.00,0.47
drosophila,1-3,0.05,0.60
drosophila,1-3,0.10,0.69
drosophila,1-3,0.15,0.77
drosophila,1-3,0.20,0.77
drosophila,1-3,0.25,0.80
drosophila,1-3,0.30,0.80
drosophila,1-3,0.35,0.84
drosophila,1-3,0.40,0.83
drosophila,1-3,0.45,0.84
drosophila,1-3,0.50,0.86
drosophila,1-3,0.55,0.87
drosophila,1-3,0.60,0.85
drosophila,1-3,0.65,0.87
drosophila,1-3,0.70,0.88
drosophila,1-3,0.75,0.88
drosophila,1-3,0.80,0.91
drosophila,1-3,0.85,0.90
drosophila,1-3,0.90,0.90
drosophila,1-3,0.95,0.89
drosophila,1-3,0.00,0.44
drosophila,1-3,0.05,0.63
drosophila,1-3,0.10,0.70
drosophila,1-3,0.15,0.76
drosophila,1-3,0.20,0.78
drosophila,1-3,0.25,0.79
drosophila,1-3,0.30,0.82
drosophila,1-3,0.35,0.83
drosophila,1-3,0.40,0.83
drosophila,1-3,0.45,0.84
drosophila,1-3,0.50,0.84
drosophila,1-3,0.55,0.87
drosophila,1-3,0.60,0.87
drosophila,1-3,0.65,0.88
drosophila,1-3,0.70,0.88
drosophila,1-3,0.75,0.88
drosophila,1-3,0.80,0.89
drosophila,1-3,0.85,0.88
drosophila,1-3,0.90,0.89
drosophila,1-3,0.95,0.88
drosophila,1-3,0.00,0.49
drosophila,1-3,0.05,0.63
drosophila,1-3,0.10,0.72
drosophila,1-3,0.15,0.71
drosophila,1-3,0.20,0.79
drosophila,1-3,0.25,0.80
drosophila,1-3,0.30,0.82
drosophila,1-3,0.35,0.82
drosophila,1-3,0.40,0.85
drosophila,1-3,0.45,0.82
drosophila,1-3,0.50,0.87
drosophila,1-3,0.55,0.85
drosophila,1-3,0.60,0.85
drosophila,1-3,0.65,0.87
drosophila,1-3,0.70,0.89
drosophila,1-3,0.75,0.88
drosophila,1-3,0.80,0.87
drosophila,1-3,0.85,0.89
drosophila,1-3,0.90,0.91
drosophila,1-3,0.95,0.89
drosophila,1-3,0.00,0.50
drosophila,1-3,0.05,0.63
drosophila,1-3,0.10,0.70
drosophila,1-3,0.15,0.76
drosophila,1-3,0.20,0.78
drosophila,1-3,0.25,0.80
drosophila,1-3,0.30,0.83
drosophila,1-3,0.35,0.81
