,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
0,0.02,9.450945,8.77277,"(0, 1)",1,0,False,0.48139307,0.33666876
1,0.02,8.865582,8.036062,"(99, 0)",0,0,True,0.47546038,0.30374652
2,0.02,9.179567,8.430893,"(2, 1)",1,0,False,0.4787435,0.3211102
3,0.02,9.016488,9.343522,"(2, 3)",1,1,True,0.5089061,0.5810375
4,0.02,8.629424,8.293956,"(3, 4)",1,0,False,0.49008864,0.41691065
5,0.02,8.46437,8.4919405,"(4, 5)",1,1,True,0.500813,0.50689226
6,0.02,8.558502,8.350773,"(6, 5)",1,0,False,0.49385753,0.4482536
7,0.02,8.332127,8.252409,"(6, 7)",1,0,False,0.49759662,0.4800811
8,0.02,8.595835,7.806616,"(8, 7)",1,0,False,0.47594208,0.3123364
9,0.02,6.6822915,5.8160467,"(9, 10)",1,0,False,0.46534562,0.29603627
10,0.02,8.078064,8.300223,"(10, 11)",1,1,True,0.5067822,0.5553125
11,0.02,8.441486,8.753416,"(12, 11)",1,1,True,0.5090704,0.5773562
12,0.02,7.2194963,7.7184153,"(13, 12)",1,1,True,0.51669973,0.62220526
13,0.02,7.999704,7.9923534,"(13, 14)",1,0,False,0.49977022,0.49816242
14,0.02,7.6572514,8.703159,"(15, 14)",1,1,True,0.5319646,0.7399883
15,0.02,8.458035,9.057948,"(16, 15)",1,1,True,0.5171247,0.6456363
16,0.02,9.045311,8.618765,"(16, 17)",1,0,False,0.4879262,0.39495137
17,0.02,7.530646,7.375785,"(18, 17)",1,0,False,0.49480554,0.46136194
18,0.02,8.343759,8.308215,"(18, 19)",1,0,False,0.49893275,0.49111506
19,0.02,6.2493796,7.4329457,"(19, 20)",1,1,True,0.5432517,0.7655884
20,0.02,7.9955664,8.401983,"(21, 20)",1,1,True,0.51239264,0.60022837
21,0.02,8.640822,8.716064,"(22, 21)",1,1,True,0.5021675,0.5188016
22,0.02,8.531541,8.833303,"(23, 22)",1,1,True,0.5086889,0.5748733
23,0.02,8.549319,8.595184,"(23, 24)",1,1,True,0.5013376,0.51146424
24,0.02,8.2434635,8.851844,"(24, 25)",1,1,True,0.5177938,0.64757127
25,0.02,8.272266,8.652439,"(25, 26)",1,1,True,0.5112313,0.5939148
26,0.02,8.802315,8.684751,"(26, 27)",1,0,False,0.49663854,0.47064275
27,0.02,9.094234,9.143431,"(27, 28)",1,1,True,0.50134873,0.5122966
28,0.02,8.437852,8.620202,"(29, 28)",1,1,True,0.505345,0.5454617
29,0.02,8.913016,9.407633,"(29, 30)",1,1,True,0.5134989,0.6211934
30,0.02,9.196453,9.319595,"(31, 30)",1,1,True,0.5033253,0.5307467
31,0.02,8.523061,9.666654,"(31, 32)",1,1,True,0.53143513,0.75833863
32,0.02,7.5826006,8.923979,"(32, 33)",1,1,True,0.54063165,0.7927165
33,0.02,5.86752,6.083885,"(35, 34)",1,1,True,0.5090519,0.5538812
34,0.02,8.494644,7.409815,"(36, 35)",1,0,False,0.46589544,0.25259322
35,0.02,9.077581,8.957205,"(36, 37)",1,0,False,0.49666265,0.46994212
36,0.02,8.072131,7.8411975,"(38, 37)",1,0,False,0.49274403,0.4425218
37,0.02,7.6097517,7.983636,"(39, 38)",1,1,True,0.5119886,0.5923972
38,0.02,7.7558346,7.485773,"(40, 39)",1,0,False,0.49114066,0.43289202
39,0.02,8.014484,8.410871,"(41, 40)",1,1,True,0.5120663,0.5978191
40,0.02,8.555676,8.50553,"(41, 42)",1,0,False,0.4985304,0.4874661
41,0.02,9.27658,9.161189,"(42, 43)",1,0,False,0.4968708,0.47118428
42,0.02,9.501802,9.432659,"(43, 44)",1,0,False,0.49817413,0.48272103
43,0.02,9.193371,9.034051,"(44, 45)",1,0,False,0.49562967,0.46025404
44,0.02,8.689671,8.808551,"(46, 45)",1,1,True,0.5033969,0.5296851
45,0.02,8.512237,9.056594,"(46, 47)",1,1,True,0.51549214,0.63282543
46,0.02,8.930997,9.157418,"(48, 47)",1,1,True,0.5062587,0.5563648
47,0.02,8.266146,9.2207575,"(49, 48)",1,1,True,0.52729505,0.72204167
48,0.02,8.617207,7.971332,"(50, 49)",1,0,False,0.4805325,0.3439198
49,0.02,8.945137,7.4827347,"(52, 51)",1,0,False,0.4554902,0.18810016
50,0.02,8.153196,8.6649685,"(52, 53)",1,1,True,0.51521486,0.6252218
51,0.02,8.594168,7.923414,"(53, 54)",1,0,False,0.4796958,0.33832818
52,0.02,8.681708,8.388906,"(55, 54)",1,0,False,0.49142376,0.42731783
53,0.02,8.671731,8.604765,"(56, 55)",1,0,False,0.49806193,0.4832647
54,0.02,8.835515,7.963152,"(56, 57)",1,0,False,0.47403476,0.29476282
55,0.02,8.167519,7.550219,"(58, 57)",1,0,False,0.48036298,0.35039586
56,0.02,8.220896,8.211114,"(58, 59)",1,0,False,0.49970236,0.49755457
57,0.02,7.237392,7.9565606,"(59, 60)",1,1,True,0.52366626,0.6724239
58,0.02,7.807677,8.059628,"(61, 60)",1,1,True,0.5079393,0.5626566
59,0.02,8.588421,9.097749,"(62, 61)",1,1,True,0.51439905,0.6246489
60,0.02,9.102783,8.815684,"(63, 62)",1,0,False,0.49198875,0.42871425
61,0.02,7.690808,7.7983904,"(63, 64)",1,1,True,0.50347286,0.5268697
62,0.02,7.3294926,7.6418343,"(65, 64)",1,1,True,0.51043135,0.5774567
63,0.02,7.8806014,8.43823,"(66, 65)",1,1,True,0.51708543,0.63590354
64,0.02,8.761215,8.878185,"(67, 66)",1,1,True,0.50331557,0.52920926
65,0.02,7.829953,8.110886,"(68, 67)",1,1,True,0.5088117,0.5697748
66,0.02,7.544469,7.4576826,"(68, 69)",1,0,False,0.49710754,0.47831705
67,0.02,8.101268,7.2133503,"(70, 69)",1,0,False,0.47101077,0.2915398
68,0.02,8.834392,7.795806,"(71, 70)",1,0,False,0.4687741,0.261423
69,0.02,8.387246,9.00369,"(72, 71)",1,1,True,0.51772314,0.6494093
70,0.02,9.365226,8.872445,"(72, 73)",1,0,False,0.48649004,0.37923875
71,0.02,9.088341,8.948675,"(73, 74)",1,0,False,0.49612835,0.46514022
72,0.02,8.838034,9.510671,"(75, 74)",1,1,True,0.51832926,0.6620934
73,0.02,8.44709,8.391247,"(75, 76)",1,0,False,0.49834177,0.4860428
74,0.02,8.48331,8.633571,"(76, 77)",1,1,True,0.5043892,0.5374948
75,0.02,8.772873,8.930646,"(78, 77)",1,1,True,0.504456,0.5393616
76,0.02,8.91857,8.760115,"(79, 78)",1,0,False,0.49551848,0.46046898
77,0.02,9.487495,8.890298,"(80, 79)",1,0,False,0.4837522,0.35498512
78,0.02,8.357377,9.313502,"(80, 81)",1,1,True,0.5270537,0.72234535
79,0.02,8.462392,9.104203,"(81, 82)",1,1,True,0.5182679,0.6551628
80,0.02,8.921839,8.833492,"(83, 82)",1,0,False,0.4975121,0.4779277
81,0.02,7.9092226,8.607421,"(83, 84)",1,1,True,0.5211362,0.6677882
82,0.02,8.627971,8.450308,"(85, 84)",1,0,False,0.49479857,0.45570073
83,0.02,9.112497,8.285326,"(85, 86)",1,0,False,0.47622773,0.30424353
84,0.02,9.168315,8.603784,"(86, 87)",1,0,False,0.48411748,0.36249965
85,0.02,7.4997272,8.446214,"(88, 87)",1,1,True,0.529678,0.720408
86,0.02,8.1395235,8.556656,"(88, 89)",1,1,True,0.5124918,0.60279685
87,0.02,8.816017,8.50026,"(89, 90)",1,0,False,0.49088266,0.4217102
88,0.02,8.413308,8.856988,"(91, 90)",1,1,True,0.51284516,0.6091355
89,0.02,8.085752,8.79986,"(92, 91)",1,1,True,0.52114546,0.67130834
90,0.02,8.051791,7.8588004,"(92, 93)",1,0,False,0.49393514,0.45190147
91,0.02,8.416836,8.48564,"(93, 94)",1,1,True,0.5020353,0.51719415
92,0.02,8.820271,9.164739,"(95, 94)",1,1,True,0.50957656,0.5852755
93,0.02,8.915599,8.953967,"(96, 95)",1,1,True,0.50107354,0.50959086
94,0.02,8.658071,8.645777,"(97, 96)",1,0,False,0.4996448,0.49692655
95,0.02,8.620291,9.0755825,"(98, 97)",1,1,True,0.51286435,0.61189663
96,0.02,7.9189343,8.493333,"(98, 99)",1,1,True,0.5174991,0.6397775
97,0.02,7.9786654,8.477714,"(48, 65)",0,1,False,0.51516277,0.62223566
98,0.02,8.923667,8.979041,"(48, 43)",0,1,False,0.5015465,0.51383996
99,0.02,7.7115445,8.275716,"(65, 92)",0,1,False,0.5176444,0.63741714
100,0.02,9.074693,8.769093,"(92, 82)",0,0,True,0.4914368,0.42418906
101,0.02,9.23959,9.1229315,"(42, 82)",0,0,True,0.49682346,0.47086844
102,0.02,8.980637,9.191136,"(28, 42)",0,1,False,0.5057919,0.55243146
103,0.02,9.209776,9.186832,"(28, 77)",0,0,True,0.49937642,0.4942644
104,0.02,9.336711,8.777039,"(77, 6)",0,0,True,0.4845512,0.36362326
105,0.02,9.124832,9.243281,"(72, 6)",0,1,False,0.5032243,0.52957773
106,0.02,8.563746,9.311358,"(95, 72)",0,1,False,0.5209121,0.6786582
107,0.02,8.913067,9.218794,"(52, 95)",0,1,False,0.50843066,0.57584196
108,0.02,9.133351,8.6823225,"(55, 52)",0,0,True,0.4873418,0.38911614
109,0.02,8.49941,8.871092,"(55, 85)",0,1,False,0.5106987,0.59186536
110,0.02,8.928201,8.36568,"(90, 85)",0,0,True,0.48373643,0.3629644
111,0.02,8.449952,8.75564,"(66, 90)",0,1,False,0.5088834,0.57583237
112,0.02,7.9295206,8.721215,"(66, 29)",0,1,False,0.52377355,0.6881951
113,0.02,8.432102,8.583902,"(29, 75)",0,1,False,0.5044605,0.5378773
114,0.02,8.959156,9.268609,"(75, 41)",0,1,False,0.5084885,0.57675177
115,0.02,8.442313,8.758953,"(47, 41)",0,1,False,0.509204,0.57850516
116,0.02,8.3425045,7.5545926,"(51, 47)",0,0,True,0.4752184,0.31261718
117,0.02,8.949441,7.925458,"(70, 51)",0,0,True,0.46965957,0.26425228
118,0.02,7.7533007,7.808102,"(40, 70)",0,1,False,0.5017608,0.51369697
119,0.02,7.7006702,7.768666,"(60, 40)",0,1,False,0.50219774,0.51699233
