_UID,system,l1,l2,theta,score
0,celegans,1,2,0.05,0.6556350626118068
1,celegans,1,2,0.05,0.6549865229110512
2,celegans,1,2,0.05,0.6513513513513514
3,celegans,1,2,0.05,0.6557811120917917
4,celegans,1,2,0.05,0.6577540106951871
5,celegans,1,2,0.095,0.6545961002785515
6,celegans,1,2,0.095,0.6573816155988857
7,celegans,1,2,0.095,0.6460258780036968
8,celegans,1,2,0.095,0.6462395543175488
9,celegans,1,2,0.095,0.6538099717779868
10,celegans,1,2,0.14,0.633816425120773
11,celegans,1,2,0.14,0.6235177865612648
12,celegans,1,2,0.14,0.608780487804878
13,celegans,1,2,0.14,0.6403162055335968
14,celegans,1,2,0.14,0.6229665071770335
15,celegans,1,2,0.185,0.6196891191709845
16,celegans,1,2,0.185,0.6542553191489362
17,celegans,1,2,0.185,0.6045081967213115
18,celegans,1,2,0.185,0.6293193717277487
19,celegans,1,2,0.185,0.6123076923076923
20,celegans,1,2,0.22999999999999998,0.5788288288288288
21,celegans,1,2,0.22999999999999998,0.5934065934065934
22,celegans,1,2,0.22999999999999998,0.5678610206297503
23,celegans,1,2,0.22999999999999998,0.6077170418006431
24,celegans,1,2,0.22999999999999998,0.5975609756097561
25,celegans,1,2,0.27499999999999997,0.5758620689655173
26,celegans,1,2,0.27499999999999997,0.578443113772455
27,celegans,1,2,0.27499999999999997,0.5873205741626795
28,celegans,1,2,0.27499999999999997,0.5754716981132075
29,celegans,1,2,0.27499999999999997,0.5509964830011723
30,celegans,1,2,0.32,0.5766331658291457
31,celegans,1,2,0.32,0.559610705596107
32,celegans,1,2,0.32,0.5771643663739021
33,celegans,1,2,0.32,0.5733496332518337
34,celegans,1,2,0.32,0.5691358024691358
35,celegans,1,2,0.365,0.6596306068601583
36,celegans,1,2,0.365,0.649867374005305
37,celegans,1,2,0.365,0.6453333333333333
38,celegans,1,2,0.365,0.5616966580976864
39,celegans,1,2,0.365,0.6549865229110512
40,celegans,1,2,0.41,0.5299727520435967
41,celegans,1,2,0.41,0.5247813411078717
