_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
0,celegans,1,2,0.05,0.6606660666066607,0.5027753654653351,3.497617544559716,-0.2496401785206822
1,celegans,1,2,0.05,0.6553267681289168,0.5107142857142858,-0.557889403993717,-0.803274958487162
2,celegans,1,2,0.05,0.6569407603890363,0.5328148631210889,2.3775163321830095,-0.5292235902448348
3,celegans,1,2,0.05,0.6625111308993766,0.5,3.0208107483084836e-15,-0.2006706921949448
4,celegans,1,2,0.05,0.655387355298308,0.4835973486125154,2.7557816547312735,-0.6318340112025976
5,celegans,1,2,0.1,0.6526610644257703,0.46367891150183826,-0.34756414233319377,-0.820244133295269
6,celegans,1,2,0.1,0.6572769953051644,0.4577260273972603,-0.7242391900569778,-0.6885825406627494
7,celegans,1,2,0.1,0.6616541353383458,0.536584595959596,-0.5138920350751849,-0.48028961028307265
8,celegans,1,2,0.1,0.6569821930646673,0.5142711816842449,-0.6661901646851993,-0.6760776247229686
9,celegans,1,2,0.1,0.6550094517958412,0.5037715282319599,4.921538679470003,-0.544581455737534
10,celegans,1,2,0.15000000000000002,0.6593625498007968,0.4886706948640484,-0.5715719016318291,-0.5916990586812828
11,celegans,1,2,0.15000000000000002,0.656686626746507,0.47833242030112394,-0.5762973547823623,-0.6582992168964205
12,celegans,1,2,0.15000000000000002,0.6562814070351759,0.48127984760950826,-0.7404794832451042,-0.7153162551356288
13,celegans,1,2,0.15000000000000002,0.6554536187563711,0.5173511737694056,-0.6686762923165068,-0.6984745937624929
14,celegans,1,2,0.15000000000000002,0.6577909270216963,0.501103914901339,-0.7649066063028326,-0.6805303654496687
15,celegans,1,2,0.2,0.6558577405857741,0.4605953956457876,-0.8051098260741215,-0.7244084141605858
16,celegans,1,2,0.2,0.6646026831785345,0.50106383993741,-0.7082294775078533,-0.5443404487570723
17,celegans,1,2,0.2,0.6702355460385439,0.49033753786149953,-0.7135680937477683,-0.4487399629636866
18,celegans,1,2,0.2,0.6468129571577848,0.5,3.2207487893025933e-15,-0.843087328143059
19,celegans,1,2,0.2,0.6535181236673774,0.5261111808256996,-0.6868956167820941,-0.7166628474872011
20,celegans,1,2,0.25,0.6505190311418685,0.5361983006811318,-0.7754513881355741,-0.7595152744031761
21,celegans,1,2,0.25,0.651685393258427,0.46797552836484985,-0.5474981384434654,-0.7277047004094758
22,celegans,1,2,0.25,0.6610169491525424,0.5066011396011396,-0.7577015191326816,-0.6254314809491104
23,celegans,1,2,0.25,0.6463414634146342,0.5007796663028223,-0.6824429837647579,-0.8182476551582066
24,celegans,1,2,0.25,0.6598870056497175,0.4683243783581157,-0.6751286238720894,-0.6073845783993715
25,celegans,1,2,0.3,0.6595492289442467,0.4587521620334395,-0.6612040713581304,-0.6302305759912141
26,celegans,1,2,0.3,0.6678787878787878,0.5068396694214875,-0.7409679882386684,-0.5790293209675885
27,celegans,1,2,0.3,0.6543062200956937,0.46858928537540406,-0.7471826471954548,-0.6876263962076178
28,celegans,1,2,0.3,0.6432964329643296,0.47589503527395005,-0.5874128246747963,-0.78757372851537
29,celegans,1,2,0.3,0.6690997566909975,0.5036229946524065,-0.851796837943675,-0.5616200548107596
30,celegans,1,2,0.35000000000000003,0.6339285714285714,0.4825172136590822,-0.9110565577052294,-0.9483374562527722
31,celegans,1,2,0.35000000000000003,0.6591194968553459,0.49706515015183894,-0.7978642424168194,-0.6719765677014573
32,celegans,1,2,0.35000000000000003,0.6433203631647212,0.49001832844574783,-0.7360112671505199,-0.7813828527950787
33,celegans,1,2,0.35000000000000003,0.6572958500669344,0.4772824910896131,-0.8645420377276494,-0.6777680825610679
34,celegans,1,2,0.35000000000000003,0.6872635561160151,0.4914880108669974,-0.7112345228626856,-0.4046715254784564
35,celegans,1,2,0.4,0.659919028340081,0.5212979193040543,-0.7712966299470947,-0.6442242950342076
36,celegans,1,2,0.4,0.6556671449067432,0.5001410424401251,-0.8587934647426816,-0.6454299768521167
37,celegans,1,2,0.4,0.6446991404011462,0.4947215813711322,-0.9088973944431118,-0.765556427592537
38,celegans,1,2,0.4,0.6676258992805756,0.5555913195999403,-0.7843020755706739,-0.5909745644978391
39,celegans,1,2,0.4,0.6518105849582173,0.48602165214943227,-0.8239881942617342,-0.7118912489176391
40,celegans,1,2,0.45,0.6688,0.5019242770959018,-0.9161937569439119,-0.6237249049530968
41,celegans,1,2,0.45,0.6447166921898928,0.501558348661353,-0.8181411128162664,-0.7274661857675033
42,celegans,1,2,0.45,0.6436251920122887,0.46392272240967825,-0.8780398306315069,-0.7474100106679807
43,celegans,1,2,0.45,0.6765163297045101,0.5252320954907161,-0.8690799244563131,-0.5333030740272566
44,celegans,1,2,0.45,0.6388888888888888,0.52593374890526,-0.8073038716476885,-0.7645593883058589
45,celegans,1,2,0.5,0.6138790035587188,0.5159754224270353,-0.9130064111630275,-0.8355526245994506
46,celegans,1,2,0.5,0.6694214876033058,0.48987118861139844,-0.9676594063370609,-0.6037549492477354
47,celegans,1,2,0.5,0.6589403973509934,0.526735619846807,-0.891630923720194,-0.6475257911983185
48,celegans,1,2,0.5,0.6495726495726496,0.5225224646983312,-0.9913754627348257,-0.7571175238791755
49,celegans,1,2,0.5,0.688026981450253,0.49389904610492846,-0.9877653315225778,-0.5724222545535852
50,celegans,1,3,0.05,0.8121178432462479,0.5180572599621722,2.8920955091073823,-1.3691835192205188
51,celegans,1,3,0.05,0.8120176405733186,0.5,-3.2361669268748183e-15,-1.580450371833235
52,celegans,1,3,0.05,0.813503043718871,0.5066250832677285,2.9762724820402044,-1.200186719197229
53,celegans,1,3,0.05,0.8132963988919668,0.5411468398030385,2.841877922442598,-1.237947278824866
54,celegans,1,3,0.05,0.8153503893214683,0.5247230394976907,3.494675312597928,-1.0203475451936335
55,celegans,1,3,0.1,0.8140082401412596,0.5,6.885816865389263e-15,-1.3990326371359694
56,celegans,1,3,0.1,0.8144450968878449,0.4919494309729587,-0.6407015934082902,-1.3953781697199312
57,celegans,1,3,0.1,0.8128310771041789,0.5599738590666685,5.182516078838323,-1.2206080147908478
58,celegans,1,3,0.1,0.8168346176644932,0.5523388805125388,5.7438981030304115,-1.0972134752129594
59,celegans,1,3,0.1,0.8178633975481612,0.5402391149179158,5.211524195426812,-0.931996286135148
60,celegans,1,3,0.15000000000000002,0.8169364881693649,0.5,-4.279716832398328e-15,-1.322847951277792
61,celegans,1,3,0.15000000000000002,0.8148843026891808,0.5,5.251798409237646e-16,-1.3947325318747925
62,celegans,1,3,0.15000000000000002,0.8154320987654321,0.5188858141825262,6.5781924137520065,-1.0775722442020599
63,celegans,1,3,0.15000000000000002,0.8121059268600253,0.49166805619242154,-0.27098099837297346,-1.4874857855535055
64,celegans,1,3,0.15000000000000002,0.8122270742358079,0.5,2.7094193876046778e-15,-1.4874795048411138
65,celegans,1,3,0.2,0.8023715415019763,0.4942008757525999,-0.24102955103146767,-1.7681921214508405
66,celegans,1,3,0.2,0.8030104712041884,0.5029648522853731,-0.24198665283484874,-1.7581938900580774
67,celegans,1,3,0.2,0.811965811965812,0.49269697913422605,-0.2709711164883982,-1.4871066152678072
68,celegans,1,3,0.2,0.8155149934810951,0.4914555987718659,-0.2816286482899145,-1.3906920377423393
69,celegans,1,3,0.2,0.8160994764397905,0.5,-1.6423664023583144e-15,-1.3795141356340443
70,celegans,1,3,0.25,0.8064738292011019,0.49829205807002563,-0.6729216668296897,-1.620946650186039
71,celegans,1,3,0.25,0.8166431593794076,0.5,-2.5029663770969698e-15,-1.3941574063843565
72,celegans,1,3,0.25,0.8203677510608204,0.5027117838718437,-0.6548113851522472,-1.3312173168939365
73,celegans,1,3,0.25,0.8180555555555555,0.5027702536321104,-0.8674328154676068,-1.4007731891910704
74,celegans,1,3,0.25,0.807831762146483,0.5167931303140137,-0.6799219722298315,-1.5620266632797912
75,celegans,1,3,0.3,0.8058252427184466,0.44073928851500677,-0.6827751957450697,-1.586568338738049
76,celegans,1,3,0.3,0.8075153374233128,0.48903531174447507,-0.6712037992756187,-1.5521785050699666
77,celegans,1,3,0.3,0.824067022086824,0.5219210856918804,-0.6415764770590291,-1.3136192863525182
78,celegans,1,3,0.3,0.8095952023988006,0.47752260134149904,-0.667676958523198,-1.5246677415575505
79,celegans,1,3,0.3,0.8162202380952381,0.5393786513826816,-0.654414863451476,-1.4194868219033028
80,celegans,1,3,0.35000000000000003,0.8058333333333333,0.4837047458845773,-0.777713341221661,-1.5636503263806933
81,celegans,1,3,0.35000000000000003,0.8126540673788003,0.5140692352722047,-0.6855346485430522,-1.4692061440502775
82,celegans,1,3,0.35000000000000003,0.7960159362549801,0.5944990993487598,10.075206168164266,-1.0152376152717326
83,celegans,1,3,0.35000000000000003,0.8206388206388207,0.4904665554735278,-0.283304555917481,-1.3756992951218168
84,celegans,1,3,0.35000000000000003,0.8107229894394801,0.5353410684029003,-0.6724969318956294,-1.4965976532476808
85,celegans,1,3,0.4,0.8074141048824593,0.4920534780162873,-0.6752480206566159,-1.5211431600374705
86,celegans,1,3,0.4,0.8026431718061674,0.5320977732476085,-0.9343790574547979,-1.6061864413623386
87,celegans,1,3,0.4,0.8163620539599652,0.5217868005941855,-0.8400989502957754,-1.443680536430127
88,celegans,1,3,0.4,0.7973913043478261,0.5008541568185116,-0.6822416257327579,-1.6375821085692248
89,celegans,1,3,0.4,0.79,0.6121020653572709,10.716173990899497,-1.1572237032939816
