_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
0,celegans,1,2,0.05,0.656556645851918,0.5425146992311172,2.735775372116724,-0.4896705016180042
1,celegans,1,2,0.05,0.6512866015971606,0.5,-3.4664237736093307e-15,-1.1962507496988681
2,celegans,1,2,0.05,0.6563604240282686,0.5185397904002048,2.601464429446907,-0.6138136830388594
3,celegans,1,2,0.05,0.661319073083779,0.503294793587743,2.96149913414224,-0.24628037107032913
4,celegans,1,2,0.05,0.6586879432624113,0.4954501756655188,-0.5196288819631738,-0.5227920960365042
5,celegans,1,2,0.1,0.6635249764373233,0.48043393493761144,-0.5615863305502568,-0.4041600013001545
6,celegans,1,2,0.1,0.6533457249070632,0.5,-2.515700542820232e-15,-0.8075611749111248
7,celegans,1,2,0.1,0.6586768935762224,0.5180969203342982,-0.7048696753795521,-0.6453268718753205
8,celegans,1,2,0.1,0.6565464895635673,0.5302669817647623,-0.5224346984990402,-0.6259962412913372
9,celegans,1,2,0.1,0.6632173095014111,0.4959305362116992,-0.5648872111524739,-0.44643053096891605
10,celegans,1,2,0.15000000000000002,0.6544715447154471,0.5383357690902447,-0.7405370379337043,-0.7296673442490131
11,celegans,1,2,0.15000000000000002,0.6689930209371885,0.49835257572764974,-0.4991816090362136,-0.37078517523208004
12,celegans,1,2,0.15000000000000002,0.6608015640273704,0.543197824122231,-0.48057051797054884,-0.5200708902434558
13,celegans,1,2,0.15000000000000002,0.6542605288932419,0.4585206357822598,-0.45474187790966136,-0.704977589832969
14,celegans,1,2,0.15000000000000002,0.6669941060903732,0.48915201515329243,-0.5595843240428073,-0.38411123074381237
15,celegans,1,2,0.2,0.6448893572181243,0.5125603653924478,-0.6790329150191732,-0.8985444519174887
16,celegans,1,2,0.2,0.648619957537155,0.5274449790101908,-0.7989450762936247,-0.8287831100880613
17,celegans,1,2,0.2,0.6472491909385113,0.4927319062181448,-0.6131896311860965,-0.8072077811533147
18,celegans,1,2,0.2,0.6565762004175365,0.5266887663633597,-0.5388524390638292,-0.6644326854604199
19,celegans,1,2,0.2,0.6511879049676026,0.4876160990712074,-0.6753161884001759,-0.7569885152589666
20,celegans,1,2,0.25,0.6482910694597575,0.4836009638965304,-0.5455482320191992,-0.7562013250599433
21,celegans,1,2,0.25,0.6602491506228766,0.4788249644935172,-0.8685334548114702,-0.660001822151323
22,celegans,1,2,0.25,0.6609783845278726,0.49818352990100384,-0.7578663576170398,-0.6267757878610623
23,celegans,1,2,0.25,0.6577726218097448,0.5297103398798314,-0.8509168834845292,-0.6957768650918583
